,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
"Cluster 2122Rv3854c, ethA, Monooxygenase EthA (EC 1.-.-.-)_9",-56.47508773501328,-48.726239000156745,-25.43131023757291,-13.618050072512084,-10.701324695966825,-46.70345591190593,-34.624251961394,-25.31725207627764,-61.57771801286524,-16.900892471503774,-40.50703796070205,-33.02869322845575,-23.562610475491695,-44.09275251793691,-16.908183978046853,-17.306089751646418,-23.368211294585624,-15.14265894430278,-41.379286866517724,-29.346287877385087,-46.420278158394126,-14.03636879417477,-17.20282603466841,-33.75389020235229,-27.112047560013163,-49.322004091661356,-49.81550541298225,-20.786594473568268,-52.28610754264398,-41.3896120064943,-30.45065781472761,-49.80688731399718,-7.500164350218414,-38.59385304859573,-28.148438506161963,-23.48560054545257,-23.80484221647913,-29.20980805424768,-21.60182603212218,-26.60755843741974,-24.356997488700607,-33.8935265202921,-20.600114662448938,-20.7137682995234,-23.530210778610527,-39.31611629636273,-35.66994136044416,-28.849517630376003,-39.286416733836504,-18.420505154802733,-35.18527861561275,-18.467558752601278,-43.607634738748125,-24.89092805631137,-27.565065087357187,-51.78389669584233,-36.76423341108768,-33.02795177228183,-38.706302891747114,-19.433250712502172,-34.28282327117685,-49.49968235633327,-41.169944099187,-20.689936621784756,-28.556008428598197,-29.102401966209587,-22.199311764632988,-18.548047238276112,-28.86502102205545,-19.3612453605201,-26.76937515561384,-53.81101727184355,-60.31982986732041,-47.967194299861305,-49.20053116983416,-40.45023481733798,-38.730891854724284,-31.54760641783645,-27.158348833253225,-22.977815614910114,-34.42458224402381,-11.160948200796021,-38.54184895021031,-32.12418244014237,-30.5758667433074,-20.21486093808161,-43.26254729669507,-30.54957614020246,-24.109860690190224,-30.73973234464052,-32.91384940099879,-58.273256993146695,-32.58383137311004,-22.35561519220822,-23.46385798433173,-51.802878040617216,-24.360593448110677,-25.087404552191188,-49.56637656636905,-62.028797750583216,-80.11084753444545,-23.72080048585754,-32.88415299036264,-24.62684915445404,-61.66540717643885,-17.849786154608882,-51.71261203883621,-17.939221366574234,-21.567995282030758,-31.230088560299947,-34.925100831421645,-36.91784856676626,-61.70828898711176,-6.462479388433504,-24.25923328340276,-28.42937841277244,-39.18483501260435,-40.17326639195631,-52.25472194223779,-44.48613128271177,-32.814117627348665,-47.45261227926194,-25.45717915647911,-36.002624907431716,-22.503247031591975,-80.72081874830954,-33.22598822263649,-33.94263250390438,-13.507633947763681,-45.191161653203345,-49.90488780548008,-38.41694389985588,-32.66388918629375,-37.65793845844803,-14.265376696536933,-24.85752466858877,-41.62135172934594,-49.27546315743789,-33.84270305275271,-31.880791109802367,-22.669704936619116,-36.417771593322634,-57.314119591491995,-20.506886146876827,-36.22582429292023,-42.70540135682385,-32.07093635387446,-30.239197024750105,-14.253117148823755,-31.077278254583817,-36.7697069296548,-31.883784745310574,-38.99544397020441,-26.2418976451197,-21.435664352959755,-23.51020652417228,-14.856702163379778,-35.712315635386055,-20.067392898784817,-42.44142893384799,-32.531996904372,-45.79296019988119,-24.13488102186958,-45.41741957643336,-33.86348867881485,-52.10904427037371,-45.94695408790077,-58.09530282677455,-35.68988153394014,-10.517688200129461,-44.786057763543006,-63.13284112149729,-22.83964038531247,-22.455367918207827,-28.12832022807885,-35.037021852233,-32.714237265222174,-18.093380262433058,-28.04966545083911,-32.61510250021027,-44.239213311185914,-20.673995954717164,-30.766441183702433,-19.077515869615894,-21.8634433702069,-21.428657091384792,-27.708241422120448,-38.62539289786899,-33.62446613888184,-13.756566874288525,-35.91533222048335,-35.78618515544006,-68.90859916876329,-24.012192013423025,-18.28354899204101,-47.54026804228459,-13.292314264381094,-20.000719899370583,-32.7837318480398,-34.90862771498588
"Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4",-47.020866189928924,-29.73745587236862,-34.157711297137354,,-22.78898447873429,-86.56824618447318,-30.950264503702968,,-46.34060579791301,-19.48183124966212,-41.88821521604322,,,,-35.24065121189801,-26.904170927558425,-72.83743357496691,,-24.648364545794337,,-54.99325333916351,,,,-46.87470147329638,-53.468505977556916,-53.99973420753116,-14.124069906179189,-61.03579987881371,-33.3694563580712,-34.662621188752844,,-33.84562700939972,,,,-54.0755718767377,,,-34.87936726881393,-52.909451260505435,,-43.43610635573095,-30.729593018993768,,-10.725403368561171,-54.77662383298332,-32.145651655570305,-42.22935539274967,,-59.56151807896319,,-59.32336807844052,,-29.00193260886281,-33.14597161107464,-35.80332245934555,-31.087603756172296,,,,,,-34.88515297675401,-29.327485207603196,,-53.1071978031122,-17.281316561982905,-32.678533577988965,-37.16479203670484,,-45.45510010811239,-51.24850105383694,-52.7430157821242,-32.420947663696616,-38.239018004982235,-61.462993039386646,-60.17639032023922,-34.44146099726558,-65.94352645530525,,,-56.00830900962236,-61.70098838119489,-40.54861074384978,-37.66415996098,,-39.4113842895723,-46.34334293618845,-26.190816610653656,-54.836240619198946,,-68.73733337419485,,-29.132063781324693,,,-41.647170602172665,,,-80.11903978419625,-60.69019935633906,,-87.16440592511516,-66.38102185536823,-49.5855752064055,-35.252112341085045,-22.02129461318757,-22.263509873386297,-42.007660424524424,-46.211600591106624,-51.273230574198486,,,,-29.788357991769267,-43.74407954133659,,,-61.56672760229044,,-43.369132771289856,-28.931847398683345,-54.61201577527325,,-27.718769767975626,-42.054978332378035,-43.24108696852104,-36.64443820202246,,-48.48548809446773,-62.18020037679253,-44.73267174733013,,-34.188495117088415,-36.63316777403302,-54.490919566894725,-62.97677280911434,-52.66535922429746,-32.19024130082216,,-21.617403710778035,-33.23882617474362,,-76.5044360400889,-35.928373044237155,-39.913113140955204,-30.118840324073744,-35.73292742937559,-27.513041999975922,-49.39042089810109,,-37.702145491753406,,,-32.12803551653835,,-30.299885731281115,-32.54618414389987,,,,-49.23636333866327,-36.35814775453535,-42.58118088145237,-30.805523432138987,-62.73197500430225,-75.39367482851281,,,,-38.33796498409417,-31.200117811865983,-38.34914071435881,-33.178410868775934,,,,,-39.76996063748993,,-38.69319498456633,,,,,-28.586612336899563,,,,-26.511058240998917,-42.950596071332804,-41.37198081804224,-43.13484173530186,-34.09709958352341,-45.65102478876976,-56.435306964895034,,-48.06112829799934,
"Cluster 3373Rv1184c, Rv1184c, FIG01386146: Possible exported protein, Rv1184c_2",-68.88227012906859,-28.43429325682102,,-16.024310398629424,,-89.06709820636267,,,-32.592746196423725,,-96.8247486936928,-14.954560860348234,,-17.054190271970775,,,-44.25069043770452,-17.449674383739815,-49.1534302425869,,-55.9267429553383,,,-15.708768591351317,,,-30.016983727896164,,-32.59811096409033,-40.95450832602,,-7.632171190167394,-23.900258016379624,-35.540662774643,-27.835105245083767,,-31.540194852688195,-15.01931040088037,-43.07761201805488,,,-27.022423689895305,,,,,,-13.506769073483339,,,-75.87587789348359,-22.345215065421147,-53.55793244694255,,-25.46344450707926,-19.416354697200155,,,-32.40217826662949,,,,-27.256024477575856,,,,-33.81279790003551,,-62.174855539865845,,-15.670008783244578,,,-60.533182724019895,-31.460513780229657,-40.768614566124924,,-25.85604824101528,,,-20.04245676252105,,,-44.41084602397319,,-20.135631583200592,-45.58562269725156,,,-19.17281843998179,-23.974864892198198,-69.44567668884679,-22.952368568935047,-13.150310851967731,,,,,,-50.38748930403824,-46.76418211918589,-20.452386187288965,,-49.592412366009285,-44.73936035815805,,-68.3808521080321,,,-33.882944549752125,,,-50.90367536461197,,,-28.438696396094574,-30.504793110931868,-48.672565879369216,,-28.219904159276297,-56.814449226708675,-31.178030164169463,,-23.567323092985088,,-62.00620812514827,,-20.371622635065677,,-29.729028541861418,-81.7675021827441,-22.858792808939373,-24.77180054803361,-18.840130622749136,-19.888506863576286,-55.821118902296966,,,-22.514136359127388,,,,-31.57233039737635,,,-15.61557168518829,,,,,,,,,,-58.07222376155362,,,,,-23.395095404107327,,,-28.465588372288853,,-52.73126399367986,0.0,-41.554298210354645,,,,,,-12.52667782025335,-15.203878785879576,-35.5161401470169,-23.364064538579978,,,,-39.75864140126192,,,-20.668544232185937,,,-23.181832143332226,-24.37520895962288,,,,-28.98001915716904,,,,-32.0956405021925,,,,-22.703336432659743
"Cluster 6929Rv1334, mec, CysO-cysteine peptidase_2",53.64313196897231,,12.48154696669228,14.6024483448129,21.185757823336864,,,23.248285680326415,35.9033913685386,16.83679874004748,,,39.20969731573491,17.639029850974243,,,,,26.650588187935465,22.677833140820834,28.126955499758495,43.309289837650184,,24.361990442171255,,23.303459376109974,,,28.604883749198525,28.386177152564105,32.66032944697269,49.99434745432983,,26.29623816991574,,7.03413708259234,,,,27.316825612899315,,41.077436673141655,46.84820450980772,,0.0,35.881100147865986,35.298533528591356,10.599810149050553,58.55982424309071,,,,63.37614116059719,43.15805802704849,12.602127233546163,58.94401506084196,24.3838671005269,,50.064011689975246,,39.53140505437093,,37.58618643867533,,,26.23274256771249,,,18.154856187525844,34.04822201841235,,73.4146460874927,,,,,,,,14.252839827821761,,0.0,,,,14.956372780486241,,,,31.65346184510975,45.99102389648089,36.861807727040336,,26.13719130607835,,,,,,40.24673687832165,,,14.433169942788764,,,,49.17515550392818,35.439684486176404,26.345520919188303,,,27.26640523644921,,17.448163924722145,,40.92812986356226,34.619598797341524,,,,,38.66659763910182,41.367375468161185,30.110300582107772,27.916473189272473,50.4959376754173,29.66561419448208,,,17.94195778685478,,28.796544238439125,38.54587560763073,37.357904651647615,,,,51.93910063591335,23.21704396932113,,30.820523954501876,13.216291330324347,33.529368085783716,11.290182871925122,47.74392777773677,,19.831677922727636,,,29.884094087920523,33.59203531162028,,,,5.131642506838853,,,18.486385357680245,,,26.31894481390875,,,27.676060447907297,,15.599441316079817,,,16.196511700661965,,28.37452035259188,62.97259401924437,23.9040321872141,,10.019744835876166,30.890542773633506,16.36831430327618,,,,45.2984889148508,,,38.4370602005077,37.232897141509824,,28.547124040677875,16.864875635506092,34.10891542809128,,,,,,,,,23.03758769832995,,
"Cluster 5664Rv3421c, Rv3421c, TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA_2",30.31529820092717,18.773232038726338,22.181373024305273,,,17.119213951873707,15.92478533979692,,25.117569950002633,,41.963414812816,10.518859143556883,,,13.111718992477257,,0.0,25.67979387173959,29.44724443910866,,33.306130022803075,23.733732131838146,,7.0768867791250925,19.24023168890147,63.25185962033216,40.13112096109502,,46.05375863920785,,,26.961641901342446,15.763388611049882,5.586525874486453,20.233104128656567,9.330783681929521,,17.90394687858716,20.897185395719255,16.91020811601591,,32.82538941695,,,15.592372645600909,19.908486089933017,27.607451259324424,,,,22.06110788985284,27.04167089974408,,,,,20.4177121020131,,27.338172668757274,,21.088564027906322,17.66946923312847,30.227475373947264,,7.284359514873724,16.659786623827134,,,,,,18.180623089942888,37.36892135548664,,32.182816930459936,31.84941419009488,35.80078680657735,,,,5.7148749740088505,,18.69110985372616,,,11.366134091899164,14.668200261159754,25.62043575617655,24.297655404542905,,,45.67716446147286,16.876818527807462,41.74544459888292,26.79844519638007,33.86767331152557,,,39.910222909448485,16.663763807805363,28.293346264399496,,,,,25.218213489206708,34.67502635568169,,10.791876306495734,30.035577415802784,,,28.39748346200136,,,19.73320784175509,0.0,28.151646251631394,9.605062686326226,,13.755528662430597,26.977420634411235,,25.127916962275574,,36.48457351820159,63.360344163229314,23.46893843143242,,42.98493461648092,,,9.94083336384079,33.190844909340285,,43.13009151021766,9.738593989018751,,,16.726029864359667,,21.62358233576265,26.065987120723108,,,16.02723889093143,,24.36111488570582,,,15.482756280588871,40.08407623678954,19.53249007460328,,,34.25523300824505,,,,15.160289902371586,,6.822998176345906,,,,16.27517365545916,,14.431900878424205,22.669441710813036,17.538790520034105,21.27116921338923,10.64278319130738,41.02671350521124,0.407097282165811,-5.072149525653806,27.229196632420987,,,-2.4352869598894165,4.718064569480489,,14.702275301570051,18.98819544614807,13.257934250520073,23.504282162913988,,6.533465584553319,,,,,25.522943839969617,43.51222665941393,27.878180639885763,33.51182662296563,35.61734435636263,30.394113888609937,,,
"Cluster 6929Rv1334, mec, CysO-cysteine peptidase_1",-22.949763974278792,,-15.060453485928734,-40.423815642789485,-15.32028204842306,,,-41.400949073802316,-23.430963394067554,-6.050052750047136,,-56.23366875800608,,-26.216542834069283,,,,,-38.85285816397114,-38.69017104424355,-17.99477907654423,7.957837873776245,,-18.58971592281395,,-38.43866598264468,,,-5.8685316065605715,-25.33391229587574,-29.031158256400563,-4.38124835951627,,-18.209390596924113,-43.27491130479497,-22.494709090406193,,,,-4.782637907796431,,-16.71595097063023,,,-24.258586642606573,-23.529271600524847,,-31.910438924579992,,,,,-15.553978636388877,,-32.85540481030512,-0.841115045327882,-38.966306731189356,,-29.35036528863575,-46.840200332591266,-7.217024462894527,-37.69506554688409,-31.640114129463353,-67.09790432701203,,,,,-12.995499826798849,-32.0198660493849,,,,,-66.22828119554617,,,,,-29.96549819542806,,-30.052914680564278,,,,-20.02235745882155,,,,-2.777257429160047,-9.762895398437541,-60.7855597393568,,-20.417065560108192,-41.24422878566546,,,,,0.0,,,-20.469401454922565,,,,,-10.18473064294766,,,,-14.88621044672001,,-20.4847885907639,,-7.967945231989687,-34.657569263964646,,,-51.20502197923063,,-21.671459657158547,,-0.9816850661422911,-23.103493005031105,-41.54939754367169,-21.272756283808633,,,-45.26837106597546,,-35.8008769239416,0.0,-17.69661932653311,,,,-19.573430019777515,-41.82123895209517,,-17.563681049842103,-15.961097088833672,-51.109855605128324,-9.679746112381027,,,-40.785518340474574,,,-31.54022267375598,-7.921563548244122,,,,-26.300187142574433,,,-34.83529732682498,,-60.10792584322421,-45.29082609875425,,,-37.66267534901765,,-45.986945192104535,,,-43.62772949582713,,-39.98949814903924,,-39.67277788812258,,-18.274168615594686,-34.159909161887946,-12.581426058030928,,-35.30832721644777,,-5.477867191673634,-50.462170540873785,,,-5.156563418767658,,9.278908031416602,-5.102106860459969,-22.081283842114452,,,,,,,,,-17.022684512187013,,
"Cluster 87260, 0, Hydrogen peroxide-inducible genes activator_1",,-18.00182579908047,-1.1037488412356706,,-13.741184329350181,-23.85397482450283,-6.6954495205692135,,-32.7949691845126,-13.62946309032092,-33.53029807283102,-29.128765976865463,-11.667582067879362,-10.818017120724868,-21.657859458624568,-8.302786550573149,-24.732792170241698,-25.274125008113444,-4.489241643379641,-17.531582955780035,-25.113597809332667,-10.465075998952724,-10.500897009488007,-25.004585452119894,-19.94244667709923,-40.77050408458709,-34.92503761555304,-8.461230538860567,-34.30588139798219,-28.06284780056014,,,-23.30938563181981,-28.409405413699368,-12.463730565423921,-17.114218480394022,0.0,,-8.1519294754938,,-13.11347426265079,,-3.2854012172617444,-11.861761033467626,,-30.664839722441634,,-13.623756955164792,,-13.437670672678946,-25.226763226994212,,-29.948145575297094,,-15.299478709817615,-19.06856325011708,-19.13562535786044,-8.284134686798291,-35.34631201487088,,-24.320702033841144,-19.54126868129576,,-14.718117223595787,-7.355593377053096,,,-8.759228186100522,-23.4353579382673,-8.421017234711991,,-26.038288654253446,-28.494152795146146,-38.14994538742459,-14.207664734721728,-22.14829483552357,,-6.479919474226021,-15.560438517873422,,,-6.4124265924336,,-4.331764146932858,-6.484949681403175,-17.636575059098444,-34.03673612135956,0.0,-14.6419745962332,,-20.328008045355357,-36.29204836347514,-19.05869226485182,-22.44593800456505,-17.98861982066561,-19.81941760697909,-1.2565465788513732,-22.68457666688939,-21.56239779515922,,-14.176503576885212,-9.714577882837867,-16.781186296511127,-3.508325666511067,-16.21458907207137,,,,,-30.811395059075856,-16.372268909060473,,-46.335092340964515,,-8.107868043284398,,-23.29605614346658,,-12.588930658364973,-8.265829411066946,,-41.49168919934796,,,,-36.58012618730465,-16.318634962245596,,-7.618542100380228,-11.264386451713133,-9.732059369225347,,,,-9.342839958143609,-17.142982061750846,-21.77956781107727,-34.65154114096137,,-21.572617049694447,-15.46062317262049,-12.394313880191692,-40.24241588171031,,-16.33381907400868,-9.386057559747856,,-17.258059995705917,,-18.206016563676215,,-16.239829342442164,-12.04530284547686,-15.314301509156348,-5.571514544436402,,,-29.479827240597444,,,,-18.977144331821624,-24.493493443873938,-17.14238264489068,-0.6837763583890153,,-31.384968244759424,,-7.990041546813861,-13.37377271417354,-23.319815479109018,,-30.855306961513474,,-16.73184222075453,,,-15.772507904917937,-7.913163278592362,,-26.287136209716543,-8.56833780829399,,,,-7.046400997289707,,-13.532506064676422,-24.48111124721882,-21.159509110598535,-10.665713244434565,,,-9.543500658768398,,,2.489428499268087,-6.566791280022853,-23.431002833607835,-26.747205589615525
"Cluster 5593Rv1222, rseA, Anti-sigma factor RseA_7",,-13.455190999078505,,-23.7431813330958,-27.135340431988453,,,-13.337588020691719,-18.25871534727095,-11.950484874560374,,-21.109254466762398,,,,,,-8.401263322028726,,-23.074647359942375,,-16.812573738217782,,-16.07319681148227,-11.314721657869953,-19.898599024304794,-33.058799763325055,,-18.033441549393743,-25.282258085259382,0.0,-1.7176817607558992,,-8.136586235715754,,-3.6004638003801936,,-5.944437474314445,-31.1768319639491,-14.607985863516419,,,-10.074974701431469,,-16.552060191382537,,-27.146264606960806,-10.467398713160868,,,,,-21.78370566429457,-6.7915874279460935,-36.591234192534415,,-11.18791093484455,,-33.60304915367412,-15.238915710151936,,-31.632645010205227,-15.368964595784135,-41.813120748436575,-22.539418521898593,,-12.376123790164355,,,,-26.030158378350066,-34.41157959084926,,-38.300133252819485,-27.577580894604264,-31.389550197526997,,-28.237032191792824,-17.04290539656609,-23.693066707349814,,,-20.29964763620449,-33.386498390103455,-23.993945873552107,,-23.561822740495003,-29.52187654952603,-12.511386966754227,-13.801852729384466,,-33.972067440748276,-37.23725755469289,,-10.911721471341446,-18.604290759328148,-10.061729057403506,-12.603819692722023,-7.0342249237400685,-12.67729698983368,-21.342734853362817,-19.562309240362726,-37.71362446706987,-27.892388726385,,,,,-16.248043040960887,,,,,-18.653994579171297,,-8.979296961220589,-4.25979701319882,-20.7690812867361,,-23.9431635118364,-25.529296452518135,,,-14.810111319846174,,-31.791520632196594,,,,3.9109855730939858,-22.825629792393844,-25.151932202676775,-23.201905080097102,-18.25748759542957,,,-25.495921607541266,-34.21537191613656,,,,-4.9657821204710695,-26.117612536353157,,-16.861928208064935,,,,-23.734888419325607,-17.805739419769523,-13.82371990739538,-28.16117118182647,,,-12.103682554655444,,,,-13.783422804803305,-20.70562679371535,-25.39215097733105,-21.00666625982816,-20.794810381084098,-19.47763573871226,-19.677850827643923,,-10.119902746482971,-20.908045628828717,-16.533986470617766,-6.964325353340122,-7.24282308951926,-30.723158796280657,-28.017051998048316,,-19.50433120158507,-10.409958155708933,-10.708140715244287,-15.8583969598656,-9.189385667415465,-27.230112888728566,-16.911737027496343,,-15.633003524932255,,-16.406530368079896,,-12.438819348483515,-20.61059707752617,,,-10.317712356611745,,,-25.10103930230312,,-24.475443813071806,-34.49677868862219,-7.625789864135091,,-23.479391281732475
"Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_4",5.89784080559388,,-0.018639391981360776,,4.655769408420662,15.377014564171255,2.4078273287551664,-11.617361484297382,,,24.891447813038283,17.090388244304012,13.310522954730695,10.68416327464065,10.036843231850613,20.768030766444316,6.474686917007107,3.090571734694003,19.432913281885305,42.69700267071507,,8.442855540679913,7.486823109290356,10.624414988596442,5.609959233551313,25.093656844616245,19.049011885809225,9.100059605473099,,23.37410330304086,8.23186604190212,11.89856628703388,,4.811084582794245,16.036760511991705,0.0,5.088990838737777,6.202831067839062,26.044946859240223,,8.99702370716221,7.275185712428865,3.833817599713427,,11.09476957961157,28.081657346065246,,4.210980813494741,,,0.0,,25.39631289302131,,2.7094539753979796,,16.9195545721147,1.306984565979977,31.181244850682692,0.0,29.062835807852206,,3.7420702598356756,16.20167239558761,,,,0.0,-0.4260950583330818,19.698398815397407,12.052765584791347,29.357973549923628,11.67580807472587,19.714893330819883,,,23.95542646735909,14.893640562596627,,10.71616286954338,15.327869375812337,7.170653156225493,38.10549417150397,20.51998644794018,,18.022596182949826,20.763053750010982,19.531640787791403,,13.502202895201114,18.174383833599983,10.07651483489953,,-0.85707788969003,0.0,,10.593851543810736,4.752346535944157,,24.48223950581325,,10.616776881936621,1.1340328808290585,20.011937746448908,12.594626771816076,16.657240566775215,18.910102642847857,10.070943549181736,,,0.0,10.307601601005523,24.86361195900623,15.3134096377898,12.11264608783269,36.91211549163392,4.303594240647472,43.76557712481694,12.923270679214982,14.970145441905373,0.0,25.619494317846215,,,,30.328818948882795,18.601407882648253,15.557530051458091,6.0611336792990835,18.31633456371286,2.519681000800854,18.294770723319104,4.472960514204921,20.232571164307103,8.205393450033188,6.452606648514805,9.228907608095184,5.21272879678193,16.529109261076343,18.531862400270676,9.766886043931684,10.892695856956657,83.19072672983455,0.2830109490345505,22.375369232221537,15.28727051145722,33.60024301670188,16.02822213762703,55.96973460923208,15.982436362255983,58.128902985934296,18.399403165367907,,18.08097677011255,7.76298282077383,16.416042794809314,11.047670875609878,,2.5458917784127038,0.10456459387443218,22.387018630232504,-0.1592662340925608,16.48752792409454,42.464617450294874,,15.177205271794111,25.06520826473886,3.3077796970699502,4.583116702916554,2.7163653351086037,,19.215864928523235,25.028716497289878,4.495983064078746,0.4355500618598611,22.00334004922504,4.906334072135628,0.0,3.782547121814365,40.147887495072396,,0.0,,4.893833419440838,11.015650608773981,,16.073905394601848,,4.88555958649159,3.5201857281605,10.164122673280712,,13.624494326374341,,,3.363683933535193,11.94741702983643,9.565236093155562,2.01086533055002,10.137206534801084
"Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2",-18.312243422077415,-20.669465584046396,,-6.523607699633111,,-30.136572717583245,-24.070809676955523,,,-8.13157952986356,-13.181836340278418,,-19.71269142420617,-10.583183663731793,,,0.0,,,-14.155212856946873,,,,-17.294662646417972,,-40.150105199239334,-5.334664617108177,,-18.488764595594716,,-22.82054245665077,-18.512765844004974,,-17.75859298033661,-10.728567426698492,,-20.461357586676442,-0.6647640445172942,-11.064548732656498,-10.579653540508296,-12.945334743397563,,,,,,-8.666753878706405,-5.967087878608895,,-12.391161766127277,-14.195806091018644,,,-26.591883377736412,-33.18256382674262,-34.55235578596911,,-21.97048884166953,,,-9.868895316157197,,,-22.718994657751768,,-1.6127736000018829,-5.756144082043616,,-12.907524829818867,,-2.2462080012604635,,-19.951777587157373,-25.860197619245458,,,,,,-13.49367841992199,-7.417469736220781,,,,-13.254830431041098,-3.282090433198743,,,,,,-29.387153788866467,-23.834479309448596,,-8.700029644242365,,,,,-21.50801615140619,,-25.490470437143905,-11.249755342791785,-39.9810029959778,-38.57700771750967,-0.13299288916744634,-21.94574443869444,,,-11.807541078542185,-19.355930679206903,-12.551179133897895,-16.322768786145193,-17.046327988043842,,-26.462761725580872,-20.280636882973234,-13.359470181789806,,,-15.420316344896003,,,,,-44.87440728742951,-28.40090723628436,0.0,,6.788603825917363,-8.029417401930706,,-3.8884558216146763,,-10.748525244649441,-11.804705181858626,,-22.060642511179353,-32.36597013042123,,,,-29.34632424860827,-24.592368145561302,,-13.819220347218488,-44.293039102119174,-21.48669861790005,,-22.716753506571205,,-20.038034585358957,,-14.606005274075704,,-21.33325591157946,-7.295906697736499,-16.281432188698393,,-1.8989209385175,,,-21.671773841110927,,,-35.81572105787997,-39.52750738594371,-30.39517914278133,,,,-23.634263928506382,-35.15075661492074,,-13.753370891374216,,-19.94505726262294,,-3.508641356233703,-9.669660578229987,-37.26092876071694,-3.0378918012728864,-11.299571283478722,-7.64743471604442,,,,,-34.53909882596376,,-18.220439192301956,-34.88796460777545,-19.094248775752778,,,-0.5850158396859042,-16.99656031354241,-29.5271553299213,,
