,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_3",31.9339314387247,41.44212071037549,72.2427127422903,49.34290817849019,38.11495627437933,54.99134213582127,40.48261363080303,55.34712113168956,31.833822627876284,39.33882615120321,39.18163206948923,46.05409425766647,64.47099522125215,75.09059982908106,53.16578384649114,65.51531106304067,30.053448357810353,82.3462670102183,62.606446909739596,40.110667611955904,49.163504575255395,45.20316011115041,50.707243083226146,64.57754723016981,59.273121366282105,37.53653242795465,37.668219888192425,53.36551958379374,82.08472486757225,32.333948481561194,46.917633106054225,75.66159817082537,57.46552133014148,32.39026644891819,29.11271218839772,49.06066927547016,58.02237813753055,59.58609314146315,53.953786582545575,51.31023370944502,72.96171209355485,53.33574020860217,53.42612302146219,54.82948269105379,44.18042025135795,56.84974801895768,68.75917380719488,53.24786609489043,43.55409518132216,48.6787761564973,49.92852587082462,53.92302264660428,32.52566427278597,43.86500393618705,46.59187203734975,46.56828275631756,58.810656480233924,42.602295826377116,38.19475696993625,47.36878315826108,33.83898312555499,32.848679231616835,72.82583132502145,57.38348224963732,33.08996771296579,52.27790069735525,51.763573482491736,59.13120535896967,72.40234161597809,48.04230869172966,61.12344839985725,69.98912676800823,60.57349649689727,59.88387036192047,46.37523576473758,59.655676414904185,39.23566406004146,51.70524684549168,60.64889053921366,48.46764944983252,66.64007726161913,37.526221709193614,82.83916388064024,62.217514744979155,43.72510081811144,34.602424549508456,47.48727073819109,25.39590741978383,41.29671258818028,59.5366806570124,28.730785749069693,44.48517217453525,69.7496068826377,69.4829401867972,49.50251849563848,55.127744583937684,51.62456212608748,34.95075691981234,41.74974130054552,44.14805305711012,57.24928438718833,33.96823312809913,37.7849021326161,68.12268609108224,55.7583106097987,46.332370281036496,19.01368111103664,51.72308098345229,63.85202549117512,52.490970491853254,37.17224596022542,33.67309273165868,42.74953935051355,35.83641604412885,46.06317827963289,56.81357752141411,52.0229176683708,60.397870501058364,55.37265282408468,41.7722378929944,74.23891082298688,42.88812306484173,40.28107794942971,42.8855644136401,46.58500820781302,45.54197682272151,25.665853542426852,32.32500864304662,31.785888678556088,28.189369388887886,41.269604753956344,59.72261533164958,37.733000214114654,35.73166241205951,32.137371292784984,37.55912986834708,56.113716067320816,50.52949610219156,32.30064366858904,41.33761483759825,61.206715127969645,38.201019358093795,93.90101689905345,52.24398821670576,28.32042533949129,49.95721402139729,51.70266074885767,49.818312508254465,36.63514209027465,56.21445815962464,81.92803777312497,62.77196825290199,35.97602877709668,38.26508225249532,52.31483564941339,45.56008917721681,71.92585825737606,76.58245381747535,57.93902328589516,47.67242981364837,51.54871763095607,29.881260117532438,66.09677889185225,29.95092930331208,42.50746150507908,57.575754382687855,47.12224410772469,40.71783591393083,34.40911723769735,45.1618664790898,29.682667875676852,34.50837509252672,53.01752902347699,61.02488432474314,64.67213554600129,56.161277259340885,59.85686924106934,30.37827715229206,60.70534472596665,54.971893532908844,58.600926393171555,54.82151723769434,55.44116213957744,34.6101305161965,44.07322810122888,33.79755482305909,60.16782851050425,38.505081598800025,60.58838610526437,45.076879461028255,54.46517099892037,52.74432541183425,70.66008243904345,31.31199769241622,52.354580231850406,31.529076377155587,39.731881819091605,52.86573112879659,41.59318895928876,33.208902715352586
"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_4",24.535992378357182,21.11443697415801,29.044341268948717,24.15679432928385,9.255401599517908,26.742114381402235,11.276798973968248,29.956626498155675,17.84255856757984,19.490036113218668,19.451923352831283,24.597698410316454,17.37446029589103,29.938098548727595,20.12007793710681,20.548615465533526,12.75548296812251,57.822629256596564,15.72786859827784,21.689542030680187,12.726227914027424,12.373666125479284,23.293688952347107,33.81582791006507,28.081472758706838,20.71826269079093,21.784103426021446,22.995833822828036,31.187008810332536,25.808259844752385,21.735124552544068,34.33384490010565,24.43769882770884,17.555326672533127,11.576782547847905,19.11295573122037,29.148791038574096,24.042617887395895,24.4320528303555,18.504755223003407,13.138586886540873,19.9184700265938,18.29632907807078,22.16678654040497,22.413691574430256,18.679739602128674,32.452224245968644,21.773324893808354,16.33943590562983,18.92395567492851,14.151800779213788,21.505111082528966,16.978804313191176,25.380237879855144,15.954675682359817,24.480271263743788,25.272625832696995,11.375733701083593,11.76184389687552,17.771385021889415,18.00654226088326,16.63227214695937,18.318574677537626,23.56756210972,18.691842399347657,24.05274521970588,37.179779787054215,26.08384348629149,38.269422153786984,21.174229882857016,19.84069485250997,31.869982802268986,27.821573726562548,28.538023350235374,13.989316344674792,37.20786927646081,15.136315782637395,23.180163456051215,21.131359122749753,25.580178897198532,31.6321142401208,13.833980039570875,28.974614005804504,31.66376231822689,18.744888694354966,10.83091777878601,22.077764432815126,14.454679338607393,19.24169570715957,24.94246340039896,13.69300860665803,23.012895088475688,27.17105781487858,30.050581415430386,14.477950637440598,28.601183376909752,25.682300094788534,11.686650382987118,18.2435050449779,18.44926682496901,15.942603781956777,17.869041403982845,18.084060584091876,32.69565465055094,25.03818979657015,28.59347528756438,8.180338622752208,25.728861547540642,18.3829619175919,19.464209715757136,15.386660217311938,13.884187326247382,21.092898109272898,14.761659014772224,21.330007476153686,24.592648588449485,12.006868741350642,15.893326839492435,11.330677265284415,13.833562038303883,18.9156743393821,20.505208650436305,17.058327461107123,26.712373969251487,19.331235097855764,14.887041467379426,11.320510945213348,17.1156853814236,13.637409361990493,12.465415547736612,18.987329028710985,45.369611165158176,15.89161406932131,20.422624502329498,15.879260690607369,11.840125367871,33.38648515205824,20.283765820996987,15.363314699650632,26.48494843580249,40.590009484731404,14.482489904445469,31.16126653367832,26.92366104885329,13.684099677111346,18.830611810692876,30.323679817431152,24.544135321956848,17.52506128457747,23.55944422319511,23.377770387522403,22.598603249922853,24.477766127035423,27.9041940165824,30.31530871365597,20.593877022370783,23.213883480141266,25.29539079733015,23.599102157448357,21.666298649038886,24.008568468082128,17.884915933385447,38.893890240620514,13.200806819582922,17.982679710983412,29.409750865053695,21.287622556356954,20.991907203697682,15.818490073311652,18.21667932837539,12.492909801921781,13.777328003654553,25.04900843132035,32.7260932883016,27.652921770881914,18.49704629536358,18.460008767574486,12.520084446564509,20.97947685175942,17.048136551837377,27.759569632567064,28.090508761234844,28.542874998824264,17.3009953620637,26.423410735655118,15.986424539360938,28.3890720186247,20.68264200905462,17.806476267223776,29.55675241882981,29.81766091160622,24.493035365883788,35.89189770327372,17.17058019957263,30.483086647398796,15.043059469084099,17.766417525026554,27.919028024373503,12.62599783097799,13.42795059942509
"Cluster 5240Rv3919c, gid, 16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_9",-14.383711156106866,-15.885184557953155,-14.410213731811487,-14.72770105417461,-8.867292057550774,-20.96312348696883,-2.6625536210945127,-13.77020276921296,-5.983275410917283,-7.946551213670285,-13.569668109749049,-15.149761447225393,-11.929957099757418,-19.25742861430109,-9.650963965894295,-16.524726823976675,-3.24658113911865,-20.144338317079498,-12.810678992338875,-11.641865187820567,-12.56460443413756,-11.982018867853634,-9.902993219026072,-15.89439106240115,-9.839951776306561,-12.002491550247557,-15.455018420904208,-14.574417534646946,-15.685420159563755,-14.422089792596518,-9.551226296522199,-21.804547040119918,-11.69545660156868,-14.777558996421742,-7.056345648908007,-8.353518455354141,-20.57773352733013,-12.297817928009529,-17.22862955296133,-7.637636448220059,-6.71729895016443,-19.085814054948873,-7.356829097067164,-14.123822991360507,-15.002268541474516,-11.306682777237334,-15.649243338967779,-12.718278192914154,-4.62720319035533,-8.75174257924178,-13.979339934953607,-12.859304797328651,-11.111900696906527,-14.800531694063721,-11.051262236444778,-16.919556697256713,-14.67043960810197,-9.022616194754693,-7.460054199723037,-14.52509409945148,-12.721989952399284,-10.062256044555934,-8.811938513232905,-13.757361740631852,-6.797250610020255,-8.939207844765336,-11.312085571466323,-12.567587192432805,-17.86441149751646,-12.943716672509384,-12.604668827379859,-9.844872228693985,-16.51936585461906,-19.37842555982365,-10.894646510096122,-14.835101119677576,-8.398028458970884,-16.5763141966399,-6.387097029659715,-9.966987051089234,-15.800793353067656,-10.20757969731969,-18.490152621714106,-11.940809420010249,-12.303757643347373,-8.4664301444824,-12.642831558103342,-2.9872951932124803,-25.259119714748127,-12.665686269601146,-10.168567109682895,-5.713495509648021,-12.113393558956028,-5.883453239710568,-8.065862946301625,-7.996700927754765,-15.432182491596196,-6.964299744386592,-7.6868501318107825,-8.18868528665426,-13.039700101675479,-9.342030133064858,-6.456601672964094,-16.877713674098086,-11.700767538225557,-15.821873018547963,-7.008517415719294,-15.271387849618263,-4.806419226672326,-11.09985293505419,-12.94676736520633,-5.251047119384507,-18.776094818748966,-10.73344920020913,-18.128595073553093,-10.809723197342858,-9.842744193064465,-10.618983460846778,-12.346603989189274,-12.171506881918404,-12.75891776687398,-8.62291904109857,-6.4262430139626225,-15.837379467468953,-8.514899559494234,-7.166991272318599,-8.606501598929976,-16.996726758742515,-9.852683266047793,-11.653690449300218,-7.969839591198608,-23.76943211891182,-7.820550862054163,-12.44465581148859,-11.09797247774426,-6.8417251132094155,-10.190910705722102,-10.78407000084104,-5.054726121181426,-12.333963214144514,-17.18577930214843,-6.819658879203797,-29.59832107886838,-15.95672771235717,-8.819993102209777,-6.3467143250519635,-16.06069106494404,-7.564688365760372,-6.735827050265215,-12.843857866296661,-19.592158232778264,-7.630350001956311,-8.131287191799302,-19.562651804933427,-16.791289929961934,-18.714594268339034,-12.687437603679195,-15.014000562123544,-15.385056321214016,-16.95587029853641,-8.552523477754841,-7.206590951850215,-24.932876234714538,-9.687599325449945,-1.7601319994575935,-15.281215041645101,-13.177692486789827,-10.108484890003627,-14.734131047756367,-10.551656988015466,-4.959085414393597,-4.536201783652262,-8.860644307011604,-8.99468275417549,-16.040934171532268,-11.668676646903458,-16.443806778352673,-5.5947762979186075,-11.45274323807799,-8.628844806404373,-14.277717690557843,-19.680706830618924,-16.668140096153106,-11.506241514157765,-19.114196250178992,-7.054013386278498,-11.386720940604565,-10.909503548626029,-10.779454291448461,-13.325847680240038,-19.00447985566611,-3.672793575509459,-24.25340671570015,-6.118501188248134,-14.72533144435783,-12.723678807928211,-10.919142852454016,-13.96104331779687,-5.113594953338524,-11.701696118214214
"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_2",-1.2546303657328528,0.0,-10.774807360572993,-14.098068213248872,-8.292660864009703,-5.8497288745183615,-2.3880942008371653,-4.389759676696315,0.0,-1.285775668629011,-10.55669914275306,1.628093516026061,-5.42504971102185,-7.613102776089728,-0.8191681549115577,-9.905637096823,-5.3460498471165785,0.0,-6.4760427340521325,-3.257082096265843,-6.421617835020621,-6.723050390415537,-5.089748617110292,0.0,-9.11518310009639,-7.825463827254455,-14.093938987766455,-5.201279677308705,-6.941168921361398,-2.7958253920242786,-3.044962390185848,-4.626603791999403,-3.750900856148169,-6.604526822770775,-3.2651491873662795,-3.4370484297068473,-3.0894986695227598,-4.692045442133133,-13.837734726190146,-6.855659037168502,-7.958844299009619,-4.060658201767433,-6.680749925643569,-13.67122218317493,-3.6477718562970773,-5.581040681936972,-2.2461852382430636,0.0,-4.576588949951027,-6.896113195478843,-9.740934516080168,-4.879031570883301,-4.908633481360115,-9.5290224215728,-5.360575089955305,-4.703823927939263,-5.365047470433375,-5.442139929980803,-0.7587837749688453,0.0,-9.1236237652443,-6.775600369242332,-2.3058421448642283,-9.244981765000281,-3.398776588718394,-4.154330433268866,-0.1515307233194534,-5.008211061316124,2.382978514736434,-7.435013959417998,-4.483413186486636,-0.03771216897252194,-6.4103764265291145,0.14715396277125792,-7.359985433819354,-3.2566897439531504,-3.5701386480206008,-8.09922282131276,-4.0263732144807225,-3.207690506793443,0.578854034865673,-4.666225798980391,-6.983023418716623,-0.3622468346434966,0.0,-5.681424244228546,-4.685325351913036,-2.0704882912234988,-4.375508821358608,-10.176705023176268,-1.9674112029563298,-3.201214926540466,-4.3040781829337735,0.0,0.0,-3.0062873010930335,0.0,-5.67993085666354,-6.105257523528649,-4.951632000974778,-16.38212069251541,-9.743101256379266,-4.956880567234765,-5.336412552088898,-5.759174778682899,-4.774850629843862,-4.6675497196979965,-8.294058046659378,-3.5621221027557386,-4.848515894252703,-4.058511837386745,-5.156615454711497,-6.47310768257997,-4.160963193528641,-6.2091589500461515,0.0,-9.116941181431272,-3.5197257049994684,-11.478798463427745,-6.6055322721518985,-3.5214653270610077,-1.515828292042774,-3.3479160716305927,-10.117720294101069,-7.09925537492476,-6.485616305650862,-3.190116597952791,-4.711095290262673,-7.13854333825685,-7.407270671891844,0.0,0.0,-3.2810656049717544,-1.0233049621415302,-4.1582387753231504,-7.4917990577555855,-4.596214983947879,-3.3832209789940935,-5.289613697973085,-2.1557330023234558,-6.887074575245887,0.0,-2.669505719265815,-9.510160530024564,-2.923591053764374,-6.778917582137137,-4.624493854527104,-6.713321011355334,-3.6291764963072928,-1.9725446640601265,-5.219536101185732,-7.088285504236664,-9.987197727174845,-6.237024975083237,-3.1600132596755413,0.0,-4.826293069538908,-7.326936707172736,-4.007710434049014,-3.5483689152123885,0.0,-3.800903678594647,-11.00487036287766,0.0,-2.650464129277119,5.931986621077711,-7.04512851950847,-2.678812904728237,-6.138784992246258,-6.183608846883399,-0.6940074146295827,-0.4015763073141374,-7.4757367613771475,-2.3035622309709956,0.0,-5.729245639823554,-3.840718993776856,-0.0591621799173212,-5.167791056963173,-6.893782697574511,-4.809393487810571,-4.968998428302684,-0.7060165373477565,-5.282590706211313,-7.379123874780812,-2.625428828886105,-0.5133412663395689,-5.62573060725524,-6.051747358142369,-1.2658929547305935,-4.131616536256946,-0.27388204073987765,-6.825412735895581,-0.8993577201316285,-3.1237290242877194,-6.950088193157212,-1.5327758380668508,-7.896559717096096,-6.859520713361301,-1.0589833514785187
"Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5",-3.6865412681344933,-1.0498962876219555,-1.126827887177284,-8.538145746705311,-4.939733633603383,-4.051075292803349,-10.604147754009823,-2.758101829234838,-5.298036121503099,-1.655112818032898,-7.286282073230315,,-4.971281002702503,-11.962944676626762,,-9.428854962123468,-3.798945732477377,-3.6942141095914467,-8.475088686181516,-2.2316952728514883,-11.499162699167373,-1.9903577826730245,0.0,-7.791899211438385,-5.740949965696364,0.0,-2.280894403981594,-2.2191115688913725,-2.4956876555502148,,-3.1488615643743056,-7.438696846245566,-3.6427218773795755,,-8.726927696052401,-9.470588056336352,-5.5019476654567985,,-2.4425429906684135,-3.5531128904986824,-6.8539100302315275,-18.967900455778036,-5.880314659612445,-2.9132097253301574,-2.13451714105254,-5.581165628795067,-7.3592610049125335,-3.5919582372962973,-7.5721408998432675,-8.03261761894868,0.0,,0.0,-8.445543484137044,-3.6699364012375217,-4.23797125493669,-6.359076916111402,-2.630161860219836,-4.436329884266021,-3.4650857816515286,-7.085092768777636,-4.356211488485438,-3.612025361879864,-6.299932780752214,-1.7465553887513934,,-2.9263132810617623,-11.354634744446413,-4.6229502519866,-3.2141935931593473,-3.2353373192399304,-7.130238317485798,-12.877034370033199,-9.163884238880982,-11.322420782362347,-5.27837101269809,,-10.253555710175291,-4.319726683675264,-6.646214983614294,-5.134058938462899,-5.589134875623017,-6.466525714785739,-2.5716556781040034,0.0,,-1.5427641087375514,-0.8687922181394803,-3.9477216345218977,-10.229154487148346,-2.5450808560923948,-5.344673812038188,-7.242480595852992,-8.983220995288427,-10.90144777410148,-5.668533461920958,-7.025107155456548,-3.973597165384672,-1.8799547621169082,-2.1049373587827382,-2.4362098759689097,-0.7419827229341593,1.3381544841297346,-9.896280594335238,-6.5406533065482435,,-1.1994276740586491,-5.174361908968,1.5571763778936702,-3.33127248947613,-0.8995136731133337,-4.442508338855915,,-7.471098314670809,-6.459458478321582,-5.647173347033616,0.0,-3.482852493963554,-11.180505758595999,-5.096165059897173,-3.9608175710558897,-5.864167768755264,-5.419750371223242,-7.497362274196956,-5.1277964946744925,,-4.103110565361779,,-9.75003874300785,-4.443888491185935,-8.146643845264641,-4.260633544067087,,,-4.540991629186095,0.0,-3.1524912331807187,-2.0333334290129628,-3.0345464903362087,0.0,-7.18530569181842,0.0,-19.62473220877934,,-0.762899609932953,-3.5000385466485135,0.0,-10.483581836086714,,-6.834879829027893,-5.598482189781035,-3.885295852606558,-6.781197276477623,0.0,,,,-7.521042557551566,,0.0,-4.96288014199086,-1.1317178835080108,-2.2526323632904415,-7.69377971975237,-1.4204050273234174,,-3.417199095886362,-2.4031662267480938,,-7.970352017952103,0.0,-2.6777349016136363,-8.322174771182183,-11.791897484941341,-8.36015893120241,-3.8706130098549636,-2.4376710395047025,0.0,-6.076889036450571,-5.460884238945517,-7.785445524151109,-3.8944714012475847,-10.93766919937291,,-5.459439918324566,-8.001254749962708,-10.024592678238237,-9.910699608157636,-3.065486895514038,-6.083335827734209,-11.527511384220317,-7.014146344438288,-10.174271567243057,-2.962116208085452,-7.4724177268569765,-4.07156276535364,-7.243606413353966,-0.11946563269146782,-4.3372871872357885,
"Cluster 1884Rv0515, Rv0515, 13E12 repeat family protein, HNH endonuclease domain_9",,7.97075354476382,14.010237238499874,,3.5386618449247784,17.125969977069623,,,,,,6.738047601968173,,,,,,22.360404524362107,,,3.000730565703144,,,,,,,,,5.874906835100574,,,,0.0,,,19.396387733557194,,,,,,,9.205419501557104,8.076252748890976,,,,,,,,,2.5860459420464723,5.443639480616264,12.585206750627671,6.558166018208013,,4.271016591533431,11.05155793664629,8.975463743638144,,,,,,,14.57261338503403,17.9786471896291,6.08420726840981,,,6.086957522822069,11.900913932236612,9.157701101265516,,,,,10.482496145077892,,,15.473422985374691,,,8.026532239192292,9.513749867371024,,5.457923673569663,,6.237643890383327,7.59286662337084,,,,,2.5188951596911826,,,,4.23367672689316,7.118063982486282,,10.208009182101021,,11.782408073867247,,15.114621668536099,,8.819266813668984,11.520369218917978,,,,,,11.288725412591003,5.256894876677529,,11.763631152092893,,,10.101732289025968,,,,5.060235316514737,12.001768132169538,,7.737066256833958,,18.423931130657998,,,,,,,,9.884690919448552,8.113901848994498,7.903345339264399,15.710390723348151,,7.709907905149947,,,11.509444119689899,,3.6913791668221556,,,,,4.763922674322624,,,,,,,,,,,,,,,,,,,,,10.785007945507052,5.308938722051286,,,,8.723578206367062,11.03505623948179,2.5772233670459403,,6.315754650266284,,,,3.4439830906715434,,,,,6.41989635764508,12.06168408195544,14.713067091085044,,,,1.4414996388285979
"Cluster 7636Rv2588c, yajC, Preprotein translocase subunit YajC (TC 3.A.5.1.1)_2",-2.9885406676271504,,-4.066089018420052,-4.469109640275687,,-2.1671677178015276,-5.470395295553041,,-3.1083540260188958,,-5.090481965492739,-3.1724550404994605,,,,-4.568644077259336,,-11.653069681076898,,,,-2.205039367974522,-5.664276355783004,-4.5313995190907,-8.334200162503452,0.0,-3.97467573343605,-10.034473389559667,,-8.050662322904614,-7.161771964066237,,-8.750474446694097,,-0.8565864612306284,-7.4551006105917486,-4.713682502874594,-7.654989907397926,-1.4720654018407908,-4.358278762768134,,,-5.954608669901507,-5.061542201361097,-2.7078535201452993,-1.5895148796941065,-9.262745920758501,-8.042683187387112,0.8822926137918392,-6.196940842342138,-0.588789124444935,-2.059524593483445,,-2.5093454603733187,,-2.2582480487991967,-4.64877396077868,,,,,-5.834466616755216,,,-3.3610645058080366,,,-11.739278904443074,,-4.41444826308974,-2.1084230067784393,,-11.16470752495866,-3.6445492938100292,-6.63436089771657,-4.574447865253658,0.0,-3.594484617921457,0.0,-2.3643423070342635,,,-7.593766857562017,,-3.589370867835559,,-5.925514030355786,,-7.942842470367071,-5.26287233785134,,-6.703683517440149,8.416893194892888,-4.456146714266051,-4.019991060170205,,,,-4.477928982976777,,-6.703653212297399,-3.9143696082901855,,,-0.4516747496539735,-2.1128160189445673,,-8.789919286674294,,,0.0,,-7.199228706792459,,-14.660016912369432,-3.123555417441555,-1.0118477830648647,,-3.1211758081764787,,-3.5632800310103736,,-8.691652671844416,-5.932031687021517,-4.7161215188621455,-1.1269696395533828,0.0,,-8.16107426103575,0.0,,-6.395597142669325,,,,-6.509518497247377,-12.377474308852442,,-2.842223968276069,-2.478784394166836,-5.007699597370962,,-2.2628105954814703,-9.117167331069961,,-6.586763047489722,,-1.587575063997868,,,-11.090813060763644,,,,,-3.7620839782233944,-6.291410000434192,-5.342762261252985,-8.160026075586462,-6.54233476279439,-3.300015174386882,-4.367938588011021,,,,-1.951257218139909,-3.3971402286890777,,,0.0,,,-2.3094593344319305,-8.077095051827476,-8.859976893635183,,,,-2.6938929687551143,,-6.085537743882771,,,,-0.711166975725569,,-11.189259413150417,,,-5.442705203977797,-7.814282307983226,-3.088246271418382,-5.526552574139809,-1.9033748708481215,,-2.4342978113386193,0.0,-5.538895936102929,,
"Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2",,-4.972901048620848,,-13.441901445150586,-10.12113932662627,,,,,-5.959033277387066,,-6.902315373394366,,,,,,,-3.374060119543709,,,,,-8.852133735356889,-6.436525654139485,-10.612161536676991,,-10.864855614157591,,-8.521806866703484,,,-16.687877365066505,,-8.5280212576401,,,-8.210266953376005,,,,,,,,,-12.680775000109206,-9.881400268934708,,-9.398208396513178,,,,,,,,,,,,,,-9.98845643037161,,,-16.974844343449206,-15.803926899759732,,,,-17.27104169274764,,,,-10.41107381607946,,-13.684850930830105,,,,,,,,,,-5.769974052425042,-18.14270798558596,,-8.834720212270007,,,,,-6.983161056605481,,,,,-14.46576710074037,,,,,-10.011298571675047,,-9.047946640310968,,-7.64242025364602,,,-11.548223366790086,,,-7.3157065402287715,,,,,,,-9.410175579230263,,,,,,-7.424464441760589,,-1.7500413468659715,,,-8.67192947146877,-0.10437334314596658,,,,,,,-9.283064046717403,,-6.131732976163791,,,,-10.335207072652466,-5.553923403509753,,,,,,,,,,-16.201264505104405,,,,,,,,-2.2113979826076466,,,,,,,,-10.59047812602794,,,-2.938058020979856,,,,,-8.955600325574638,-5.420020391282714,,,,,-5.930626253055572,-6.78284194998896,-16.486470022316063,,,,-8.482868695089174,-7.315924942336565,-4.024445091104246,-12.111395701943032,,-5.826162322896483
"Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_2",6.606443227318782,4.228170024729994,1.053340455945652,7.881111759468603,2.4030072758523326,,,,,,14.418112868048862,,,10.513152983239314,-0.505744007299898,,11.980878647230757,0.0,3.868565541279511,,,,6.006758241899926,3.363905960320304,4.418558375708315,2.7013010695916675,,,,,3.0047110694199066,6.635266337749778,6.180310972123947,6.65289767055086,2.836906605903393,,,3.8258321053339834,23.54843633139988,,0.696897586544291,1.4210929137885622,,,,0.0,13.319343354961674,,2.6371152805687506,,,,,1.0583957010647578,,1.4878599016382348,7.494354631777718,,,,,,,,,,,,,,,7.098890343610336,,,,,,,2.656431139434539,,,6.141668401530462,,,,2.1972555869388097,12.508351441731186,9.736308362651945,,,0.04470658698435659,3.8330250565294683,,6.3698611464084545,2.1851641904879973,2.517583411799115,,,5.223099052944419,8.832094007212506,3.371924620486295,1.402244740949246,,4.243465648340746,8.154676621680771,0.0,5.001630525883994,,,1.955219033652979,,,6.408792324485538,3.73156818731755,10.145021996408193,,9.938986592357983,,5.153502158111962,,0.0,,3.623134450351583,,1.4095235884653559,5.378553076852167,,8.376524627635327,0.0,4.147313757182311,0.0,0.42213322401093456,,,,,3.977166952762805,0.0,5.73633024509568,,,2.951512516431783,0.6959419061988501,,,,8.898533756458479,,,8.965561221678515,,,,6.458076243877516,,,12.383603013245551,13.31693656946083,,,6.474184071617589,,6.100632174225359,,,,4.870205549552534,1.7118832042338052,4.995149631212429,,,,,0.013906432507098554,,,0.0,,,7.3626621788191775,2.7881971813203545,,1.6174428300000854,,,8.396491568990008,,,,,,3.132590714573452,10.057242498280889,,,3.392687109377605,,8.451716622146963,,
"Cluster 2032Rv0001, dnaA, Chromosomal replication initiator protein DnaA_5",-6.3261493600257035,,-7.728203202429523,-4.292939928380869,,,,-9.134898377258182,,-0.9265231048592752,-8.335698558321079,0.0,-1.4517494548691947,-3.2071950182941,-2.9233837549001036,-6.794786867628823,,,-6.821791994527278,-4.038952095923132,-6.750997529612335,,,,-7.779627983118436,,,-2.296810932862904,-5.881276855637616,-6.405980083262349,-3.859975276376096,,-8.333312041874786,0.0,-8.46860883990324,,,-0.6166406875446748,-5.427205137800216,-6.233519179698271,,-5.788033583027442,-6.2357118823337725,,,,,-6.800789893703481,,-6.304991525585998,,,,-0.8224285806370484,,-6.090943009402643,-2.5735995783317414,,-5.308993158486516,,,,-2.1452345309375396,,,-3.3606663549977576,,-7.058229083271806,-3.38686912186133,,-2.5974806820446954,-8.412320168279866,-3.585827926964174,-6.644526975742387,-1.7616171758762507,-5.039091579182229,-2.1250469699260175,,,,,,,-4.6646366945432725,-4.256395169154294,,,,-7.068033543136084,-2.500587278339922,,,-7.726140266326338,-7.785444285599754,,-2.6219260201845014,,-4.538286950521724,,,-8.994968958390128,,,,-7.183781792131172,,,-7.267615746780684,,-0.47593210156538457,-3.432016958887651,-5.804674633154442,-7.123252691435915,,,-4.150015090395064,,0.0,,,,,,,-2.031835433480549,,,,-5.1493136877160515,,,,,,,-2.515756828090551,-5.2814131370086965,,,-7.774606315843288,-5.146488271026135,,-5.871627148096891,-6.899174202420263,,,,,,-2.8721823781283864,,-1.1829128549637993,,0.0,0.0,-0.616841033604792,,,,,-2.4168591016761543,,,,,,,-4.787030373611308,,,,-3.5149440532649,,-4.806935208839858,-8.532821862681,-4.506757248682443,,,-3.077213624793823,,,,,,-5.945497223524075,-3.111687376037142,-6.962336170082186,,-2.518675992112157,,-5.212030271671645,-4.887301945797209,-3.0018140549563848,-4.511355514337045,0.0,,,-7.482881350009044,,
