,"Cluster 2211Rv2447c, folC, Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)_1","Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_4","Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2","Cluster 3005Rv0848, cysK2, Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)_8","Cluster 4486Rv2764c, thyA, Thymidylate synthase (EC 2.1.1.45)_4","Cluster 8101Rv3019c, esxR, ESAT-6-like protein EsxH, 10 kDa antigen CFP7_4","Cluster 7466Rv1942c, mazF5, Death on curing protein, Doc toxin_2","Cluster 5385Rv0481c, Rv0481c, Aliphatic amidase AmiE (EC 3.5.1.4)_1","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_3","Cluster 4806Rv0044c, Rv0044c, Putative oxidoreductase_4","Cluster 1227Rv3498c, mce4B, MCE-family protein MceB_4","Cluster 2893Rv2540c, aroF, Chorismate synthase (EC 4.2.3.5)_1","Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_2","Cluster 3316Rv3796, Rv3796, Putative uncharacterized protein BCG_3858_2","Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_4","Cluster 4053Rv0642c, mmaA4, Methoxy mycolic acid synthase MmaA4_2","Cluster 2262Rv2425c, Rv2425c, VWA containing CoxE family protein_1","Cluster 2698Rv3565, aspB, Valine--pyruvate aminotransferase (EC 2.6.1.66)_5","Cluster 3289Rv2560, Rv2560, PROBABLE PROLINE AND GLYCINE RICH TRANSMEMBRANE PROTEIN_6","Cluster 4603Rv2002, fabG3, 3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53)_6","Cluster 4028Rv0954, Rv0954, 34 kDa antigenic protein_2","Cluster 4536Rv2325c, Rv2325c, Transmembrane component of energizing module of ECF transporters in Mycobacteria_2","Cluster 594Rv0202c, mmpL11, Transmembrane transport protein MmpL11_2","Cluster 2331Rv1182, papA3, PKS-associated protein PapA, condensation domain-containing_4","Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_2","Cluster 1031Rv0803, purL, Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)_4","Cluster 235Rv1662, pks8, Polyketide synthase_7","Cluster 7466Rv1942c, mazF5, Death on curing protein, Doc toxin_3","Cluster 6226Rv0984, moaB2, Molybdenum cofactor biosynthesis protein MoaB_2","Cluster 2003Rv2733c, Rv2733c, tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)_5","Cluster 7971Rv2021c, Rv2021c, Antitoxin HigA_1","Cluster 3205Rv0162c, adhE1, Alcohol dehydrogenase (EC 1.1.1.1)_3","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_1","Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_2","Cluster 9108Rv2128, Rv2128, putative membrane protein_1","Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2","Cluster 4169Rv1357c, Rv1357c, Sensory box/GGDEF family protein_2","Cluster 7971Rv2021c, Rv2021c, Antitoxin HigA_2","Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_1","Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_4"
"Cluster 2211Rv2447c, folC, Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)_1",1.0,0.0,0.0,-0.20234950418451095,0.0,0.0,0.0577731020962489,0.15941793973930873,-0.17783196154059955,0.17955811075588599,-0.21700066305093307,0.06449726097605514,-0.16172248042553344,-0.0771601618405151,0.0,0.0,0.05186036283910484,0.14485743488459263,0.07922666841594615,0.0,0.1075125927447944,0.0,-0.14241976873617448,0.06154793388408426,0.0,0.0,-0.24720770717701343,0.0,-0.0811657544800822,0.09157388045989998,0.0,0.0,0.08269839877788637,0.13475221171063387,-0.10193833183277157,0.0,0.0,0.0,0.0,0.0
"Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_4",0.0,1.0,0.09870990216917618,-0.13141885158375033,0.1857930391978286,-0.14354449389338209,0.0,0.13099226039563097,0.0,0.0,0.05671592263670703,0.0,-0.11008486838047832,0.0,0.06504497654373897,-0.07988229184050707,0.0,0.052331974659003626,-0.08217115282384899,-0.050673241466516666,-0.24511657771012832,0.0,-0.06796042706739619,0.0,0.10125040516350743,-0.11065465694406648,0.0,0.0661282914302325,-0.055715537955572034,0.0,0.10373123120478718,-0.06256490396006346,0.0,0.0,0.0,0.0,-0.10601637845937407,-0.050936435994199496,-0.162916640385372,0.08609906439517688
"Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2",0.0,0.09870990216917618,1.0,-0.12174804027229733,-0.0946905869468353,-0.11132375712583266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17408438166352416,-0.1278024558274651,0.0,0.0,0.05056314969656723,-0.051452677027921404,0.0,0.07850910949225776,0.0,0.0,0.0,-0.05114260674400453,-0.12356239591687791,-0.07936442826945057,0.0,0.0,0.0,-0.10779343419050628,-0.07010670842780811,0.0,0.0,-0.06922713280160327,0.0,0.0,0.0,0.0,0.0
"Cluster 3005Rv0848, cysK2, Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)_8",-0.20234950418451095,-0.13141885158375033,-0.12174804027229733,1.0,-0.1214500811147822,0.13140908456285202,-0.05362785538467038,-0.12340318803943556,0.07195976886542405,-0.12626701105459204,0.0,-0.07441683357788208,0.0620089051898867,0.0,0.0,-0.07392498122457541,0.0,-0.07480068692701257,-0.08141275752970928,0.11355060934163683,0.0,0.0,0.0,-0.17204747290780012,0.07787404085147794,0.11617860802499612,0.06466770006761585,-0.06771749199660487,0.0,0.09606391663271165,0.0,0.0,0.0,0.0,0.10834533018341033,0.05569279070486163,-0.06610213652438704,-0.06335061811739147,0.08215146051243445,0.0
"Cluster 4486Rv2764c, thyA, Thymidylate synthase (EC 2.1.1.45)_4",0.0,0.1857930391978286,-0.0946905869468353,-0.1214500811147822,1.0,-0.07587291919929848,-0.1578493607614563,0.0,0.0,0.11668589562287049,0.07665068007000356,0.09035491348138756,-0.1454684356922911,0.0,-0.08397430050579406,0.0,0.09949611011415971,-0.07575402473903319,-0.17870882902430105,0.0,-0.08545525213184084,-0.08953710816382575,-0.19533622253614188,0.06648427303534567,0.0,-0.11263864030717298,0.0,0.12608980263908878,-0.08900111035067669,-0.08631810654391436,-0.1558494974541187,0.0,0.06416413107326406,0.14329282572328692,-0.13252298876449886,0.0,0.16172151656543496,0.15971526782776221,-0.10962757269145677,0.0
"Cluster 8101Rv3019c, esxR, ESAT-6-like protein EsxH, 10 kDa antigen CFP7_4",0.0,-0.14354449389338209,-0.11132375712583266,0.13140908456285202,-0.07587291919929848,1.0,-0.08812931930478425,-0.19559432761311546,0.0,-0.13970907826695997,0.0,-0.209015619158846,0.0,0.09257319067599325,0.14973492275711972,0.0,0.0,0.0,-0.0873519737021415,0.0,0.0,0.0,0.07028428945621375,-0.13171527429697522,0.0,0.0,0.06384759046922256,-0.08563306277977921,0.06044132549787026,0.0,0.08515339632849835,0.05929352508837558,-0.07714723351113378,-0.06552798701384573,-0.06185773468401978,0.0,0.0,-0.06305758829106343,0.0,-0.08142076193899313
"Cluster 7466Rv1942c, mazF5, Death on curing protein, Doc toxin_2",0.0577731020962489,0.0,0.0,-0.05362785538467038,-0.1578493607614563,-0.08812931930478425,1.0,-0.059175941760055466,-0.08774006760337745,0.0,0.0,-0.14166776374009948,0.1430242265282889,0.06668430458925804,0.0,0.0,0.0,-0.1175898348465618,0.0,0.0,-0.051513855271708694,0.1315581219505448,-0.17966922638337152,0.06507328265956246,0.10165998671738101,-0.051793897477387094,0.0,-0.0975978969383865,0.0,0.0,0.07143335009632311,0.0,0.06588110776932775,0.0,0.13577467730220488,0.0,0.0,0.12677190244899011,0.08337937187196871,0.0
"Cluster 5385Rv0481c, Rv0481c, Aliphatic amidase AmiE (EC 3.5.1.4)_1",0.15941793973930873,0.13099226039563097,0.0,-0.12340318803943556,0.0,-0.19559432761311546,-0.059175941760055466,1.0,-0.1255540183357851,0.09411221136064346,0.0,0.06482428765268555,-0.05154518402369923,0.0,0.0,-0.0912705181967723,0.13032130459729463,0.0,0.0,-0.2001523086031962,-0.11633989824521182,0.0,0.06505955306923718,0.07149099170943528,-0.06335135323234557,-0.09776812191248417,0.07891435742882102,0.13695925276433893,-0.08720650295067588,0.0801686352796186,0.0,0.0,0.0,0.0,0.0,0.0,-0.06245792778070851,0.0,-0.13480866841402264,-0.06488461555207488
"Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_3",-0.17783196154059955,0.0,0.0,0.07195976886542405,0.0,0.0,-0.08774006760337745,-0.1255540183357851,1.0,-0.09955838646357809,-0.1285455900804348,-0.08887935360719261,0.13679205055676466,0.07034899671363012,0.0,0.0,-0.12978595397001894,-0.14420944333558558,0.05621425994004478,0.0,-0.11274652758175976,0.0,-0.05333429128901716,-0.14477150106096845,0.0,0.15912108429062494,0.07909068465088431,0.0,0.0,0.0,0.0,0.07073289828105842,-0.3495884024296628,-0.11645632756736213,0.0,0.08502540374629634,-0.062428290350964,0.0,0.0,0.0
"Cluster 4806Rv0044c, Rv0044c, Putative oxidoreductase_4",0.17955811075588599,0.0,0.0,-0.12626701105459204,0.11668589562287049,-0.13970907826695997,0.0,0.09411221136064346,-0.09955838646357809,1.0,-0.05239507656518785,0.0,-0.11141040308916225,-0.10378017441529841,-0.2286672544263756,0.08908270481056327,0.0,0.1572095416258609,-0.08097689804280638,0.0,0.0,-0.05105111003071924,-0.07489817376636583,0.08637484430527469,0.072343319317479,-0.05254676787767517,-0.06580634312936791,0.0,0.0,0.0,-0.14316618843080156,-0.14182261065074148,0.11684522617394266,0.11633063128654654,0.0,0.0,0.0783158233570008,0.0,0.0,0.0
