,"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_3","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_6","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_1","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_7","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_5","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_2","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_8","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_4","Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 4498Rv0838, lpqR, D-alanyl-D-alanine dipeptidase (EC 3.4.13.22)_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_1","Cluster 1258Rv1402, priA, Helicase PriA essential for oriC/DnaA-independent DNA replication_1","Cluster 7026Rv2704, Rv2704, RidA/YER057c/UK114 superfamily, group 6_2","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_3","Cluster 1601Rv0118c, oxcA, Oxalyl-CoA decarboxylase (EC 4.1.1.8)_6","Cluster 3438Rv1451, ctaB, Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB_1","Cluster 5285Rv2206, Rv2206, CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase_4","Cluster 4010Rv1011, ispE, 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)_3","Cluster 3737Rv1518, Rv1518, Glycosyltransferase PglI (EC 2.4.1.-)_3","Cluster 203Rv2476c, gdh, NAD-specific glutamate dehydrogenase (EC 1.4.1.2), large form_1","Cluster 5025Rv1597, Rv1597, Methyltransferase_1","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_1","Cluster 2698Rv3565, aspB, Valine--pyruvate aminotransferase (EC 2.6.1.66)_2","Cluster 4716Rv1433, Rv1433, putative lipoprotein_3","Cluster 1180Rv0570, nrdZ, Ribonucleotide reductase of class II (coenzyme B12-dependent) (EC 1.17.4.1)_3","Cluster 2642Rv3899c, Rv3899c, Vegetative cell wall protein gp1 precursor_4","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_2","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_2","Cluster 1578Rv1132, Rv1132, putative membrane protein_8","Cluster 4913Rv1339, Rv1339, Metal-dependent hydrolases of the beta-lactamase superfamily III_2","Cluster 621Rv3513c, fadD18, Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD19_7","Cluster 8291Rv3770A, Rv3770A, PROBABLE REMNANT OF A TRANSPOSASE_1","Cluster 5114Rv1483, fabG1, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_1","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3","Cluster 6811Rv2698, Rv2698, FIG01105974: Probable conserved alanine rich transmembrane protein_4","Cluster 5046Rv2208, cobS, Cobalamin synthase (EC 2.7.8.26)_3","Cluster 6010Rv1203c, Rv1203c, ATPase_3","Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_5","Cluster 4931Rv1270c, lprA, Lipoprotein LprA_2","Cluster 1736Rv3280, accD5, Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)_2","Cluster 2457Rv3790, dprE1, Heteromeric decaprenylphosphoryl-beta-D-ribose 2'-epimerase (EC 1.1.98.3) subunit DprE1_1","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_2","Cluster 6226Rv0984, moaB2, Molybdenum cofactor biosynthesis protein MoaB_3","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_3","Cluster 2642Rv3899c, Rv3899c, Vegetative cell wall protein gp1 precursor_5","Cluster 3680Rv3917c, parB, Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J_4","Cluster 8291Rv3770A, Rv3770A, PROBABLE REMNANT OF A TRANSPOSASE_2","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_3","Cluster 4286Rv2859c, Rv2859c, COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster_1","Cluster 3737Rv1518, Rv1518, Glycosyltransferase PglI (EC 2.4.1.-)_4","Cluster 1335Rv3667, acs, Acetyl-CoA synthetase (EC 6.2.1.1)_1","Cluster 5264Rv3434c, Rv3434c, putative membrane protein_2","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 2212Rv0346c, ansP2, L-asparagine permease_2","Cluster 1428Rv3871, eccCb1, FtsK/SpoIIIE family protein EccCb1, component of Type VII secretion system ESX-1_1","Cluster 4197Rv1189, sigI, RNA polymerase sigma factor_1","Cluster 2064Rv2090, Rv2090, Probable 5'-3' exonuclease Bsu YpcP_3"
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_3",1.0,-0.5791815213146396,-0.5957100018095023,0.5017174758059338,-0.622190908497239,-0.6237262424222724,0.3484002600642697,0.5334280649530206,-0.24098335537118307,-0.245091449150533,0.206896447691299,0.28513091067469604,0.23728273547353113,0.123183995618977,-0.1646986353036607,0.1773985217981939,0.16524530071247145,-0.1894295261713482,0.13331174941151142,0.13653387173542225,-0.08536310980068683,0.07260733351686884,0.23046497219700263,-0.12262577959815726,0.17598985229132968,-0.0646169646578747,0.18711066505847815,-0.16728446629545052,-0.10145564731143639,0.0,0.0,-0.08715400081253202,0.0,0.07642442341138543,0.09134509148331524,0.1060128002338816,-0.1551664899788747,0.0,0.05894051716808064,-0.06877803894324463,0.0,0.15289502414967415,0.0,0.09378939563204182,0.14639790103046238,-0.13420450081856153,0.08929015712157443,0.06721147224074152,0.0,0.0,0.09994101184574393,-0.08502895917430157,0.0,0.13793258397802033,0.055229970151637005,0.0,0.0768367847933862,0.0,-0.16900358702089474,0.06900725019668624
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_6",-0.5791815213146396,1.0,0.6853337844397976,-0.5287678824112961,0.7216768166601913,0.7655456838882634,-0.42886344346854816,-0.5479397210211303,0.16760377397203283,0.3176164564477554,-0.2885725595901608,-0.3508764359260503,-0.2727377605778147,-0.17037829949358835,0.14674446535100835,-0.1528808380640784,-0.17816671299624767,0.1691857201335103,-0.1655428345416739,-0.18198759447844884,0.2157582909358661,-0.11006664180311371,-0.184613332033728,0.10198895264345985,-0.1257683910250259,0.07784485606407551,-0.23129929019000348,0.16124660260642681,0.08803892001514524,0.0,-0.06611637863765073,0.14951423268555133,0.0,-0.09693920593144065,-0.05213820414775712,-0.09761475637723928,0.11411993905106575,0.17054928419781762,-0.14109465186567657,0.06961809137188751,0.08532774173685755,-0.07095063149380151,-0.10670271661919288,-0.08181872591554248,-0.14182207625722976,0.21036439180536395,-0.058279685887810365,-0.13234602140531354,0.0,0.0,-0.10111688710651111,0.15067755534009117,-0.10863675550187944,-0.10001323214858948,0.0,0.0,-0.1720820298493287,0.0,0.15344376737634016,-0.11428513340903856
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_1",-0.5957100018095023,0.6853337844397976,1.0,-0.5637292883615456,0.8807875242555727,0.8257975106326819,-0.5796334820493568,-0.6354019853936216,0.47377692725255427,0.3822040087101239,-0.37691036553274215,-0.4250544135087802,-0.3326845521649363,-0.24621592171942397,0.21200206938947486,-0.2022162559690863,-0.21009678340475194,0.193223568695326,-0.12943868513795773,-0.20457377265116936,0.0,-0.10017064332694901,-0.17283318786652527,0.13006965786434724,-0.15506590559094757,0.13975227508583857,-0.2216141395192053,0.1623781603195796,0.0,-0.1153665057034617,-0.07243478113713396,0.061515558533128734,0.051873065802927686,-0.1436946892985632,-0.16877623747327972,-0.17808492917116037,0.11105685038291452,0.11422525909908014,-0.08765078338775989,0.12216727660812471,0.11995009876414627,-0.17602211601619494,-0.1920317422377259,-0.1263977973876433,-0.22128538688954513,0.1819438030743108,-0.06518426330475452,-0.17794732708173933,0.0,-0.10129638351302386,-0.16780577287651902,0.1062276695542791,-0.09238821554828792,-0.1494374526529318,0.0,0.0,-0.16181639424434915,0.0,0.14624889136372538,0.0
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_7",0.5017174758059338,-0.5287678824112961,-0.5637292883615456,1.0,-0.5573915340970981,-0.5950309995596016,0.2900882943198849,0.41024885002283995,-0.2223671053908227,-0.2512873390820571,0.2161077814890592,0.22532938687784215,0.2732256811644232,0.18770405685235478,-0.17174215973719573,0.09356007552936095,0.17896300138445345,-0.19320927838697147,0.08758763872528147,0.08295621620962465,-0.09074437221641363,0.09170197209404615,0.14085604379950725,-0.11831585653720099,0.09779678562666519,0.0,0.1462285758473745,-0.1209492891354789,-0.11960793147646379,0.10705527493897662,0.0,0.0,-0.08759247772772985,0.06661796239682946,0.06715889504564024,0.0,-0.10565601882489258,-0.08740203081367028,0.08884297076110076,-0.10128734847621172,-0.07030744196573825,0.13149982387661022,0.0,0.1107920490007832,0.1370990946036808,-0.10101290766778766,0.0,0.06704055139641885,0.0,0.0,0.06639202103563442,-0.1732116982230014,0.0,0.07270694505370226,0.0,0.054001345890606456,0.17001223334254262,0.0,-0.14288042462838987,0.0
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_5",-0.622190908497239,0.7216768166601913,0.8807875242555727,-0.5573915340970981,1.0,0.8016913466448009,-0.5626795536337279,-0.6597465448934673,0.3264212939113451,0.37060386146189356,-0.3452592122967892,-0.38594976532919045,-0.32241338947115983,-0.2275527412358372,0.25485935195714693,-0.24571820355125057,-0.14844388085499027,0.1974630083019936,-0.12742810821225165,-0.23684563416761553,0.09663158069480011,-0.072503256738057,-0.18974468752487417,0.13431403247237905,-0.1483685802122205,0.1430987447043364,-0.23629574532035916,0.15905806066816824,0.1341919605059657,-0.12606792774544437,0.0,0.11982019243540236,0.07863948429928959,-0.10418276614089876,-0.16432057867736874,-0.09290488504873365,0.12179325344072756,0.1106924056850852,-0.059542961536529354,0.11467522212532177,0.131752488132287,-0.16977370079967039,-0.16958853829438622,-0.11397532882293686,-0.21092263483349796,0.18376723948682888,-0.05521719628785195,-0.12493620464658413,0.0,-0.0945264379855059,-0.14046756587086695,0.12424338376337156,-0.07384348089225826,-0.12268482892493922,0.06899502714256864,0.0,-0.1393936160143979,0.0,0.18276669904553428,0.0
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_2",-0.6237262424222724,0.7655456838882634,0.8257975106326819,-0.5950309995596016,0.8016913466448009,1.0,-0.47400574183679534,-0.5509324324903632,0.40174152706342786,0.3739749215170988,-0.33588583942875233,-0.4040101190071699,-0.2944274539108318,-0.2162625962775663,0.16403138789639493,-0.19373119107646902,-0.27885778053891713,0.2636750534128579,-0.1670354350694264,-0.231170918120123,0.1907340023299224,-0.12296241985918413,-0.20257413116429346,0.07750745799048088,-0.15085083045290032,0.12379617647640592,-0.15949698668676593,0.1859183203615119,0.09957940846884707,-0.09203101979358219,0.0,0.09439242439227304,0.0,-0.11681293465791746,-0.1014223398559353,-0.1740665917731914,0.14209332430265056,0.13053265074313794,-0.23750049276488797,0.10217285240260061,0.07676877264129954,-0.16324214544701715,-0.11002995481475662,-0.11395987850920895,-0.20995121775583006,0.16673029716039608,-0.12099123683465235,-0.21607832939507945,0.0,-0.07125585955779189,-0.18363840722842223,0.11554063034654578,-0.06202593466387811,-0.11837588829075776,0.0,-0.05893919656222968,-0.18470562620990238,0.0,0.19069309100915138,-0.09458874859562844
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_8",0.3484002600642697,-0.42886344346854816,-0.5796334820493568,0.2900882943198849,-0.5626795536337279,-0.47400574183679534,1.0,0.4844541040306817,-0.2531811604225032,-0.2555360565515769,0.2397440702013498,0.1494260723236856,0.21601356595578355,0.09984758284551326,-0.21414790087642893,0.15746434921319008,0.12449277379774214,0.0,0.0,0.09554061473373228,0.0,0.06849535464625917,0.1179618829347521,-0.1008800706939975,0.13487426134018432,-0.12478006134637588,0.18109992846797027,-0.14812281101799027,-0.07166786226027384,0.06519680176921158,0.0857070803354248,0.0,0.0,0.07329732711865508,0.12877780772449432,0.09258473888957679,0.0,-0.0504890918795887,0.11405072914515309,-0.11493666159021562,-0.09112674377050352,0.07333157458448723,0.05203144904354346,0.06187434135775263,0.1548330698073388,-0.09596698064033866,0.0,0.06769361897177938,0.0,0.07775794276498822,0.10736526342900553,-0.07374313845795204,0.0868769268162147,0.10648954859032997,0.0,0.0,0.1223323221861461,0.0,-0.19061104665544087,0.0
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_4",0.5334280649530206,-0.5479397210211303,-0.6354019853936216,0.41024885002283995,-0.6597465448934673,-0.5509324324903632,0.4844541040306817,1.0,-0.26760471236688654,-0.23907779241621027,0.3747954471148932,0.2534110736978638,0.18909730348042947,0.16122375690014393,-0.21313227232168874,0.13675547312127292,0.0,-0.14092490405982827,0.08663005522561931,0.11787339070197288,0.0,0.0,0.2306719650038284,-0.13449169923915813,0.15424398782392465,0.0,0.1827911366334585,-0.17690599040699415,-0.14108862423410662,0.10202634647468695,0.08348860123840905,-0.23610814267594357,-0.06293592220799527,0.13758596631191514,0.13732324317922076,0.07023682735703432,-0.1503122316533732,-0.08773898238816072,0.0,-0.06386188989088454,-0.05852354014871114,0.12106362794756921,0.0,0.1204914251659998,0.20227410775260674,-0.17670992451380466,0.0,0.10745240828694398,0.0,0.07244773755934408,0.15913749568175098,-0.07104262680168036,0.0,0.16017315926743728,0.0,0.0,0.12908786701775848,-0.07384883417134226,-0.19373284181753744,0.0
"Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1",-0.24098335537118307,0.16760377397203283,0.47377692725255427,-0.2223671053908227,0.3264212939113451,0.40174152706342786,-0.2531811604225032,-0.26760471236688654,1.0,0.10714041289179115,-0.3058897593114856,-0.3610092936096218,-0.15034212037891867,-0.0834952408126376,0.0,-0.06011883318939706,-0.14569915613962225,0.3101189253964035,-0.07169861144698353,-0.09662061740262246,-0.3218724856982849,-0.19141882897636261,0.11957944134182917,0.11895425711470395,-0.11366754147750417,0.0,-0.1421313608453732,-0.07919674187402448,-0.17414502950625574,-0.07405560823453312,-0.11816076572264261,-0.16433070348620907,-0.06076147971638898,0.07636932374897941,-0.21792362200199775,-0.1666291331161682,0.0,-0.0597973617300557,-0.09174235342813582,0.0,0.0,-0.261616129067586,0.0,0.0,-0.15046451366488878,0.06391871050994315,-0.08403452452176984,-0.11935805788991176,-0.05835245245848563,-0.1673802774287756,-0.14953225708302445,0.09744022155577965,0.0,-0.06860586239696585,0.0,0.0,-0.15230560438538027,0.0,0.0,0.0
"Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5",-0.245091449150533,0.3176164564477554,0.3822040087101239,-0.2512873390820571,0.37060386146189356,0.3739749215170988,-0.2555360565515769,-0.23907779241621027,0.10714041289179115,1.0,-0.1894497289557626,-0.29417936079295964,-0.18518092431481434,-0.1689183636140384,0.236053897190466,-0.10047944094127462,-0.12291925383963428,0.09132428242608885,0.0,-0.156462327167965,-0.06369870475804525,-0.08999640590565348,-0.10339102722030752,0.06850708855993397,-0.16629569577312248,0.059959118991754316,-0.1671406788235235,0.0,0.0,0.0,0.0,-0.08936342931105294,0.09318562665823552,-0.07762853846393707,0.0,-0.09469632496232536,0.10537637381240121,0.14588616767888216,-0.14264109766348668,0.0,0.19709906109739636,0.0,-0.05967372917507673,0.0,-0.07887858783584904,0.0,-0.06938944973191592,-0.1436251526168801,0.0,0.0,0.0,0.0,-0.168685132182835,0.0,0.0,-0.051869841019038784,0.0,0.0,0.0,0.0
