,"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10","Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2","Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1","Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 5025Rv1597, Rv1597, Methyltransferase_1","Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_4","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 619Rv1664, pks9, Polyketide synthase_3","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 2804Rv0867c, rpfA, Resuscitation-promoting factor RpfA_1","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_2","Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_1","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 577Rv1683, Rv1683, Polyhydroxyalkanoic acid synthase_3","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_3","Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_2","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3","Cluster 3178Rv2777c, Rv2777c, FF domain protein_7","Cluster 5665Rv0956, purN, Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)_4","Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_1","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_1","Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 4913Rv1339, Rv1339, Metal-dependent hydrolases of the beta-lactamase superfamily III_2","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_2","Cluster 4737Rv1964, yrbE3A, Conserved hypothetical integral membrane protein YrbEa_3","Cluster 4498Rv0838, lpqR, D-alanyl-D-alanine dipeptidase (EC 3.4.13.22)_2","Cluster 441Rv3300c, Rv3300c, Arylsulfatase (EC 3.1.6.1)_6","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_4","Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_4","Cluster 2401Rv0473, Rv0473, putative membrane protein_3","Cluster 581Rv3887c, eccD2, Serine protease mycosin MycP5, component of Type VII secretion system ESX-5_16","Cluster 2747Rv2181, Rv2181, putative membrane protein_1","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_1","Cluster 2697Rv3074, Rv3074, CONSERVED 13E12 REPEAT FAMILY PROTEIN_3","Cluster 7026Rv2704, Rv2704, RidA/YER057c/UK114 superfamily, group 6_2","Cluster 1927Rv0773c, ggtA, Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)_2","Cluster 3136Rv0389, purT, Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)_1","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 5187Rv3631, Rv3631, Polyprenyl-phospho-N-acetylgalactosaminyl synthase PpgS_2","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_3","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_6","Cluster 7518Rv3017c, esxQ, ESAT-6-like protein EsxH, 10 kDa antigen CFP7_3","Cluster 573Rv3239c, Rv3239c, EmrB/QacA family drug resistance transporter_1","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_2","Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_1","Cluster 7386Rv1343c, lprD, Lipoprotein LprD_2","Cluster 4778Rv0695, Rv0695, Cyclic amid hydrolase in mycofactocin cluster_1","Cluster 2515Rv0955, Rv0955, FIG021574: Possible membrane protein related to de Novo purine biosynthesis_3","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_4"
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4",1.0,-0.675352753941997,-0.28668622607633676,-0.4737099530335359,0.22985489783456295,0.0,0.4403043781085342,0.3865327987545475,-0.3427140374802672,0.36276864302565615,-0.11416395427568161,-0.26084807919999464,-0.2047476871756909,0.200419509516688,-0.2796924500840848,-0.15325582618992617,-0.15121052340373228,-0.10069861309156705,-0.09313019087964337,-0.14384744101635885,-0.22496505253931284,-0.26134791774202093,-0.11049545321978783,-0.3138238259858893,-0.06067260033495029,-0.1742805420170579,0.08572037125846542,-0.17922511330284283,-0.1739156373723381,-0.22286123549990206,-0.08366943195628265,0.12569798758409578,-0.11179874854361614,0.11349009030014345,0.07277852450692553,-0.19653444107830084,0.24668154437557646,-0.10441787787317247,0.20642784214128587,0.12186108183270057,0.0793915515911087,0.08663301677488729,-0.12768201159580872,0.0,0.21057543745771304,-0.13456540424481478,-0.10892196834143007,-0.24242054015528147,0.0,-0.07684872912558324,-0.20220301649855174,-0.18787221394880604,0.0,-0.13247139700761207,-0.2076460277850393,0.257462311121424,0.12628546628572468,-0.1356562348435875,-0.26090645809954155,-0.1755437949699168
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3",-0.675352753941997,1.0,0.27851240048853865,0.39350541152123814,-0.19118777673614584,0.23957586298596706,-0.3605061573961938,-0.30766976507468813,0.3110513510916076,-0.2901607063264702,0.0,0.09795344961662097,0.10885210860528244,-0.18936545724710332,0.2301245369845056,0.12241953919188278,0.1450057555376132,0.0,0.0,0.0,0.1068193433617361,0.07773063375618976,0.0,0.11261921329250077,0.0,0.14877517897555545,0.0,0.09888001530869006,0.0882997243434418,0.17497069047180294,0.0,-0.148452220271765,0.07499556659147728,-0.10891590241682765,-0.059421206800617084,0.05578447983930023,-0.08284799906094178,0.05149271454499134,-0.1526600507675711,-0.11493119507321153,-0.075224997121827,-0.13855886301091283,0.0,0.0,-0.16892775073749344,0.09859388079078853,0.09281241580800317,0.2386435348552446,-0.05746912821339417,0.13098981697253775,0.0561929678794396,0.12237493487950857,0.0,0.11001558583691022,0.1334136036670582,-0.1251054082258135,-0.15423516440509913,0.06208004829906816,0.1853467874180503,0.08512308920521065
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10",-0.28668622607633676,0.27851240048853865,1.0,0.06545170026485633,-0.0907990123465666,-0.07158495064519428,0.0,-0.1325181936441475,0.0,-0.1522905284292036,0.0,0.13590599926298136,0.0,0.0,0.17177280310223983,0.07743577783650504,0.09720873415001786,0.06911836772761205,0.0,0.0,0.2078246488169709,0.1565611637035176,0.0,0.1620822827469095,0.0,0.06543164283393092,0.0,0.12007004200106522,0.0,0.11943275210279305,0.0,-0.07101757073107731,0.06036929750553108,-0.15079226649606928,0.0,0.20208815298121674,-0.12635779476665346,0.057887036187984124,-0.10244480973429673,0.0,-0.05075972655337248,0.0,0.058896508213154966,0.0,0.0,0.0,0.0,0.052926397426815215,0.0,0.0,0.10781831729109519,0.0727938254719616,-0.07328096138076799,0.0,0.11295293555628523,0.0,0.0,0.0,0.07608918320396436,0.0
"Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2",-0.4737099530335359,0.39350541152123814,0.06545170026485633,1.0,-0.09833106412368176,0.0,-0.17557256984752076,-0.19620908784874616,0.18503735913982572,-0.24769629766842985,0.06054235617655904,0.0,0.12047833517231213,-0.11037133593803584,0.07615914628822065,0.0,-0.060581211189994114,0.053899402746086456,0.0,0.0,0.14013591475537884,0.0,0.0,0.1038172139828564,0.0,0.07197512522582683,-0.08313783911634608,0.125209696726757,0.1361172322081332,0.16113806164526137,0.0,0.0,0.16770417501626791,0.0,-0.08293921240367672,-0.05686484446884554,0.0,0.0,-0.11743365953342769,-0.12712824950172685,-0.13382357889216023,0.0,0.0,0.0,-0.06151169904560059,0.13422654148889596,0.0,0.15610016443739877,0.0,0.08860548262175012,-0.06765181519850894,0.0,0.051945274428722744,0.0,0.0,-0.1724366401425257,-0.07107992706948493,0.05520217013377019,0.18578663643108287,0.08953588957176699
"Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1",0.22985489783456295,-0.19118777673614584,-0.0907990123465666,-0.09833106412368176,1.0,-0.08899408988021476,0.0,0.0,0.0,0.08779826589684289,0.0,0.0,0.11309557846611235,0.0,0.0,0.07424311791738109,0.0,-0.12936923453992633,0.05141021416219206,0.0,-0.20383625867917743,0.0,-0.18004704653313489,0.0,0.0,-0.1169523976435015,-0.06732292432805063,0.0,0.0,-0.1838539524772243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12943528264646764,0.0,0.0,0.0,0.0,0.0,-0.06266351894216493,0.0,0.0,-0.08686901488683563,-0.06982149481811806,0.09618344397474052,0.0,0.0,0.0,0.10667934022460795,0.0,0.0,-0.06187605488665583,0.0,-0.08175688545210401,0.0,-0.05837689399950007
"Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6",0.0,0.23957586298596706,-0.07158495064519428,0.0,-0.08899408988021476,1.0,0.06921111082350598,-0.11078632870706585,0.07280992064116076,0.0,-0.1760091311334901,-0.13663423611623074,0.0,0.0,-0.11601822253245479,-0.07293853687476368,0.0,0.0,-0.18732070061585204,0.0,-0.06070442291834551,0.0,-0.08557530553143496,-0.14945355490117262,-0.1082135910702926,0.0,0.05289825413980945,0.0,0.0,0.0,-0.10082328465104645,0.0,0.05341312424417992,0.0,0.1887427399386228,0.0,0.08528555169035405,0.0,0.0,0.0614129005066771,0.0542018658178288,-0.07646565721263054,-0.07575821078847998,0.0,0.0,-0.054703368342741816,0.0,0.14967814979468094,-0.11882785558962748,0.0,-0.10979146415470108,-0.1176058933551601,0.0,0.0,-0.05819223388708629,0.0,-0.07846351240978616,0.0,0.0,0.0
"Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5",0.4403043781085342,-0.3605061573961938,0.0,-0.17557256984752076,0.0,0.06921111082350598,1.0,0.2812968413690147,-0.24775011153340887,0.2998346659903906,-0.07453526877069569,-0.09352346601045108,-0.12418336245011333,0.26260480418745874,-0.19755522488794558,-0.2017632633755999,-0.09082509882224504,0.0,0.0,0.0,0.06702718367923073,-0.1191658704876051,-0.06148813424476725,-0.15886065101518693,0.062680269222541,0.0,0.073405631335468,0.06734835852941355,-0.05753761273079778,0.0,0.05407739314983723,0.1493083605433474,0.0,0.0,0.13381689295363403,0.0,0.1361448040489312,-0.17878413796973783,0.14216283340029282,0.0,0.05117826142450146,0.05617941921645625,0.0,0.0,0.0,0.0,-0.22286070770659439,-0.09151250835862383,0.0,0.0,0.0,-0.13858542759475054,0.0,-0.11872968191027111,0.07569836197496185,0.09252366453151767,0.07352919605177899,0.0,-0.2315186158578603,0.0
"Cluster 5025Rv1597, Rv1597, Methyltransferase_1",0.3865327987545475,-0.30766976507468813,-0.1325181936441475,-0.19620908784874616,0.0,-0.11078632870706585,0.2812968413690147,1.0,-0.18280031038893663,0.19611802868915987,0.0,-0.060940310820985465,-0.1300999509850818,0.10957919407824135,-0.10532649891365735,-0.05076248088911046,-0.05515175160817249,0.0,0.0,0.0,0.0,-0.06560904603907075,0.0,-0.06889302191574669,0.0,0.0,0.05390947834704095,-0.07565309293967956,-0.06542765132791699,0.0,0.0,0.0,-0.0723764386146506,0.0,-0.06759926161096834,0.0,0.0530369317799859,-0.13552569201486528,-0.06420204080027778,0.0,0.0,0.0,-0.08506845379860328,0.07740321486547638,0.07166229652004051,-0.08368711808208144,-0.16737390916381925,-0.1792455214675459,0.0,0.0,0.0,0.0,0.06895616216454088,0.0,0.0,0.0789017637976654,0.0,-0.06210985494928167,-0.20457481613540138,-0.08380536738635246
"Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2",-0.3427140374802672,0.3110513510916076,0.0,0.18503735913982572,0.0,0.07280992064116076,-0.24775011153340887,-0.18280031038893663,1.0,-0.13803381696683845,0.14925045797494124,0.09163098747060115,0.06351859047144022,-0.08356860970573461,0.0,0.12905129070436014,0.08545744836801011,0.0,0.15762338443554888,0.0,0.0,0.0,0.16443686156476492,0.13986433984368848,-0.058524660338678015,-0.08210875818936997,0.0,0.0,0.21620118872392985,0.11948838977930781,0.0,-0.10792698334747607,0.0,-0.07915606826845037,-0.10906841568187878,0.0,0.0,0.0,-0.14951648116071042,0.0,0.0,0.0,-0.05151397954919897,0.0,0.0,0.0681199362150132,0.05156021677233611,0.135119816320646,-0.07205001244954666,0.0,0.0,0.0,0.0718700300488671,0.08559642835387317,0.0,-0.12559816294104326,0.0,0.0,0.1543466959954334,0.0
"Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8",0.36276864302565615,-0.2901607063264702,-0.1522905284292036,-0.24769629766842985,0.08779826589684289,0.0,0.2998346659903906,0.19611802868915987,-0.13803381696683845,1.0,-0.097326430200409,0.0,-0.1853195648809251,0.0,-0.29167119057178315,0.0,-0.06193678942275837,-0.1758052889383173,-0.07167224864289186,-0.09306690214375228,-0.07143576695423975,-0.058172031069641784,0.0,-0.06478836206318217,0.0,0.0,0.05652272470635821,-0.050482911575920775,0.0,0.0,0.0,0.12503838453541655,-0.0508150524693545,0.0,0.0,0.0,0.10627823335417438,0.0,0.06261253025508307,0.15086452574669532,0.051467207553480075,0.06879183660359603,0.0,0.0,0.0,0.05923718229745734,-0.12234339769588311,-0.20635104475524402,0.0,0.0,0.0,-0.25279933663788706,0.0,-0.18247556396025794,0.0,0.0,0.06939134745653966,0.0,-0.35111920696520854,0.0
"Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_4",-0.11416395427568161,0.0,0.0,0.06054235617655904,0.0,-0.1760091311334901,-0.07453526877069569,0.0,0.14925045797494124,-0.097326430200409,1.0,-0.05432878334026403,0.06556872326865595,0.0,-0.061053034056023005,-0.07283448867563033,0.0,0.0,0.9439314030734166,0.05876457588883533,0.0,0.0,-0.05552882623654469,0.0,0.0,0.0,0.056165021397082814,0.0,0.0,0.0,0.0,0.0,0.0,0.08674353657317602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1368623292124571,0.0,0.0,0.09794053216887683,0.0,0.0,0.0,0.06752060443047148,0.0,0.0,0.0,0.17785426534555554,0.0
"Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1",-0.26084807919999464,0.09795344961662097,0.13590599926298136,0.0,0.0,-0.13663423611623074,-0.09352346601045108,-0.060940310820985465,0.09163098747060115,0.0,-0.05432878334026403,1.0,0.0,0.18779164495019177,0.0,0.0,0.1414779304965217,0.0,-0.05530448863723509,0.0,-0.07564421070895912,0.1621540856627963,0.0,0.8960988245609596,0.0,0.0,0.0,0.0,0.057500459378490805,0.06384371233146685,0.0,0.0,0.0,0.0,0.0,0.327407898620824,-0.22564057986775388,0.0,0.0,-0.05466549658996145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10773470192853843,0.0,0.0,0.472348245017095,0.0,0.0,0.0,0.5066050568817644,-0.16607322189156087,0.0,0.0,0.07727189830411298,0.0
"Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2",-0.2047476871756909,0.10885210860528244,0.0,0.12047833517231213,0.11309557846611235,0.0,-0.12418336245011333,-0.1300999509850818,0.06351859047144022,-0.1853195648809251,0.06556872326865595,0.0,1.0,-0.08458926368833868,0.0868769811386806,0.0,0.0,0.0,0.05097676437202271,0.0,0.0,0.05186626945623436,0.0,0.0,0.185005415369099,0.05152349779994135,0.0,0.11344539405097512,-0.05386500526765817,0.0,0.17143620583170627,-0.07890591572395066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07076556140883013,0.0,0.0,0.07782886313473052,-0.07843115778202807,-0.219884883426866,0.0,0.0,0.13207239532482443,0.09694914564046346,0.0,0.0,0.1066957734746639,0.0,0.0,0.0,-0.07615424973873519,-0.06918963994011812,0.0,0.12964590569955667,0.22387765649158692
"Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2",0.200419509516688,-0.18936545724710332,0.0,-0.11037133593803584,0.0,0.0,0.26260480418745874,0.10957919407824135,-0.08356860970573461,0.0,0.0,0.18779164495019177,-0.08458926368833868,1.0,-0.19173307605461215,-0.05673215382086988,-0.12968241738105593,0.0,0.0,0.0,0.0,0.0,0.0,0.1392062616927904,0.0,0.0,0.0,-0.13860864971941048,0.0,-0.10746530842332441,0.0,0.0,0.0,0.0,0.0,0.0,0.08473883065406218,0.0,0.1006195876742796,0.0,0.06048347160061053,0.0,-0.11111140342326824,0.0,0.2119931478846863,0.0,0.0,0.07482406554833305,0.0,0.0,0.17656760172628136,-0.15498269402108458,0.0,0.0,0.1007247780523594,0.09510618882891486,0.0,0.0,-0.11665666838175454,-0.16966651181034004
