,clust_to_rv,gene_name,ortho,cog,product,refseq,count,score,name_to_rv,pan
Cluster 0,Rv2048c,pks12,653045.Strvi_4160,Q,Polyketide synthase,AN47_01827,1590,7958.6,0,Core
Cluster 1,Rv3344c,PE_PGRS49,0,0,PE-PGRS family protein,X171_03503,794,0.0,0,Acces
Cluster 10,0,MRA_3390,419947.MRA_3390,N,PPE family protein,T604_03914,45,282.5,0,Acces
Cluster 100,Rv3512,PE_PGRS56,0,0,PE-PGRS family protein,MT7199_3572,692,0.0,0,Acces
Cluster 1000,0,0,0,0,PE-PGRS family protein,AN96_03817,4,0.0,0,Uniq
Cluster 10000,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10001,0,0,0,0,FIG00820367: hypothetical protein,None,1048,0.0,0,Acces
Cluster 10002,0,0,0,0,FIG00823495: hypothetical protein,None,1593,0.0,0,Core
Cluster 10003,0,0,0,0,FIG00820368: hypothetical protein,None,957,0.0,0,Acces
Cluster 10004,0,0,0,0,FIG00821100: hypothetical protein,None,1591,0.0,0,Core
Cluster 10005,0,RV0751C,216594.MMAR_1077,I,3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31),Z578_02108,1594,72.2,0,Core
Cluster 10006,0,0,0,0,FIG00820330: hypothetical protein,None,1431,0.0,0,Acces
Cluster 10007,0,0,0,0,hypothetical protein,None,589,0.0,0,Acces
Cluster 10008,0,MTUBH3_010100019668,419947.MtubH3_010100019668,S,hypothetical protein,None,1593,103.4,0,Core
Cluster 10009,0,0,0,0,FIG00822540: hypothetical protein,None,1369,0.0,0,Acces
Cluster 1001,0,0,0,0,PE-PGRS family protein,X166_01127,49,0.0,0,Acces
Cluster 10010,0,0,0,0,hypothetical protein,None,793,0.0,0,Acces
Cluster 10011,0,0,0,0,FIG00821789: hypothetical protein,None,554,0.0,0,Acces
Cluster 10012,0,0,0,0,hypothetical protein,None,120,0.0,0,Acces
Cluster 10013,0,0,0,0,FIG00829016: hypothetical protein,None,894,0.0,0,Acces
Cluster 10014,0,0,0,0,hypothetical protein,None,171,0.0,0,Acces
Cluster 10015,0,0,0,0,PE-PGRS family protein,None,6,0.0,0,Acces
Cluster 10016,0,0,0,0,hypothetical protein,None,32,0.0,0,Acces
Cluster 10017,0,0,0,0,hypothetical protein,None,21,0.0,0,Acces
Cluster 10018,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10019,0,0,0,0,hypothetical protein,None,62,0.0,0,Acces
Cluster 1002,Rv1821,secA2,419947.MtubH3_010100008640,U,Protein translocase subunit SecA paralog 1,Z578_01330,1595,1716.6,0,Core
Cluster 10020,0,0,0,0,Pterin-4-alpha-carbinolamine dehydratase ,X305_03462,4,0.0,0,Uniq
Cluster 10021,0,0,0,0,hypothetical protein,None,5,0.0,0,Acces
Cluster 10022,0,0,0,0,hypothetical protein,None,54,0.0,0,Acces
Cluster 10023,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10024,0,0,0,0,hypothetical protein,None,93,0.0,0,Acces
Cluster 10025,0,0,0,0,FIG00822862: hypothetical protein,None,8,0.0,0,Acces
Cluster 10026,0,0,0,0,hypothetical protein,None,29,0.0,0,Acces
Cluster 10027,0,0,0,0,FIG00825170: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10028,0,0,0,0,hypothetical protein,None,7,0.0,0,Acces
Cluster 10029,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1003,0,0,0,0,putative membrane protein,None,2,0.0,0,Uniq
Cluster 10030,0,0,0,0,hypothetical protein,None,8,0.0,0,Acces
Cluster 10031,0,0,0,0,hypothetical protein,None,5,0.0,0,Acces
Cluster 10032,0,0,0,0,Uncharacterized protein Q1 colocalized with Q,None,3,0.0,0,Uniq
Cluster 10033,0,0,0,0,hypothetical protein,None,6,0.0,0,Acces
Cluster 10034,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10035,Rv2452c,Rv2452c,0,0,FIG070430: hypothetical protein,Rv2452c,1,0.0,0,Uniq
Cluster 10036,0,0,0,0,FIG00824821: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10037,0,0,0,0,FIG00825170: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10038,0,0,0,0,hypothetical protein,None,14,0.0,0,Acces
Cluster 10039,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1004,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10040,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10041,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10042,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
