,"Cluster 2122Rv3854c, ethA, Monooxygenase EthA (EC 1.-.-.-)_9","Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4","Cluster 3373Rv1184c, Rv1184c, FIG01386146: Possible exported protein, Rv1184c_2","Cluster 6929Rv1334, mec, CysO-cysteine peptidase_2","Cluster 5664Rv3421c, Rv3421c, TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA_2","Cluster 6929Rv1334, mec, CysO-cysteine peptidase_1","Cluster 87260, 0, Hydrogen peroxide-inducible genes activator_1","Cluster 5593Rv1222, rseA, Anti-sigma factor RseA_7","Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_4","Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2","Cluster 5575Rv3160c, Rv3160c, Transcriptional regulator, AcrR family_3","Cluster 9540Rv1888A, Rv1888A, O-Methyltransferase involved in polyketide biosynthesis_1","Cluster 6999Rv0301, vapC2, Toxin 1, PIN domain_1","Cluster 3774Rv3336c, trpS, Tryptophanyl-tRNA synthetase (EC 6.1.1.2)_1","Cluster 7317Rv2656c, Rv2656c, Probable phiRv1 phage protein_3","Cluster 6316Rv3471c, Rv3471c, Mannose-6-phosphate isomerase_3","Cluster 7317Rv2656c, Rv2656c, Probable phiRv1 phage protein_1","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_6","Cluster 7362Rv1690, lprJ, Possible lipoprotein LprJ_2","Cluster 3925Rv1647, Rv1647, Purine cyclase-related protein_1","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_1","Cluster 2698Rv3565, aspB, Valine--pyruvate aminotransferase (EC 2.6.1.66)_5","Cluster 3373Rv1184c, Rv1184c, FIG01386146: Possible exported protein, Rv1184c_5","Cluster 2438Rv3432c, gadB, Glutamate decarboxylase (EC 4.1.1.15)_1","Cluster 4070Rv2151c, ftsQ, Cell division protein FtsQ_2","Cluster 4980Rv1591, Rv1591, Putative transmembrane protein_3","Cluster 1047Rv1923, lipD, Esterase A_2","Cluster 1158Rv1564c, treX, Glycogen debranching enzyme (EC 3.2.1.-)_1","Cluster 7362Rv1690, lprJ, Possible lipoprotein LprJ_1","Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2","Cluster 6032Rv0921, Rv0921, Resolvase_4","Cluster 4070Rv2151c, ftsQ, Cell division protein FtsQ_1","Cluster 5706Rv0821c, phoY2, Phosphate transport system regulatory protein PhoU_1","Cluster 2256Rv1129c, Rv1129c, XRE family transcriptional regulator MSMEG_6643_1","Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_6","Cluster 7820Rv3891c, esxD, Esat-6 like protein EsxD_4","Cluster 1391Rv1819c, bacA, ABC transporter, ATP-binding protein_4","Cluster 3188Rv3822, Rv3822, FIG01386146: Possible exported protein, Rv1184c_1","Cluster 2541Rv2731, Rv2731, ATPase involved in DNA repair_3","Cluster 2438Rv3432c, gadB, Glutamate decarboxylase (EC 4.1.1.15)_3","Cluster 6999Rv0301, vapC2, Toxin 1, PIN domain_2","Cluster 5114Rv1483, fabG1, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_1","Cluster 748Rv1668c, Rv1668c, ABC transporter, ATP-binding protein_3","Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1","Cluster 5858Rv0891c, Rv0891c, Adenylyl cyclase class-3/4/guanylyl cyclase_5","Cluster 6186Rv0177, Rv0177, FIG00821219: MCE associated membrane protein_5","Cluster 7820Rv3891c, esxD, Esat-6 like protein EsxD_2","Cluster 5395Rv0981, mprA, Mycobacterial persistence regulator MprA (Two component response transcriptional regulatory protein)_3","Cluster 7316Rv0827c, kmtR, Transcriptional regulator, ArsR family_4","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3","Cluster 4855Rv1857, modA, Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)_1","Cluster 2262Rv2425c, Rv2425c, VWA containing CoxE family protein_1","Cluster 5114Rv1483, fabG1, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_2","Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_1","Cluster 3219Rv0003, recF, DNA recombination and repair protein RecF_2","Cluster 3774Rv3336c, trpS, Tryptophanyl-tRNA synthetase (EC 6.1.1.2)_2","Cluster 59380, 0, RNA polymerase sigma-70 factor, ECF subfamily_3","Cluster 6186Rv0177, Rv0177, FIG00821219: MCE associated membrane protein_2","Cluster 8447Rv1107c, xseB, Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)_5","Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_1"
"Cluster 2122Rv3854c, ethA, Monooxygenase EthA (EC 1.-.-.-)_9",1.0,0.22988264090599617,0.4296888472019012,-0.26008277305644995,-0.3777866594347404,0.12429656947960252,0.3375197225422194,0.18882621606590044,-0.20158807038605067,0.2855564699522895,-0.22287603682438306,-0.2657001828049426,-0.18260414720552826,-0.20538088171173877,-0.26433472839103833,-0.18175607841689934,0.08955186203274891,0.0,-0.16940613984334466,-0.24519261817601357,-0.18874209928719893,0.0,0.3029795933474802,0.0,-0.19980523759231725,0.13012865113776573,0.07100803073931646,0.23573887730482865,0.0,0.0,0.1662858447609349,0.0,0.0,0.2043012788687875,-0.22985006332355884,0.16950580348641436,0.2585631767426042,-0.1832000160099904,-0.2780368345797482,0.12943068682915101,0.0,-0.23091048365151806,0.0815474340319392,0.07890474213516296,0.0949739561866714,0.0,-0.12150442396777145,-0.2937595614526238,0.11228458809238852,0.0,0.08193262729148798,0.07512285147588654,-0.11249598117091313,-0.058096301125291024,0.10277296382485913,0.13120972673767578,0.0,0.0,0.0,-0.19704652876176346
"Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4",0.22988264090599617,1.0,0.2270775053090915,0.0,0.0,-0.18109591351661777,0.08838220467834287,0.11419810973412463,-0.10038683084452664,0.1947853997636726,-0.09506837008775008,-0.18536905157796638,-0.20957727289466724,-0.18417667267151283,-0.12088845144354503,-0.06437400454706271,0.17658324475451337,0.07192565029190515,-0.2381007105614023,-0.1741567463315935,-0.08790551028355847,0.0,0.12887898252380606,0.0,-0.10896980322827353,0.2060702445519355,-0.2383997282046135,0.0,-0.2609155732519541,0.0,0.0,-0.05581770749845324,0.0,0.0,-0.14041902731545583,0.0,0.19554214709549855,-0.0746586473296087,0.0,0.15613719191471317,-0.222355346952487,-0.23684680061869984,0.05073482446334659,0.0,0.09789074998866787,0.0,-0.06101135704563866,-0.15144031719706882,-0.113640432480558,-0.0915805011103941,-0.06534553709099637,0.14859973842939658,-0.1929852562296448,0.0,0.0,0.0,-0.08881580029644977,0.0,-0.16614421253676234,-0.15803765100829595
"Cluster 3373Rv1184c, Rv1184c, FIG01386146: Possible exported protein, Rv1184c_2",0.4296888472019012,0.2270775053090915,1.0,-0.0674565730105691,-0.2447987709698808,0.0,0.2229318236029082,0.0838959308518969,-0.1290506279410905,0.23988585034786372,-0.1649410097590981,-0.1424344314848502,-0.16617463227508217,0.0,-0.4025333582505795,-0.09679752102161317,0.0,0.0,-0.22723339635231538,-0.16206741138783948,0.09796389926500869,0.11859736112314079,0.7657211048334049,0.0,-0.2968958312842144,0.11540003207463331,-0.1595517052347994,0.0,-0.20655636085080217,-0.11504991898155527,0.07581300228613219,-0.15779732483022596,0.0,0.0,-0.3377356330805123,0.0,0.09183051398846624,0.09661873687597991,0.0,0.19234738436616794,-0.1396185800159304,-0.13352189763792238,0.0,0.13200605369009308,0.08404701184074885,0.07946245656204619,-0.15891822165738334,-0.16363454643493916,0.0,0.08518867920197867,0.11859979479359278,0.0,-0.19421292853696426,0.0,0.0,0.0,-0.07540798392233947,0.13120904745872825,0.08468041605586926,-0.08760233010066198
"Cluster 6929Rv1334, mec, CysO-cysteine peptidase_2",-0.26008277305644995,0.0,-0.0674565730105691,1.0,0.0,-0.2166028134636804,-0.05116802981808667,0.0,0.19067294655352376,-0.12229108639591346,0.0,0.15660253941769853,0.0,0.07199396384099231,-0.17877758586368928,0.08919910441517083,-0.12668622795349535,0.0,-0.1887403538315102,0.07732855269140168,0.0,0.08455618430078889,0.0,-0.1446717901402221,0.051813657171283,0.0,0.0,0.0,-0.2517180960035982,0.0,0.0,-0.09417953930781035,-0.18706730905377456,-0.2200267978166956,0.0,0.0,0.0,0.0,0.0,0.0,-0.19044059423721144,0.0,0.12816900711177573,0.0,-0.1740140521951265,0.0,0.0,0.0,0.0,0.0,-0.05273073166716731,-0.08735422611646738,-0.11292293891498463,0.057229429928658315,0.0,-0.13533759055588349,-0.16293182959882166,0.0,0.0,0.0
"Cluster 5664Rv3421c, Rv3421c, TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA_2",-0.3777866594347404,0.0,-0.2447987709698808,0.0,1.0,-0.05195959278297423,-0.2000198791067749,0.0,0.11966458651268388,0.0,0.060300032250696085,0.0,0.0,0.15554151348236825,0.12212958409281191,0.0,-0.09268569981599627,-0.12234413405947775,0.0,0.05996070650333684,0.0,0.0,-0.19953355674719384,-0.08841445016976068,0.1769632839742295,0.0,0.0,-0.05069434148013663,-0.1164389907889987,0.0,-0.1477184017613329,0.0,0.0,-0.05300702987582663,0.08123827229327749,-0.12714539045580772,0.0,0.16741331882263097,0.19514823622058045,-0.16872970557142516,0.0,0.0,-0.10818275154669862,-0.05045161014240403,-0.06633728464089593,0.05838956701242158,0.0,0.13780471014920626,0.0,-0.05588418815501435,-0.07167245871429145,0.09930891778085552,0.056227000635957584,0.0,-0.051926336575821075,-0.18834490692493616,0.09038151703739493,0.0,0.0,0.06115888987787078
"Cluster 6929Rv1334, mec, CysO-cysteine peptidase_1",0.12429656947960252,-0.18109591351661777,0.0,-0.2166028134636804,-0.05195959278297423,1.0,0.13332442397993743,0.1646076185770508,-0.14116534785383097,0.08781906317637962,0.0,0.0,0.0,-0.05543949135587298,0.0,0.0,0.0,0.0,0.06497582213207137,-0.14423045468847664,0.0,-0.11801458304973343,0.0,0.08222321975798579,-0.07559713351646073,-0.09656536744939805,0.0,-0.06633008285704682,0.14548944694707128,0.0,0.0,-0.08894171133482098,0.29938924349001145,0.06820631458784739,0.11440640585537933,0.11308905063675914,0.0,0.0,-0.05423402916777293,0.0,0.20503254114044767,0.0,0.0,0.0,0.0,-0.239021283139343,0.06503164636671532,0.0,0.0707886870302751,0.12890763053470408,-0.14190488392682638,0.0,0.0,-0.060176718142818025,0.0,0.1622744042802283,0.0886236115038317,-0.16144698714158612,0.0,0.10230067831361522
"Cluster 87260, 0, Hydrogen peroxide-inducible genes activator_1",0.3375197225422194,0.08838220467834287,0.2229318236029082,-0.05116802981808667,-0.2000198791067749,0.13332442397993743,1.0,0.1259105352030018,-0.13102216540934788,0.15831159905207498,-0.09981557262505569,-0.2266970253797491,-0.09301798330136876,-0.10571900774423318,-0.15254849691378125,-0.0679302467786183,0.12601276239556572,0.13998956238990096,-0.07218530480159495,-0.07777263722855385,0.0,-0.12644039786498068,0.16556099541294264,0.0,-0.2196733763597167,0.0,0.0,0.26073938609426617,-0.08016398419244031,0.0,0.12489938847641105,-0.07621903407232546,0.06680513061246034,0.22945666319884025,-0.08042780605464803,0.0552406963616133,0.2202572990267452,0.0,-0.15628060162004284,0.0,0.0,-0.21198209124743506,0.05093983322194754,0.0,-0.08221374366500186,0.0,-0.07527739015445481,-0.2785839882521809,0.06365522864787075,0.0,0.0,0.0,-0.19628476311489806,0.0,0.0,-0.059897251164540526,-0.11921959170239349,-0.09272150822910298,-0.12713338709332375,0.0
"Cluster 5593Rv1222, rseA, Anti-sigma factor RseA_7",0.18882621606590044,0.11419810973412463,0.0838959308518969,0.0,0.0,0.1646076185770508,0.1259105352030018,1.0,-0.17573864639369155,0.0,0.0,0.0,-0.08639527550781315,0.0,-0.10688335881750508,0.0,0.0,0.0,-0.284886251878436,-0.31897009621316813,-0.18761145022377002,-0.11688358904448026,0.0,0.0,-0.22956991309298283,0.0,-0.0720103643467706,0.0,-0.06551682971805364,0.0,-0.05398327902528766,0.0,0.09944540209660367,0.0,-0.09865903945867363,0.0,0.22562526537379646,-0.06619744820916186,0.0,0.0,-0.11836240904080501,0.0,0.0,0.08781632984391578,-0.14164983948827367,0.10245550601996135,0.0,0.0,-0.07801799033430501,0.0,0.0,-0.09000437535590912,-0.07218984858371073,-0.1530310625273237,0.06269704044659317,-0.08010925512738476,0.0,0.0,0.0,0.0
"Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_4",-0.20158807038605067,-0.10038683084452664,-0.1290506279410905,0.19067294655352376,0.11966458651268388,-0.14116534785383097,-0.13102216540934788,-0.17573864639369155,1.0,-0.15839096734002098,0.0,0.18059369351661309,0.0,0.1080602389392274,0.0,0.0,-0.09239662493204155,-0.1326425179138428,0.0,0.15271671137196657,0.0938867409539771,0.0,-0.07392418520405376,-0.06401689175979865,0.0,0.0,0.1284183258712719,0.0,-0.06829513125506262,0.054340264190127725,-0.09846394589397464,-0.06723834630242226,-0.20581549319033132,0.0,0.0,0.0,-0.19695798103359805,0.0,0.0,0.0,0.0,-0.06972202985494196,0.0,0.0,0.0,0.0954496728847114,-0.06152672564880466,0.2269216625953093,-0.051738829696279444,-0.11114633174571965,0.0,-0.09365942999776707,-0.07755339632707454,0.7081167230414787,0.0750314176114692,-0.1460593304017586,-0.08817513284558112,0.0687324408541941,0.06569507608371755,0.0
"Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2",0.2855564699522895,0.1947853997636726,0.23988585034786372,-0.12229108639591346,0.0,0.08781906317637962,0.15831159905207498,0.0,-0.15839096734002098,1.0,-0.12924345052882374,-0.17327611795581507,-0.23611254070702603,-0.2151888630772193,-0.22741078767357398,-0.1860471487073695,-0.1284437571422243,0.0,-0.10805634253633162,-0.058069768536476135,-0.12578606007386392,-0.07826270759492711,0.20970285440083328,-0.06620016920722009,0.0,0.0,-0.1146197148250022,0.0,-0.08417184329906088,0.0,0.0,0.06016508066497132,0.0,0.0,-0.07400812989087356,0.10682299692425964,0.0,0.0515598766570461,-0.15198196977742387,0.22562554911128338,-0.17422161305419084,-0.06800554237974453,0.09220386923421929,0.13282521327113916,0.1179214386993725,-0.08743599960798586,0.0,-0.18503471157163878,0.0,0.08649114006554837,0.0,0.2015458582931983,-0.06671436603388176,0.0,0.0,0.1782182399868789,0.0,0.0,-0.1391489290336402,0.0
