,"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10","Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2","Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1","Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 5025Rv1597, Rv1597, Methyltransferase_1","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_4","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_2","Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2","Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 2804Rv0867c, rpfA, Resuscitation-promoting factor RpfA_1","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 619Rv1664, pks9, Polyketide synthase_3","Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_2","Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_1","Cluster 3178Rv2777c, Rv2777c, FF domain protein_7","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 577Rv1683, Rv1683, Polyhydroxyalkanoic acid synthase_3","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3","Cluster 4737Rv1964, yrbE3A, Conserved hypothetical integral membrane protein YrbEa_3","Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_1","Cluster 2401Rv0473, Rv0473, putative membrane protein_3","Cluster 573Rv3239c, Rv3239c, EmrB/QacA family drug resistance transporter_1","Cluster 5665Rv0956, purN, Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)_4","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_3","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_1","Cluster 3136Rv0389, purT, Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)_1","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_2","Cluster 4913Rv1339, Rv1339, Metal-dependent hydrolases of the beta-lactamase superfamily III_2","Cluster 3734Rv3838c, pheA, Prephenate dehydratase (EC 4.2.1.51)_2"
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4",1.0,-0.6879284564846945,-0.4137114886003976,-0.4508308758866072,0.1934403947487484,0.0,0.42334630556649366,0.4912367318801322,-0.1348345362975782,-0.15378537992337707,-0.10957710063910135,-0.3304341807246582,-0.40861492223179424,0.22030400107132256,-0.06335203360004396,-0.3051841794555275,-0.24087807983526954,-0.13020107438929412,-0.17950838682496095,-0.18462535877993744,0.09315925300972688,-0.16819945333833347,-0.12093278698029931,-0.26443073237810977,-0.19588652898704476,0.22637333395438994,-0.0695096942564645,0.058900408172264884,-0.2661038238715809,0.2083565957221631,0.13975075797381922,-0.21172443820701017,-0.22560934638694424,-0.1071113200151009,0.0,-0.21528556472143903,0.0,-0.17332865833940803,0.12834271126720376,-0.1757149664078439
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3",-0.6879284564846945,1.0,0.41723211482007727,0.29391314209795716,-0.19987111198709784,0.2776039526923818,-0.34652013324086517,-0.27045332363467295,0.0,0.08259511335992258,-0.053824294396826025,0.1980293443275802,0.26843834193401733,-0.15592179399548117,0.09372155742474363,0.14680297888270374,0.17079807206132444,0.11120380676566298,0.08386901917733093,0.1187228834158034,-0.09167290960129829,0.1806721748117823,0.05691372688299319,0.20147498440859404,0.0,-0.21058943538524,0.0,0.0,0.13112212968641207,-0.2775273192214203,0.0,0.21569876217951886,0.17993263308836402,0.0,0.0,0.20349703656520143,0.0,0.10212374829154343,-0.13185242818108145,0.07747798591760577
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10",-0.4137114886003976,0.41723211482007727,1.0,0.0,-0.17670738786583753,0.0,-0.11994547865734838,-0.19539302841644451,0.0,0.07567723759451295,0.0,0.15744820490229644,0.17039067059778862,0.0,0.0,0.13960250706558383,0.0,0.11027150988687713,0.07247896700749547,0.1068738008294537,0.0,0.22562366161510833,0.0,0.05626679851936913,0.05050389009814361,-0.15323498188330253,0.08075407818057831,0.0,0.18507417331536083,-0.14771856694890048,0.0,0.0,0.13471508882870098,0.08349172145681422,-0.07068889865543847,0.09528776234853929,0.0,0.0,0.0,0.12592615752352157
"Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2",-0.4508308758866072,0.29391314209795716,0.0,1.0,0.0,0.0,-0.15218388431199448,-0.1933716213544137,0.0,-0.08532438405627948,0.0,0.051219580360992736,0.24318137124742642,-0.16808698171160044,0.0,0.0,0.12128833028875204,0.0,-0.057763589214825176,0.07959686541411362,-0.10458962874686872,0.0,0.0,0.0,0.06275223014036216,-0.0643044321278517,0.0,0.0,0.14376432935421724,0.0,-0.20314196222394476,0.09808410481289952,0.22291272034545248,-0.07563742022417815,0.0,0.06475046878614699,0.0,0.15703080223378535,-0.16353841299731595,0.0
"Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1",0.1934403947487484,-0.19987111198709784,-0.17670738786583753,0.0,1.0,-0.09272352964479613,0.0,0.05492334506598327,-0.0793132478389037,-0.24226227184078805,0.0,0.0,0.0,0.06683403526203836,-0.12059442167329958,0.0,0.0,-0.1192178911173342,-0.24047771350571753,-0.14317581714246996,0.0,0.0,0.0,-0.15915886670543622,0.0,0.0,0.06324949706447909,0.0,0.0,0.07521849432309678,0.0975489739192876,-0.06880246901870889,0.0,0.0,0.0,0.0617742730969315,0.0,-0.08065092535748708,0.0,0.0
"Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6",0.0,0.2776039526923818,0.0,0.0,-0.09272352964479613,1.0,0.05870709407155696,0.053941780330152005,-0.25363566629501433,-0.22233734116196963,-0.2631109043592648,0.0,0.0,0.0,0.05112515778904088,0.0,-0.06390238881988365,-0.06042992970766094,-0.24918629660056246,0.0,0.0,0.0,0.0,0.0,0.0,-0.14774984503042293,-0.1329740792308269,0.09986436163196036,-0.06906505934668694,0.0,0.0,0.0736058534995139,0.08091190189375705,-0.06495449832135279,0.14951554458634808,0.10906135337516608,0.0,0.05872262043158169,-0.058257291169061115,0.0
"Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5",0.42334630556649366,-0.34652013324086517,-0.11994547865734838,-0.15218388431199448,0.0,0.05870709407155696,1.0,0.1811636708442343,-0.1712330420501837,-0.15114742610622062,-0.1594073218753342,-0.22345826894049076,-0.20902286235254527,0.060356212794540655,0.0,-0.1908825859496789,-0.07761931454596134,0.0,-0.15520937935231496,0.0,0.10148815601839548,-0.09996848746686801,-0.0863407557168439,-0.22195826447009806,-0.1546476893051622,0.0,0.0,0.057960740321739396,0.0,0.17006058629670814,-0.12104421005494953,0.0,0.0,-0.08314114815035996,0.06826307772361968,-0.06461783389953331,0.0,0.0,0.07781675819620493,-0.1657657328436144
"Cluster 5025Rv1597, Rv1597, Methyltransferase_1",0.4912367318801322,-0.27045332363467295,-0.19539302841644451,-0.1933716213544137,0.05492334506598327,0.053941780330152005,0.1811636708442343,1.0,-0.10998565286254226,-0.0756820744113977,-0.057533832782236845,-0.21595474204383067,-0.19682541466330933,0.07695501978738314,0.0,-0.17517182779729698,-0.0964675797773129,0.05993501468677035,-0.11417240310023143,0.0,0.0,-0.08183279085137526,0.07209142862119215,-0.11937896350860601,-0.1144618119161213,0.10575695917019849,-0.07455541913118152,0.17672895313075826,-0.2903177852643516,0.0,0.0,-0.10420237642312392,-0.25253222446890417,-0.16022937686012662,0.057653757013282465,-0.2726281624374417,0.0,-0.1270712546805935,-0.08421491597218539,-0.14374593573850153
"Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_4",-0.1348345362975782,0.0,0.0,0.0,-0.0793132478389037,-0.25363566629501433,-0.1712330420501837,-0.10998565286254226,1.0,-0.0656195525309977,0.9431146199970349,0.051155883543609226,0.0,0.0,0.0,-0.05838237291404463,0.0,0.0,-0.051624902799081225,0.0,0.0,0.0,0.10939803624868466,0.11125258668325301,-0.07790506687365346,0.0,0.08013091285151037,0.0,0.0,0.0,0.0,0.060024428102949855,0.0,0.0,0.0,-0.06673722645181922,0.0,-0.08072833158306358,0.0,0.0
"Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1",-0.15378537992337707,0.08259511335992258,0.07567723759451295,-0.08532438405627948,-0.24226227184078805,-0.22233734116196963,-0.15114742610622062,-0.0756820744113977,-0.0656195525309977,1.0,-0.07338715619446835,0.08987889205210395,0.0,-0.10536842398331761,0.15736832195325084,0.0,0.0,0.0,0.8879222206711532,0.07000967279041276,-0.06176504104389591,0.05672052070227568,0.0,0.15980433414005055,0.0,0.0,0.0,0.0,0.0,-0.2077231397487764,0.0,0.0,-0.0973585368797716,0.0,0.0,0.0,0.12076518784818027,0.0,0.0,0.0
