,"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_5","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_13","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_9","Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_2","Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_9","Cluster 7926Rv1102c, mazF3, Death on curing protein, Doc toxin_6","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_8","Cluster 3909Rv3848, Rv3848, FIG037441: Conserved transmembrane protein_2","Cluster 1277Rv0959, Rv0959, FIG019045: long form Mg-chelase associated protein with vWA domain_2","Cluster 7125Rv2757c, vapC21, toxin VapC18_7","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_12","Cluster 2122Rv3854c, ethA, Monooxygenase EthA (EC 1.-.-.-)_9","Cluster 8038Rv3923c, rnpA, Ribonuclease P protein component (EC 3.1.26.5)_4","Cluster 4476Rv0633c, Rv0633c, putative membrane protein_5","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_7","Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4","Cluster 5780Rv1972, Rv1972, FIG00821219: MCE associated membrane protein_4","Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_3","Cluster 4486Rv2764c, thyA, Thymidylate synthase (EC 2.1.1.45)_4","Cluster 1153Rv2112c, dop, Pup ligase PafA' paralog, possible component of postulated heterodimer PafA-PafA'_5","Cluster 1058Rv0092, ctpA, Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)_3","Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_4","Cluster 5948Rv2604c, snoP, Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)_1","Cluster 6915Rv2290, lppO, L-lysine 6-monooxygenase MbtG (EC 1.14.13.59) [mycobactin] siderophore @ L-lysine 6-monooxygenase (EC 1.14.13.59) in siderophore biosynthesis gene cluster_1","Cluster 3870Rv1201c, dapD, 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)_3","Cluster 152Rv2931, ppsA, Phenolpthiocerol synthesis type-I polyketide synthase PpsA (EC 2.3.1.41)_4","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_11","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_9","Cluster 8586Rv2550c, vapB20, DNA-binding protein, CopG family_1","Cluster 1613Rv2042c, Rv2042c, Nicotinamidase (EC 3.5.1.19)_2","Cluster 165Rv2934, ppsD, Phenolpthiocerol synthesis type-I polyketide synthase PpsD_3","Cluster 5265Rv3058c, Rv3058c, Transcriptional regulator, AcrR family_3","Cluster 2212Rv0346c, ansP2, L-asparagine permease_1","Cluster 3622Rv0479c, Rv0479c, putative membrane protein_3","Cluster 6316Rv3471c, Rv3471c, Mannose-6-phosphate isomerase_3","Cluster 2550Rv3820c, papA2, PKS-associated protein PapA, condensation domain-containing_2","Cluster 3632Rv3520c, Rv3520c, Coenzyme F420-dependent oxidoreductase_1","Cluster 5948Rv2604c, snoP, Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing), glutaminase subunit (EC 4.3.3.6)_2","Cluster 6770Rv1081c, Rv1081c, putative membrane protein_1","Cluster 89060, 0, Cys-tRNA(Pro) deacylase YbaK_1","Cluster 5094Rv0247c, Rv0247c, Succinate dehydrogenase iron-sulfur protein (EC 1.3.5.1)_2","Cluster 4444Rv2436, rbsK, Ribokinase (EC 2.7.1.15)_1","Cluster 3842Rv0989c, grcC2, Solanesyl diphosphate synthase (EC 2.5.1.11)_3","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 4286Rv2859c, Rv2859c, COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster_1","Cluster 5100Rv3908, mutT4, Diadenosine hexaphosphate (Ap6A) hydrolase; Bis(5'-nucleosyl)-tetraphosphatase (Ap4A) (Asymmetrical) (EC 3.6.1.17)_2","Cluster 5178Rv2882c, frr, Ribosome recycling factor_2","Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6","Cluster 1909Rv1453, Rv1453, Possible regulatory protein Trx_7","Cluster 0Rv2048c, pks12, Polyketide synthase_12","Cluster 27000, 0, Monooxygenase EthA (EC 1.-.-.-)_1","Cluster 5093Rv2773c, dapB, 4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)_2","Cluster 3601Rv0077c, Rv0077c, Alpha/beta hydrolase family_1","Cluster 7316Rv0827c, kmtR, Transcriptional regulator, ArsR family_3","Cluster 3120Rv2924c, fpg, Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)_3","Cluster 1137Rv2435c, Rv2435c, Adenylate cyclase (EC 4.6.1.1)_4","Cluster 2212Rv0346c, ansP2, L-asparagine permease_2","Cluster 6915Rv2290, lppO, L-lysine 6-monooxygenase MbtG (EC 1.14.13.59) [mycobactin] siderophore @ L-lysine 6-monooxygenase (EC 1.14.13.59) in siderophore biosynthesis gene cluster_2"
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_5",1.0,-0.6006454423200037,-0.39552406133053325,-0.4206903981476949,0.4567860309924842,-0.2252546202007353,-0.16487735244119767,0.1466731842907648,0.192262319231085,-0.1465677647366037,0.29153481853905117,-0.14647236070150912,0.409410302272929,0.15458937764734496,-0.07958579473921815,-0.238948517196205,0.12278398437281653,0.27257764494930475,0.0,0.2530067148495302,0.1284532426977488,0.07277888255811506,-0.2650909269181163,0.0,-0.2500600882243797,0.19595874806582506,-0.2506158313520056,-0.10949418191993233,0.0,0.19761803919447976,-0.15542682035683927,-0.2992592678598955,-0.15738142848260767,-0.12119618966589368,0.10339967455321146,-0.23922101418763425,-0.2424072739413207,-0.11831000356020129,-0.07393012302279175,0.2241939658922773,-0.1976448795877095,0.19263581810749794,-0.2753441109124843,-0.0761609663123587,0.21194531415895138,0.1693007453685797,-0.07248158034241427,-0.23648829132072774,-0.06492043706560592,0.22477645479530842,-0.06171258166545319,0.0,-0.18952646590730715,0.07487952801174409,-0.10088811084583255,-0.16253841381648604,-0.05188746712138506,0.0,-0.29886972810920726,-0.3756780860443859
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_13",-0.6006454423200037,1.0,0.39091878359527893,0.46767244592498286,-0.28339364684401896,0.16523404732056324,0.20299030861006845,0.0,-0.07017544254150913,0.22032388859844837,-0.28876431260042457,0.22395702610581483,-0.3068246074641976,-0.24975053541738457,0.10215174944702476,0.1298784974735535,-0.1355151240035036,-0.18040199341716087,0.0,-0.20503318364579165,-0.07514831493755048,-0.13471801411203052,0.17512505319396993,0.059812621623553025,0.16503041545455896,0.0,0.07885158906824037,0.14589544429542517,-0.058324018662210764,-0.11233085649088581,0.07377221092608668,0.2068335263027771,0.07411062622134919,0.09996066744523108,-0.14805217541318014,0.09373867866304884,0.20838037881761248,0.18560583466699934,0.11168030763572785,-0.15443920481739035,0.1431018553431648,-0.14960425347899595,0.22879742961952895,0.21414130792082503,-0.3190112822715632,0.0,0.1255947525229618,0.10347555314693616,0.0,-0.14160295801408532,0.12466031026145132,0.05990548905551966,0.1478184403805577,-0.14778210410593687,0.07094641764172407,0.09361907543164405,0.0,0.0,0.193852614048888,0.2867113332784417
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_9",-0.39552406133053325,0.39091878359527893,1.0,0.8854370924134465,-0.24819155601912699,0.1796628961066738,0.1438668774964761,-0.08252328426141396,-0.285661168843912,0.12868760553424183,-0.20698771077497174,0.1490888619027348,-0.10545370559504522,-0.14947035214846519,0.0,0.05545402003097477,-0.1249269123069707,-0.15116743533485041,0.0,-0.1449963837134394,-0.16488306990860493,-0.10355952522872636,0.0871250927571029,0.2156980722894732,0.1031958708532538,0.0,0.0,-0.06445844655714075,0.0,-0.08754954690297236,0.11582102277661695,0.19828239326071162,0.0,0.0,0.0,0.15016125505733263,0.1904949652699948,0.26005580725677574,0.1644225396962503,-0.09243247157390354,0.05194859380525153,-0.21573232064531087,0.0,0.11013183018368174,-0.1522188317688232,0.0,0.11572046058677724,0.0,0.0,-0.2849499413910093,0.1478227146339523,0.0,0.0,-0.07816557937303728,0.0,0.08509016194692641,0.0,0.0,0.1839654134649139,0.1826675099651833
"Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_2",-0.4206903981476949,0.46767244592498286,0.8854370924134465,1.0,-0.2931968402821196,0.20428602156143874,0.10812448329055652,-0.07167155119660731,-0.21214672577946875,0.14387063393522628,-0.24166189108752253,0.09912575137353571,-0.1077630739395963,-0.14977096899121514,0.05167819443241014,0.08925046424177935,-0.14010080146031764,-0.1172481802988655,0.0,-0.12886475274900155,-0.09438409300401132,-0.14503472197811884,0.08993108547209601,0.182475537810571,0.14335394491183562,0.0,0.08470047548709307,0.0,0.0,-0.09677136050156145,0.09149279154175664,0.24730809043632282,0.06261494199469916,0.12949359995488466,0.0,0.12934821017855808,0.23598865697821342,0.20237098274209078,0.1360321690103553,-0.08839326618060865,0.052793834421358155,-0.14574929123458819,0.05943970770438889,0.160277307543347,-0.23883319156318422,0.0,0.10985429352924513,0.0,0.0,-0.24536568108370427,0.09320945257385713,0.0,0.08553824814233826,-0.1124397655266834,0.05473889569700329,0.12624693901541748,0.07253747923212558,0.0,0.18314191704755034,0.18053710744282359
"Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10",0.4567860309924842,-0.28339364684401896,-0.24819155601912699,-0.2931968402821196,1.0,-0.29057301846473454,0.0,0.06207958372680404,0.15979719750258164,0.0,0.17210282423982579,-0.1507200176953794,0.24597083126856284,0.09648628987912533,0.10373027985495793,-0.19435328015383135,0.2158858959271393,0.06355094133345715,0.0,0.14468601463283584,0.13248402027460968,0.0,-0.07183049690969417,-0.07385675235156294,-0.2641268686245499,0.07186769180180398,-0.08788923428750986,0.0,0.1286506567407893,-0.05013281192909581,0.0,-0.12587663807963664,-0.1715910131545055,-0.17510228953143323,0.0,-0.18255382761242622,-0.09177231852022653,0.0,0.0,0.19950022449963814,-0.20800145720667798,0.10743271913903861,-0.25823509074997497,0.12946267614279092,0.12752259527453652,0.0,-0.18285960753783248,-0.08859066452454598,0.0,0.192984050684137,-0.1560626532982536,-0.10031277095762317,-0.22655069355744262,0.06411428522574651,0.0,-0.10520146687127856,0.0,0.0,-0.27661651497117545,-0.13278596789549188
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_9",-0.2252546202007353,0.16523404732056324,0.1796628961066738,0.20428602156143874,-0.29057301846473454,1.0,0.12073996072176311,-0.07353885098780796,0.0,0.13508807160142294,-0.1473950375833661,0.18667767892149748,-0.1204533384068597,-0.2596692933427464,0.13957806913511936,0.14473628164266722,-0.14394720208539608,0.0,-0.16834936630931438,-0.1681673412604273,-0.29224036407370313,-0.052355980557872564,0.1378160119027886,0.19244058940392536,0.19118227697454526,-0.10947730081063234,-0.05759990014709963,0.0,0.10390257924769584,-0.06432756071162062,0.09908854023576873,0.1139144660171092,0.0,0.22924096856745055,0.0,0.08736065898490573,0.1075323699880549,0.08136541695330896,0.0,-0.15908297885609762,0.14258260958109067,0.0,0.1355784398121924,0.0,-0.13361463409754815,-0.12994107253942108,0.09316908201844952,0.11907852967732517,0.0,-0.2085007368738131,0.10518670443016583,0.21008970380516798,0.08608769754606661,-0.07245689827420257,0.05448156306003581,0.05761880960177704,0.0,0.0,0.06167747363408797,0.15788997093634222
"Cluster 7926Rv1102c, mazF3, Death on curing protein, Doc toxin_6",-0.16487735244119767,0.20299030861006845,0.1438668774964761,0.10812448329055652,0.0,0.12073996072176311,1.0,-0.22638220087275443,-0.08798064504704015,0.1834878300309008,-0.0895821668958316,0.0,-0.2130071537183609,-0.2234672828412405,0.11022094384692345,0.094966900707615,-0.0681006399957878,0.0859779289352137,-0.13065504172990278,-0.39577272157297866,0.0,-0.05327704435592318,0.21316890209963707,0.09251621981989139,0.17131613642350957,0.0,0.05602197989256474,0.3202596987546297,0.10390260749870726,-0.1301735621905283,0.09113786180246987,0.1253431816026548,0.10571093336880459,0.13990153360436972,-0.10299351247236221,0.11542893192231675,0.1491839142504553,0.24201605617785638,0.07853952335792203,-0.28873417482700015,0.0,-0.1739960293338581,0.07811051286913087,0.05855327023538789,-0.12108369940907454,-0.13146011903372704,0.0,0.0,0.14692928611626996,0.0,0.0,0.0,0.11028008893333076,-0.12649584217835402,0.0,0.0,0.0,0.13761036629730714,0.0,0.1733789069768214
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_8",0.1466731842907648,0.0,-0.08252328426141396,-0.07167155119660731,0.06207958372680404,-0.07353885098780796,-0.22638220087275443,1.0,0.05645789429961104,0.0,0.09919999800034981,-0.08864453684037953,0.24298491078632325,0.061377066955089994,-0.15185653991979772,-0.08781197896043806,-0.07788877930361386,-0.07892789403610395,0.09254971771021316,0.14540036763931546,0.19615557985813536,0.0,0.0,-0.050814614615890416,-0.0763440332829427,0.1615063210843379,-0.08628620756236685,0.054713868980198574,0.0,0.1195869563556346,-0.074412032577086,-0.07874309476003014,-0.11942181343291161,-0.17752007068304304,0.13618316468088248,-0.07828249181517026,-0.0722231703602876,0.0,-0.07464887151285328,0.20748274877521483,0.0,0.0,-0.15523959980953964,-0.18040878662160173,-0.07672571648768034,0.0,-0.10023827248738527,0.0,0.08774664615348667,-0.05233533778871511,0.07098768148442655,-0.11616142109059731,0.0,0.17586835395107484,0.0,-0.10077654431695597,-0.20249187576707584,-0.07347250972292338,0.0,0.0
"Cluster 3909Rv3848, Rv3848, FIG037441: Conserved transmembrane protein_2",0.192262319231085,-0.07017544254150913,-0.285661168843912,-0.21214672577946875,0.15979719750258164,0.0,-0.08798064504704015,0.05645789429961104,1.0,-0.11125507895298997,0.18081372339100626,-0.18957536797120852,-0.06354687890622779,-0.07077349349512513,0.0,0.0,-0.08586126406260787,-0.1679224197075044,-0.07837893583875992,0.0,-0.11174543469737112,-0.07005230971428711,-0.13588945366958996,0.16503051268354882,-0.0698288293836743,0.0,-0.05924324216282866,0.0,-0.12954937616544857,0.0,-0.05422010794925024,-0.24212529684465586,-0.20473570409723857,0.0,-0.1301636084762274,-0.11182536945052719,-0.225547160933355,0.0,0.0,-0.0688952865227365,-0.06888012978522945,0.11266819529699572,-0.060639732387389206,0.0,0.09371413639216616,0.0,0.0,-0.1363611251348835,-0.10590798150014447,0.0639773426973672,-0.09271260927568123,0.0,0.0,0.0,-0.18326751536057928,-0.12062486603180306,0.0,0.0817463724180778,-0.15532985415078807,-0.09679896064886394
"Cluster 1277Rv0959, Rv0959, FIG019045: long form Mg-chelase associated protein with vWA domain_2",-0.1465677647366037,0.22032388859844837,0.12868760553424183,0.14387063393522628,0.0,0.13508807160142294,0.1834878300309008,0.0,-0.11125507895298997,1.0,-0.056374375044694086,0.0,0.0,-0.08438058822625379,0.10637541419312128,-0.15697743396378708,0.0,0.0,-0.13080246806751766,-0.09663693780187571,-0.05784254607828037,-0.06317284438064635,0.0,0.06940126707757444,0.11829584857357994,-0.08358913446073771,0.07509923917957677,-0.11446256572809796,0.06379372821201396,0.0,0.0,0.16576356613770232,-0.05926870693897994,0.0,-0.1637493679557492,0.11315632690248557,0.12133330998513488,0.0,0.05095835920395546,-0.1832775267465705,0.0,0.0,0.1299300639493985,0.0,-0.14414276763099193,-0.07408046848067061,0.0,0.0797447437460068,-0.0607064901877384,0.0,0.10770939160950749,0.0,0.06070636255964747,-0.14177056649379016,0.0,0.0,0.0,-0.0824544692784163,0.14522646860398056,0.0
