,"Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10","Cluster 3289Rv2560, Rv2560, PROBABLE PROLINE AND GLYCINE RICH TRANSMEMBRANE PROTEIN_1","Cluster 4054Rv3843c, Rv3843c, putative membrane protein_4","Cluster 3713Rv2715, Rv2715, Hydrolase, alpha/beta fold family_1","Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_2","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 3151Rv1229c, mrp, Mrp protein homolog_2","Cluster 7596Rv3760, Rv3760, putative membrane protein_1","Cluster 4477Rv1008, tatD, Putative deoxyribonuclease YcfH_2","Cluster 1784Rv0861c, ercc3, DNA repair helicase_4","Cluster 3188Rv3822, Rv3822, FIG01386146: Possible exported protein, Rv1184c_6","Cluster 4606Rv0625c, Rv0625c, putative membrane protein_3","Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_2","Cluster 4905Rv0091, mtn, 5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)_2","Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_1","Cluster 2336Rv1617, pykA, Pyruvate kinase (EC 2.7.1.40)_3","Cluster 921Rv3664c, dppC, Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)_1","Cluster 3348Rv2454c, Rv2454c, 2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)_4","Cluster 1209Rv0005, gyrB, DNA gyrase subunit B (EC 5.99.1.3)_4","Cluster 7596Rv3760, Rv3760, putative membrane protein_2","Cluster 4389Rv0427c, xthA, Exodeoxyribonuclease III (EC 3.1.11.2)_2","Cluster 4459Rv0470c, pcaA, Cyclopropane-fatty-acyl-phospholipid synthase 1, CmaA1 (EC 2.1.1.79)_1","Cluster 5910Rv1911c, lppC, Phosphatidylethanolamine-binding protein_5","Cluster 3935Rv3171c, hpx, Non-heme haloperoxidase Hpx_4","Cluster 1435Rv2930, fadD26, Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD26_3","Cluster 3348Rv2454c, Rv2454c, 2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)_2","Cluster 2642Rv3899c, Rv3899c, Vegetative cell wall protein gp1 precursor_5","Cluster 2019Rv3484, cpsA, Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)_5","Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2","Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_3","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_3","Cluster 4401Rv1282c, oppC, Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)_2","Cluster 896Rv1969, mce3D, MCE-family protein MceC_2","Cluster 2019Rv3484, cpsA, Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)_1","Cluster 643Rv1293, lysA, Arginyl-tRNA synthetase (EC 6.1.1.19)_2","Cluster 7305Rv3020c, esxS, ESAT-6-like protein EsxG_3","Cluster 4423Rv2937, drrB, ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, integral membrane protein DrrB-like_3","Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_4","Cluster 8291Rv3770A, Rv3770A, PROBABLE REMNANT OF A TRANSPOSASE_2"
"Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10",1.0,0.23270537386070558,0.3193494828000022,-0.34758948347080515,0.1964394784374888,-0.2948846203820826,0.2296467002682995,-0.1421779048880518,-0.1639798937144005,-0.225014022863707,0.16636548996053593,0.16117694943175995,0.167646838485437,-0.16035053041054106,-0.0869855410074827,-0.09917788487077124,-0.07626746068723232,-0.11253202230694351,0.16169908993110427,-0.10633399983866501,0.0,-0.14699292850471804,-0.13384183455179174,0.0,-0.22597333612634243,0.1351297721538809,-0.22705978409172228,0.19677526052575578,-0.06902576862750393,-0.1846955044726659,-0.10842031056586968,0.09268794901848171,-0.13027688232038237,-0.16371565435121674,0.10196258248433265,0.0,0.13592295770745175,-0.05989202715727072,-0.17252954471651294,0.307470410720106
"Cluster 3289Rv2560, Rv2560, PROBABLE PROLINE AND GLYCINE RICH TRANSMEMBRANE PROTEIN_1",0.23270537386070558,1.0,0.090541564995869,-0.07149878013346034,0.0,0.0,0.0,0.0,0.0,-0.06065851722829201,0.057674395029691156,0.0,0.0,-0.13076588094763994,-0.07636190670131109,0.0,0.0,0.0682136736996145,0.0,0.0,-0.08542716936091582,0.0,0.0,0.0,0.0,-0.15098720816292888,0.0,0.1708863079300255,0.0,-0.1618905568855054,-0.05108097883645724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15812851189504973
"Cluster 4054Rv3843c, Rv3843c, putative membrane protein_4",0.3193494828000022,0.090541564995869,1.0,0.0,0.0,-0.10323593306586104,0.0,-0.13709623493192716,-0.09622679476155983,0.0,0.2170511020582475,-0.05130208984933685,0.0963846286136474,-0.084534514635091,0.07372364073917374,-0.061989953653502725,-0.08828051665267922,0.05708737273388445,0.0716714285670634,0.06039557075022524,-0.13289688399290284,-0.09374946602185483,-0.162260887261627,-0.09652229033686884,-0.18295256280239475,0.0,-0.12497474789302357,0.0,0.08151162080462276,-0.24827410743043335,0.0,0.0,-0.1420542714501412,0.0,0.0,0.0,0.14657556422317478,-0.06187568783141522,-0.07107241710733679,0.17750760480007877
"Cluster 3713Rv2715, Rv2715, Hydrolase, alpha/beta fold family_1",-0.34758948347080515,-0.07149878013346034,0.0,1.0,0.0,0.0,0.0,-0.12351665584894447,0.0,0.05405723320626686,0.0,0.06856224339730531,0.0,0.0,0.0,0.0,-0.09082363812853114,0.0,-0.05588071058106844,0.0,-0.05381612970062663,-0.08996792758225859,0.0,-0.05633458510528601,0.12441078254362857,0.0,0.0,-0.11425266584413302,0.05295444967064152,0.09412743015510036,-0.061797725684972084,-0.057549855443853146,0.0,0.0,-0.14678058680123449,-0.09458007490540996,-0.09185132972861068,-0.05557015618778763,0.0,-0.15211502800053245
"Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5",0.1964394784374888,0.0,0.0,0.0,1.0,-0.1956622241560133,0.1585581923323199,-0.19873254098052015,0.0,-0.05701163360422657,0.09763631638797093,0.0,-0.05278457658840027,-0.15297904410895302,-0.1082866688194913,-0.13081397445931414,-0.15297681331027038,-0.15601980910286015,0.0,0.0,0.1749961917907706,-0.08785074973165044,0.0,0.0,0.0,0.0,-0.06376052863430637,0.13694014826188816,-0.0712976425641789,0.0,0.0,0.0,0.0,-0.06152417261699969,0.0,0.0,0.0913848553813166,0.0,-0.1026701569985848,0.13981954253122947
"Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_2",-0.2948846203820826,0.0,-0.10323593306586104,0.0,-0.1956622241560133,1.0,-0.08736351640071613,0.0,0.0,0.0,-0.12465126056089977,-0.09140723622729037,-0.0805583920222793,0.07522551400358066,0.0,-0.05523327834957003,0.0,0.0,-0.18485483654344045,0.0,-0.056647175458555854,-0.0662563912472926,0.0,-0.1529684416469885,0.11343679035094616,0.0,0.069454107347588,-0.08170336110008432,0.0,0.0,-0.12844558628428834,0.0,0.10342934268633824,0.13275045777044217,-0.05956721486812157,0.0,-0.09840751839384791,0.11613143764654953,0.0,0.0
"Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1",0.2296467002682995,0.0,0.0,0.0,0.1585581923323199,-0.08736351640071613,1.0,-0.13158139129679622,-0.08199629395603011,0.05999728919237075,0.0,0.05514787345071036,0.0,0.0,0.0,-0.11372915907109012,0.0,-0.14163664204035192,0.0,-0.1019476180955311,-0.0921840198187992,-0.1403977212892769,0.0,-0.056102519060708476,-0.05811398453511503,0.05847967590368985,-0.057889282174382245,0.0,-0.13626434149540065,0.06444550286299434,0.11295187662148835,0.0,-0.17093023537220783,0.0,0.0,0.061931178357783806,0.05811172185980615,0.0,-0.11406992375388433,0.08186579601717175
"Cluster 3151Rv1229c, mrp, Mrp protein homolog_2",-0.1421779048880518,0.0,-0.13709623493192716,-0.12351665584894447,-0.19873254098052015,0.0,-0.13158139129679622,1.0,0.0,0.0,0.0,-0.050673726924399254,0.0,0.09196155027355102,0.05703404217189106,0.11211299775892218,0.0,0.06777032695916081,-0.13838739835074473,0.0,-0.07632053883260127,0.0,0.0,0.11037396875871182,0.0,-0.0510649429881954,0.16981937193841745,0.0,0.1418785185043544,0.07224244610362465,0.09650367598211383,-0.1048678437326095,0.09953210627210661,0.0,-0.06462380631559389,0.0,0.0,-0.08646340606602362,-0.06055413450249825,-0.07897764039603578
"Cluster 7596Rv3760, Rv3760, putative membrane protein_1",-0.1639798937144005,0.0,-0.09622679476155983,0.0,0.0,0.0,-0.08199629395603011,0.0,1.0,0.0,-0.09909595028043533,-0.057909498169486984,-0.08606482971484661,0.0,0.0,0.0,0.0,0.15347244751728126,0.0,0.0,0.37736927849470253,0.05715181371019875,0.0,0.0,0.0,-0.09840612755934112,0.0,-0.0917710428553817,0.0,-0.08058118277099462,0.0,0.0,0.050628777250577336,0.12318920073633868,-0.09315222901665941,0.0,0.0,0.0,0.05126328992514452,-0.06307853632089142
"Cluster 4477Rv1008, tatD, Putative deoxyribonuclease YcfH_2",-0.225014022863707,-0.06065851722829201,0.0,0.05405723320626686,-0.05701163360422657,0.0,0.05999728919237075,0.0,0.0,1.0,-0.0634006292428918,0.0,-0.08402468185690665,0.0,0.09724125397986898,0.0,0.0,0.0,0.07477178544684529,0.0,-0.11268387549374345,0.07265731979496257,0.0,-0.08771622703319625,0.0,0.0,0.0,-0.1294772931705123,0.05824713780898162,0.0,0.11326933385224124,-0.09331421762775809,0.0,0.0,0.0,0.05533775193607462,0.0,0.0,0.0,0.0
"Cluster 1784Rv0861c, ercc3, DNA repair helicase_4",0.16636548996053593,0.057674395029691156,0.2170511020582475,0.0,0.09763631638797093,-0.12465126056089977,0.0,0.0,-0.09909595028043533,-0.0634006292428918,1.0,0.0,0.0,0.0,-0.08038074889773078,-0.09375551448281237,-0.07666105336263909,0.0,-0.052324577313204106,-0.16853704183835058,-0.11330012622045373,0.0,0.0,0.06169229936171552,-0.12015011916735616,0.0,0.0,0.0,0.0,-0.14396614438228372,0.0,0.0983274630864496,-0.10567113758090688,0.0,0.0,0.0,0.10787003945209211,-0.07849089639884405,0.0,0.0
"Cluster 3188Rv3822, Rv3822, FIG01386146: Possible exported protein, Rv1184c_6",0.16117694943175995,0.0,-0.05130208984933685,0.06856224339730531,0.0,-0.09140723622729037,0.05514787345071036,-0.050673726924399254,-0.057909498169486984,0.0,0.0,1.0,0.07233141051219465,0.0,0.0,0.09592387053940479,0.0,0.0,0.0,-0.0944291039756571,0.0,0.0,0.0,0.08390209827203843,-0.051745043896133325,0.0,-0.08821654187250641,0.0,0.0,-0.0673740531688326,-0.11328395027048832,0.061417357353787526,0.0,-0.15006317479976541,0.0,0.0,0.0,0.0,0.11125633792112781,0.0
"Cluster 4606Rv0625c, Rv0625c, putative membrane protein_3",0.167646838485437,0.0,0.0963846286136474,0.0,-0.05278457658840027,-0.0805583920222793,0.0,0.0,-0.08606482971484661,-0.08402468185690665,0.0,0.07233141051219465,1.0,0.0,0.0,0.076491194345166,0.07675282289274425,0.0,-0.055249898185723165,-0.12668304926649385,0.0,0.0,-0.09188641112006543,0.0,0.06866152311157368,0.0,0.1187660276373614,0.0,0.0,0.0,-0.14547133559959655,0.0,0.08068373292987958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_2",-0.16035053041054106,-0.13076588094763994,-0.084534514635091,0.0,-0.15297904410895302,0.07522551400358066,0.0,0.09196155027355102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05602285836838038,0.0,0.0,0.0,0.0,0.0,0.0,0.10395062335028767,0.0,0.0,0.0,-0.05077601465104886,-0.07096825202388832,0.051040947891988174,-0.09154756756674579,0.0,0.0,0.0,0.08344809402559084,0.06243655710039902,0.0,0.0,0.0,0.05783455696743858,-0.10959994691871872
"Cluster 4905Rv0091, mtn, 5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)_2",-0.0869855410074827,-0.07636190670131109,0.07372364073917374,0.0,-0.1082866688194913,0.0,0.0,0.05703404217189106,0.0,0.09724125397986898,-0.08038074889773078,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.052403832433919065,-0.07711649718123595,0.0743789955907291,0.07741143662747355,0.0,0.0,0.0,-0.10050163773032028,-0.07220737965835897,-0.12629928314288155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132573442980546,0.0
"Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_1",-0.09917788487077124,0.0,-0.061989953653502725,0.0,-0.13081397445931414,-0.05523327834957003,-0.11372915907109012,0.11211299775892218,0.0,0.0,-0.09375551448281237,0.09592387053940479,0.076491194345166,0.05602285836838038,0.0,1.0,0.17920325932448236,0.1515176520286913,0.0,0.11808814281026746,-0.06868874781546461,0.0,-0.07846963129441918,0.10102362610700269,0.0,0.0,0.10123282035050722,-0.10780748247736564,0.05518112148871762,0.0,0.0,-0.07900909286641669,0.07366131471711504,-0.06105899202857731,0.0,0.0,0.0,0.0,0.0,-0.14477754636175105
"Cluster 2336Rv1617, pykA, Pyruvate kinase (EC 2.7.1.40)_3",-0.07626746068723232,0.0,-0.08828051665267922,-0.09082363812853114,-0.15297681331027038,0.0,0.0,0.0,0.0,0.0,-0.07666105336263909,0.0,0.07675282289274425,0.0,0.0,0.17920325932448236,1.0,0.06942132983959816,0.0,0.1300453973859533,0.0,0.0,-0.06130251350457122,0.0,0.0,-0.11549184413561672,0.10587071247743839,-0.06179566317102727,0.0,0.06829077426883982,0.05160471481804496,-0.05101964388018894,0.0,0.0,0.0,-0.05922266938239323,0.0,0.0,0.0,-0.05915420500068803
"Cluster 921Rv3664c, dppC, Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)_1",-0.11253202230694351,0.0682136736996145,0.05708737273388445,0.0,-0.15601980910286015,0.0,-0.14163664204035192,0.06777032695916081,0.15347244751728126,0.0,0.0,0.0,0.0,0.0,0.0,0.1515176520286913,0.06942132983959816,1.0,0.0,0.1028222576687141,0.0,0.1292949132144189,-0.06939790314646868,0.0,0.06871986357937719,-0.07926329178018479,0.0,0.0,0.1501285624664381,0.0,0.0,0.0,0.0,0.0,-0.052081442478348686,0.0,-0.12342260518374386,0.0,0.0,0.0
"Cluster 3348Rv2454c, Rv2454c, 2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)_4",0.16169908993110427,0.0,0.0716714285670634,-0.05588071058106844,0.0,-0.18485483654344045,0.0,-0.13838739835074473,0.0,0.07477178544684529,-0.052324577313204106,0.0,-0.055249898185723165,0.0,0.052403832433919065,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09077997106234584,-0.15125272132334067,0.0,0.0,-0.31584306383140437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05469310397545013,-0.06140043699880755,0.162181325686028,0.0,0.0,0.10316067956160635
"Cluster 1209Rv0005, gyrB, DNA gyrase subunit B (EC 5.99.1.3)_4",-0.10633399983866501,0.0,0.06039557075022524,0.0,0.0,0.0,-0.1019476180955311,0.0,0.0,0.0,-0.16853704183835058,-0.0944291039756571,-0.12668304926649385,0.0,-0.07711649718123595,0.11808814281026746,0.1300453973859533,0.1028222576687141,0.0,1.0,0.0,0.0,-0.05338819847240004,-0.053794379253188994,0.0,-0.07355975718805036,0.0,-0.08518808691255106,0.0,-0.0570932704261657,0.05268602863846463,-0.07958840233519338,0.0,-0.083053104809408,0.0,-0.07187988317465151,0.0,0.0,0.0,0.0
"Cluster 7596Rv3760, Rv3760, putative membrane protein_2",0.0,-0.08542716936091582,-0.13289688399290284,-0.05381612970062663,0.1749961917907706,-0.056647175458555854,-0.0921840198187992,-0.07632053883260127,0.37736927849470253,-0.11268387549374345,-0.11330012622045373,0.0,0.0,0.0,0.0743789955907291,-0.06868874781546461,0.0,0.0,0.0,0.0,1.0,0.0,-0.07477462207410755,-0.07194791970670994,0.125672149085666,0.0,0.0,0.07512841132623096,0.07343934685880854,0.0,0.0,-0.08460107030353393,0.09142798633050996,0.0,0.0,0.0,0.08160087993330609,0.0,0.0,0.0
"Cluster 4389Rv0427c, xthA, Exodeoxyribonuclease III (EC 3.1.11.2)_2",-0.14699292850471804,0.0,-0.09374946602185483,-0.08996792758225859,-0.08785074973165044,-0.0662563912472926,-0.1403977212892769,0.0,0.05715181371019875,0.07265731979496257,0.0,0.0,0.0,0.0,0.07741143662747355,0.0,0.0,0.1292949132144189,0.0,0.0,0.0,1.0,0.0,0.0,0.10753892663681835,-0.0951578793558994,0.0,0.05142321199167535,0.14333855744530813,0.0,0.0,0.0,0.11693501274573177,0.1185101546248938,0.0,-0.0907986582637001,0.0,-0.06702123686594312,0.0,-0.15038569705278332
"Cluster 4459Rv0470c, pcaA, Cyclopropane-fatty-acyl-phospholipid synthase 1, CmaA1 (EC 2.1.1.79)_1",-0.13384183455179174,0.0,-0.162260887261627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09188641112006543,0.10395062335028767,0.0,-0.07846963129441918,-0.06130251350457122,-0.06939790314646868,-0.09077997106234584,-0.05338819847240004,-0.07477462207410755,0.0,1.0,0.06015323536920162,0.0,0.0,0.10851287196779666,0.0,0.0,0.0,0.0502079222505702,0.0,0.06764218887191292,0.0,0.06780304415095366,-0.08064076197502575,-0.08440351300243693,0.0,0.05372382529312422,0.0
