,"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_3","Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_4","Cluster 5240Rv3919c, gid, 16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_9","Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_2","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 1884Rv0515, Rv0515, 13E12 repeat family protein, HNH endonuclease domain_9","Cluster 7636Rv2588c, yajC, Preprotein translocase subunit YajC (TC 3.A.5.1.1)_2","Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2","Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_2","Cluster 2032Rv0001, dnaA, Chromosomal replication initiator protein DnaA_5","Cluster 2633Rv0449c, Rv0449c, COG2907: Amine oxidase, flavin-containing_2","Cluster 4389Rv0427c, xthA, Exodeoxyribonuclease III (EC 3.1.11.2)_2","Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2","Cluster 4980Rv1591, Rv1591, Putative transmembrane protein_6","Cluster 4056Rv0819, mshD, Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)_2","Cluster 2049Rv0888, Rv0888, putative exported protein_1","Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_5","Cluster 5965Rv3773c, Rv3773c, Transcriptional regulator, ArsR family_1","Cluster 6993Rv0880, Rv0880, Transcriptional regulator, MarR family_2","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_4","Cluster 4911Rv2671, ribD, 2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog_1","Cluster 920Rv2823c, Rv2823c, CRISPR-associated protein, Csm1 family_2","Cluster 2979Rv0688, Rv0688, Ferredoxin reductase_2","Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_2","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 594Rv0202c, mmpL11, Transmembrane transport protein MmpL11_2","Cluster 963Rv1900c, lipJ, lignin peroxidase LipJ_7","Cluster 5245Rv2080, lppJ, Lipoprotein LppJ_5","Cluster 4056Rv0819, mshD, Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)_1","Cluster 5965Rv3773c, Rv3773c, Transcriptional regulator, ArsR family_5","Cluster 3603Rv0062, celA1, Endoglucanase A precursor (EC 3.2.1.4)_3","Cluster 4606Rv0625c, Rv0625c, putative membrane protein_3","Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_1","Cluster 4070Rv2151c, ftsQ, Cell division protein FtsQ_2","Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5","Cluster 4911Rv2671, ribD, 2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog_2","Cluster 6484Rv3315c, cdd, Cytidine deaminase (EC 3.5.4.5)_1","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_3","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_1","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 2633Rv0449c, Rv0449c, COG2907: Amine oxidase, flavin-containing_1","Cluster 2734Rv2962c, Rv2962c, UDP-glucoronosyl and UDP-glucosyltransferases family protein_13","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_6","Cluster 5346Rv1115, Rv1115, putative exported protein_2","Cluster 1448Rv0234c, gabD1, Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)_1","Cluster 581Rv3887c, eccD2, Serine protease mycosin MycP5, component of Type VII secretion system ESX-5_8","Cluster 4961Rv3223c, sigH, RNA polymerase sigma factor RpoE_1","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_3","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 1885Rv0020c, fhaA, annexin VII_5","Cluster 5780Rv1972, Rv1972, FIG00821219: MCE associated membrane protein_4","Cluster 619Rv1664, pks9, Polyketide synthase_3","Cluster 6727Rv1233c, Rv1233c, Possible membrane protein_2","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 4569Rv0671, lpqP, Lipoprotein LpqP_5"
"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_3",1.0,0.6301955610063185,-0.4678911342059278,0.0,-0.34042642359571706,0.13476172961138444,-0.23424495509564974,0.0,0.05956519095282559,-0.21968172468191005,-0.23543860553381396,0.2619586792020491,0.22330625443563398,-0.354484403565077,0.09827660011251774,0.0,0.09403342438611582,0.0,-0.1445285500795904,0.14756178910217096,-0.11827132340255692,0.07040420629532387,-0.18108081655575833,-0.19851900428929403,0.0,0.26173211134474555,0.10935080329789806,0.1481399529953655,-0.10339663758906495,0.0,0.0,-0.09708336643515104,-0.2441412360470597,0.06776855845659287,0.0,0.19014418898194055,0.0,0.0,0.14903039622735698,0.0,-0.08973384084682555,0.0,0.05391823669357857,0.0,-0.11422926423526625,-0.13608264593579963,0.0,0.1380293451766685,0.12290886554950455,0.0,0.0,0.0,0.060458912635801124,0.13750713365151526,0.05323464285244485,-0.09729329331944395,0.11726916826676537,0.11746999855393055,-0.0954960628309407,0.061182221181196074
"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_4",0.6301955610063185,1.0,-0.5921029503297671,0.1407729602852663,-0.1879476886894681,0.2636359218313877,-0.3086336551320165,-0.13647092264723287,0.053937717296307794,-0.1968199949691046,-0.3157850630823899,0.2627578139763519,0.23192066763330532,-0.32008221396471975,0.2690517889852478,-0.10461847851730839,0.1547587435922286,0.18246240658568344,0.0,0.1348525948695172,-0.1280234244582269,0.11557834073854054,-0.18117001594415355,-0.1338172557060663,0.0,0.17131933621218048,0.13527429135082095,0.18187172031221885,-0.1552611186576321,-0.06503998602879378,0.1182284561036426,-0.06645468440537802,-0.21551338497806327,0.0,0.1658766471711377,0.07845031029035283,0.0795898417940741,0.08040513933910393,0.13437977398596582,0.0,-0.13337478395891816,-0.05678195011794135,0.0,0.12516389621781218,-0.24869650575631916,-0.1470592130361734,-0.05370895965901245,0.0,0.05170416661540196,0.0,0.0,-0.14861721074758152,0.1308109399023779,0.11456260145967931,0.19226201050031527,-0.12406525179330546,0.13008434607135314,0.0,0.0,0.0
"Cluster 5240Rv3919c, gid, 16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_9",-0.4678911342059278,-0.5921029503297671,1.0,0.12066205208586091,0.18523488754437292,-0.3642145271996363,0.22723460907928858,0.11665795721658413,-0.08115908039137143,0.12349873116558362,0.07181308891625086,-0.2064557215030509,0.0,0.24657114366520333,0.0,0.0,-0.15943585857524498,-0.1038486361507259,0.06959617873739857,-0.053366877433064286,0.0,-0.11872812850101752,0.10618857039982228,0.33760073220929804,0.0,-0.11293261186435301,-0.09729893433823064,-0.16626250103494228,0.3507419488811024,0.09600675366064405,0.0,0.10014460499942807,0.12846252853753473,0.08732038739043227,-0.10111311051244196,-0.15454823404465953,-0.1556197070635941,-0.0633152748530044,-0.08272375668805687,0.0,0.07253032753621003,0.0,0.0,-0.06285934003808055,0.09645562333841344,0.10632008658521414,0.08470337700604844,-0.11291063586942625,-0.0751925928070253,-0.06225159193294076,0.0,0.09377372276309363,-0.15036197821326938,-0.07983900913627133,-0.10012004342206525,0.14194055565759217,-0.09701357726590279,0.0,-0.062489418977238066,0.0
"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_2",0.0,0.1407729602852663,0.12066205208586091,1.0,0.06261638759481557,0.0,0.11504576785374702,0.0,-0.22453078019038855,0.06411634431114148,-0.11338733356312558,0.1220867168595725,0.0,0.0,0.06261034184351412,0.0,-0.07278308207342744,-0.12273786981580026,0.0,-0.1302606531332815,0.0,-0.05714855107554394,0.0,0.09322262427015254,-0.051475730470878736,0.05232667926552863,0.0,0.0,0.0,0.0,0.0,0.06247332957380006,0.18833116663433386,0.09075435873032019,0.0,0.0,0.0,-0.06841067574659816,0.0,0.0,0.0,-0.08319181348458644,0.0,0.0,-0.12804827325940962,0.0,0.0,-0.06022399928750958,-0.06666460673789286,-0.15880061811976698,0.0,0.0,-0.13990858599665826,-0.06390544311518263,0.05263279304429404,-0.12979328862735917,-0.06696370059635194,0.0,0.0,0.0
"Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5",-0.34042642359571706,-0.1879476886894681,0.18523488754437292,0.06261638759481557,1.0,-0.052868458362682134,0.16617381207172507,0.0,0.0,0.2285736575227355,0.08450554011234018,-0.2536539488071272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08780739014341701,0.062098995162591375,0.0,0.2104848356255924,0.18006952713054433,0.12558285136052122,-0.10046116851660125,-0.1476249284404161,0.0,0.12266961169293107,0.062227992940964316,0.0,0.0,0.0,0.0,0.12396735240051765,-0.11028243709483479,0.0,0.0,0.0,-0.09606171411423663,0.0,0.0,0.16783976580727497,0.0,0.08624529969034675,0.0,0.0,0.0,0.07557619292082315,0.13985843913523285,0.0,0.0,-0.058717396953305134,0.0,0.0,-0.05252705692498868,0.0,-0.0691682604455189,-0.06194001616716696,0.12617233131660188
"Cluster 1884Rv0515, Rv0515, 13E12 repeat family protein, HNH endonuclease domain_9",0.13476172961138444,0.2636359218313877,-0.3642145271996363,0.0,-0.052868458362682134,1.0,-0.09227939072923852,0.0,-0.14117294596335167,0.0,-0.13887803467128831,0.0,-0.052924718468672284,-0.17306720940470774,0.12074731574775584,0.152104230258257,0.0,-0.08852429965365625,-0.0538287018094571,-0.16352255762864948,0.0,-0.09695257414926911,0.1438544938931477,0.0,0.0,-0.07948814217633546,0.0,0.0,-0.05535826919809042,-0.1896533896451857,0.0,-0.14021914703826058,0.06648991578114793,0.0,-0.10829950756572906,0.05917229165125986,0.13296432006142717,-0.10772003849390843,0.0,0.0,-0.09237125290816084,-0.07944606202763263,0.0,0.0,-0.10651901473765826,-0.21634693938842295,-0.10923235304631665,0.0,-0.09440201792701042,0.05918648260435544,0.0,-0.15629802735643317,0.0,0.0,0.24945420836835472,-0.24478367200089227,0.12379054087473841,0.0,0.0,0.05871432361139426
"Cluster 7636Rv2588c, yajC, Preprotein translocase subunit YajC (TC 3.A.5.1.1)_2",-0.23424495509564974,-0.3086336551320165,0.22723460907928858,0.11504576785374702,0.16617381207172507,-0.09227939072923852,1.0,0.26737019972278,-0.06133494573396812,0.24264475334460225,0.13467402672074158,-0.1470577130850275,0.12458381219284394,0.2834384794384045,-0.07898278378521208,0.0,-0.08712154472670307,0.0,0.0,-0.1350107613594413,-0.12186795989593875,-0.19574314653618322,0.14371310114395894,0.08441377189809997,0.0,-0.10761355339272398,0.0,-0.1396178886000559,0.0,0.07377574515496248,0.0,0.0,0.08485021323523202,-0.0645190504976442,-0.07896017416490562,-0.07975762382081678,-0.05446907077748836,-0.21321655529779263,0.0,0.0627598027239037,0.05842310540146987,0.0,0.0,-0.11647506842301146,0.0,0.0,0.05459786437668421,0.12354619982810876,0.0,0.0,-0.07537077769872268,0.0,0.0,-0.09818614824227571,0.0,0.0,0.0,0.10130127808947104,-0.06712797463292766,0.0
"Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2",0.0,-0.13647092264723287,0.11665795721658413,0.0,0.0,0.0,0.26737019972278,1.0,0.0,0.2373346463639975,0.0,0.0,0.0,-0.1334345710627674,0.0,0.0,0.0,0.0,0.0,-0.16366370324865046,0.0,-0.16669196446257772,0.0,-0.06841134088505521,-0.07475498465478025,-0.05692445249576011,-0.16746346396896367,0.0,0.0,-0.09597689035417993,0.0,0.0,0.0,0.0,-0.1160600704571188,0.0,-0.12316822053027224,-0.1744175433312813,0.0,0.0,0.08356717463753033,0.0,-0.08441865237248805,-0.12733132750804804,0.0,0.0,0.11173445901170721,0.0,0.06599439569955211,0.056574842806131787,0.07543577355093412,0.24474999754265123,0.0,0.06923749222207959,0.0,-0.0928660547244589,-0.06175928370965742,0.11808251236318447,0.0,0.15505699188607033
"Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_2",0.05956519095282559,0.053937717296307794,-0.08115908039137143,-0.22453078019038855,0.0,-0.14117294596335167,-0.06133494573396812,0.0,1.0,0.0,0.0,0.09835750990423844,0.0,0.0,0.0,0.0,0.48297439327810565,0.0,0.0,0.06429635609927069,-0.07573795388677985,0.161108580261032,0.0,-0.08754833500070765,-0.09333270387639686,0.20889076444858698,-0.06871310639631184,-0.05000554655090933,-0.3049456628989703,0.12507624022920852,-0.0875445618345464,0.0,-0.1414511460388906,-0.0808979768757382,0.0,0.06707743338499603,0.0,0.1113591101938737,0.0,0.0,0.0,0.053462468138785094,0.09917492136878808,0.0,-0.05040175863533981,0.0,0.0,0.07298856054817575,0.0,-0.10843010268836868,0.0,0.0,0.0,0.0,-0.05457755891496722,0.06701384786365863,-0.07344629177464035,-0.14703624911526364,0.0,0.0845543800162799
"Cluster 2032Rv0001, dnaA, Chromosomal replication initiator protein DnaA_5",-0.21968172468191005,-0.1968199949691046,0.12349873116558362,0.06411634431114148,0.2285736575227355,0.0,0.24264475334460225,0.2373346463639975,0.0,1.0,0.0,-0.0926118184068322,0.05552829086763341,0.05634287025415455,-0.05915766312036355,0.05062383872561554,-0.062414025680790776,0.0,-0.064988394486148,-0.05718166462286223,0.0,0.0,0.0,0.10599339963603245,-0.05636525037064966,0.05489999523006348,-0.05007336830227974,-0.17296467250689512,0.16306055258380042,0.0,-0.13598784052113497,0.0,0.06375140906766368,-0.05431292737852062,0.0,0.0,0.07107915870244785,0.0,0.0,0.0,0.12207939470851749,0.0,-0.07563427689303216,-0.13224625431298245,0.05396291859523879,-0.05291600766406032,0.06861820073246382,0.07898550917138053,-0.12061947628726971,0.14017966624346426,0.07542376609864161,0.0,0.0,0.0,0.05815624787725447,0.0,-0.087169243347887,-0.1129632174039088,0.0,-0.09286128430907667
