,"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_9","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_10","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_11","Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_3","Cluster 3909Rv3848, Rv3848, FIG037441: Conserved transmembrane protein_2","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_2","Cluster 969Rv2614c, thrS, Threonyl-tRNA synthetase (EC 6.1.1.3)_2","Cluster 6118Rv2390c, Rv2390c, FIG00821219: MCE associated membrane protein_2","Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_1","Cluster 2263Rv3585, radA, DNA repair protein RadA_2","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_1","Cluster 4348Rv0500, proC, Pyrroline-5-carboxylate reductase (EC 1.5.1.2)_4","Cluster 7750Rv3129, Rv3129, Putative DNA-binding protein_3","Cluster 4417Rv0953c, Rv0953c, N5,N10-methylenetetrahydromethanopterin reductase-related protein, MSMEG5498 family_2","Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_1","Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5","Cluster 969Rv2614c, thrS, Threonyl-tRNA synthetase (EC 6.1.1.3)_1","Cluster 7750Rv3129, Rv3129, Putative DNA-binding protein_1","Cluster 4639Rv2938, drrC, ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, integral membrane protein DrrC-like_2","Cluster 4348Rv0500, proC, Pyrroline-5-carboxylate reductase (EC 1.5.1.2)_2","Cluster 2212Rv0346c, ansP2, L-asparagine permease_2","Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_3","Cluster 1270Rv2189c, Rv2189c, Phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57)_3","Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_3","Cluster 6118Rv2390c, Rv2390c, FIG00821219: MCE associated membrane protein_1","Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_3","Cluster 6770Rv1081c, Rv1081c, putative membrane protein_1","Cluster 108Rv3825c, pks2, Polyketide synthase / Multifunctional mycocerosic acid synthase membrane-associated mas_6","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_2","Cluster 4930Rv1221, sigE, Alternative RNA polymerase sigma factor SigE_1","Cluster 2932Rv0391, metZ, O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)_1","Cluster 152Rv2931, ppsA, Phenolpthiocerol synthesis type-I polyketide synthase PpsA (EC 2.3.1.41)_4","Cluster 2932Rv0391, metZ, O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)_2","Cluster 3005Rv0848, cysK2, Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)_2"
"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_9",1.0,-0.4065329644803949,-0.2582736963898769,0.09151300449214923,0.38066360868611177,0.0,-0.1384491150846459,-0.11648822670409997,0.21715995446192035,-0.18618850626644198,-0.1937739672326711,-0.2004979481002062,0.127047395994892,-0.08228532824903666,-0.22013623559467616,0.0,0.15754970134445137,-0.1726524879091177,0.0828078255737893,0.10293946331081427,0.0,-0.17227846406519115,-0.21868676233614623,-0.11228160609033917,-0.13331970414660413,-0.19513407801343208,-0.13780304501090887,0.0,-0.05000280171212306,-0.09512096511313381,0.16072052372960338,-0.13434985474151953,-0.050648712326447506,0.1384437911774493,0.0,0.20122476240943865,0.07410435817532778,-0.12237025383571025,-0.06950085960891332,-0.09448395609165305
"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_10",-0.4065329644803949,1.0,0.40658839475732445,0.09721811901752551,-0.09613301449569144,0.25108889283091396,0.19560306445186815,0.13368898548043262,-0.11844117271149579,0.2685431554970119,0.0,0.10319432332407118,-0.07231306246178851,0.0,0.06436308595989323,0.0,-0.12523062911009747,0.06646164662058637,-0.19177227807569366,0.0,0.0,0.18492865985346948,0.0,0.0,0.0,0.0,0.0,0.10563283333510064,0.06936726109592631,0.0,0.0,0.0,0.05022207574901462,-0.18067378307877474,0.0828571522244785,-0.1048591991910028,-0.07726582506818022,0.10911014043646891,0.06056970604607774,0.0
"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_11",-0.2582736963898769,0.40658839475732445,1.0,0.38467168742475827,-0.17125188820606838,0.2519767107039363,0.1941109821818498,0.14922182637318188,-0.15192330037516388,0.1417995235503289,-0.07562771067563444,0.10882583261210615,-0.07972253758697258,0.10185314673937464,-0.13682367480149377,-0.11949484037367249,-0.18340883504344066,0.15067791015574253,0.0,0.0,-0.14324981447887025,0.13147261436309374,-0.13297531336942864,0.10488155555695977,-0.10691948784900802,-0.09010310802110205,0.1576980286961677,0.13028634295899294,0.0,0.0,0.0,0.06283128841597063,0.09809849236752405,-0.10910371568644309,0.12254031015677284,0.079012179219474,0.0,0.11838167336897194,0.0,-0.08879454359660759
"Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_3",0.09151300449214923,0.09721811901752551,0.38467168742475827,1.0,0.0,0.1469304918426979,0.10402473072578779,0.10125760506021493,-0.13957841243933827,0.0,-0.27544781490151343,0.0,0.09636845325920221,0.11730087243393607,-0.35630267710158925,-0.1891014162701405,0.0,0.11869435348366777,0.10017867963070537,0.11504607088927897,-0.22578838129190626,0.0,-0.36984833045429955,0.09178998142486411,-0.278298139233603,-0.3424776884753697,0.13455196711692335,0.13848728375094768,-0.11725068958240753,-0.10333456132534416,0.16380581500388647,0.0,-0.05090516714063008,-0.06006323070734072,0.1403136033002088,0.12628580187956276,0.12512487337736072,-0.08500559749406138,0.10581260892628691,0.0
"Cluster 3909Rv3848, Rv3848, FIG037441: Conserved transmembrane protein_2",0.38066360868611177,-0.09613301449569144,-0.17125188820606838,0.0,1.0,-0.06280227102102597,-0.05157597097520625,-0.2007360664867439,0.10642289917746857,-0.0838742062823788,-0.13041251204091697,0.0,0.0,-0.09008701419305357,-0.061780162038441146,0.0,0.21912650008359544,-0.13297700742131377,0.0775571747879803,0.0,0.0,-0.13746607765650673,-0.0765480181388928,0.0,-0.12057461521536728,0.0,-0.1316130922457301,-0.13480506912188947,-0.05382523883955561,0.0,0.0,-0.19742488967761185,-0.17137613952073602,0.19082204232528868,-0.13500207278207954,0.09165368220189261,0.0,0.0,-0.07228176572056039,0.0
"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_2",0.0,0.25108889283091396,0.2519767107039363,0.1469304918426979,-0.06280227102102597,1.0,0.07663567917477755,0.15601636358715842,-0.08172314708953107,0.07971121095819383,-0.06963093281663846,0.0,0.0,0.0,-0.07264429553006858,-0.05214544046018381,-0.0734374470701486,0.0,0.0,0.0,-0.07368509223934241,0.0,-0.06927019962830316,0.0,-0.09523526889627339,0.0,0.0,0.15508020874822417,-0.05802133118329078,0.0,0.0,0.0,0.0,0.0,0.0,0.07305796377884803,0.0,-0.09011636329873488,0.09302881149216075,0.0
"Cluster 969Rv2614c, thrS, Threonyl-tRNA synthetase (EC 6.1.1.3)_2",-0.1384491150846459,0.19560306445186815,0.1941109821818498,0.10402473072578779,-0.05157597097520625,0.07663567917477755,1.0,0.0,-0.09249557138476988,0.0,-0.05529111421565346,0.0,-0.057237442083253494,0.0,0.0,-0.07359795482265405,0.0,0.0,0.0,0.506413628277982,-0.07913861590519773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07264510183865779,0.07633320887571521,0.0,0.0,0.0,0.0
"Cluster 6118Rv2390c, Rv2390c, FIG00821219: MCE associated membrane protein_2",-0.11648822670409997,0.13368898548043262,0.14922182637318188,0.10125760506021493,-0.2007360664867439,0.15601636358715842,0.0,1.0,-0.1883138078148501,0.09853745576459583,0.0,0.0,-0.08479050749680524,0.09747825348386932,0.0,0.10666773008928836,0.0,0.0,0.05671628337597098,-0.15087517414663243,0.08973634611627318,0.11004326311788454,0.0,-0.05747494566044396,0.0,0.0,0.10867972770235321,0.8589681083367646,0.0,0.0,0.0,0.0,0.11968489703632976,-0.11042590297614957,0.09626103881810613,-0.06662332135995498,0.0,0.0,0.0,0.0
"Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2",0.21715995446192035,-0.11844117271149579,-0.15192330037516388,-0.13957841243933827,0.10642289917746857,-0.08172314708953107,-0.09249557138476988,-0.1883138078148501,1.0,-0.07182423633150263,0.0,-0.0847464676840982,0.06908897005814371,0.0,0.0,0.07627894967509848,0.0,0.0,0.0,0.0,0.0821937270995423,0.0,0.0,-0.09890055817193313,0.0,-0.13194906708342596,0.0,-0.2410857393057981,0.0,0.0,0.0,0.0,0.0,0.09903461119486072,0.0,-0.06078210060881017,0.0,-0.05447409646848413,0.0,-0.07044707856964078
"Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2",-0.18618850626644198,0.2685431554970119,0.1417995235503289,0.0,-0.0838742062823788,0.07971121095819383,0.0,0.09853745576459583,-0.07182423633150263,1.0,0.0,0.0,0.0,0.0,0.0,0.13681212211460572,-0.18746398835699257,0.08003512036123925,-0.17621660142500445,0.0,0.13695591040429048,0.0,0.0,0.0,0.0,0.0,0.1298417903874381,0.12442117604247985,-0.06279979746862484,0.07497418749991752,0.0,0.15763998252018535,0.08551485359856523,-0.06351960484392231,0.0,-0.16155793410160624,0.0,0.0,0.0,0.0
