,"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_13","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_8","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_5","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_12","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_9","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_3","Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4","Cluster 5346Rv1115, Rv1115, putative exported protein_2","Cluster 5003Rv0071, Rv0071, Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_3","Cluster 4931Rv1270c, lprA, Lipoprotein LprA_2","Cluster 5962Rv0706, rplV, LSU ribosomal protein L22p (L17e)_1","Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2","Cluster 4476Rv0633c, Rv0633c, putative membrane protein_5","Cluster 2212Rv0346c, ansP2, L-asparagine permease_2","Cluster 1736Rv3280, accD5, Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)_2","Cluster 1163Rv0782, ptrBb, Protease II (EC 3.4.21.83)_3","Cluster 6770Rv1081c, Rv1081c, putative membrane protein_1","Cluster 4252Rv0428c, Rv0428c, Histone acetyltransferase HPA2 and related acetyltransferases_5","Cluster 4953Rv1863c, Rv1863c, putative membrane protein_2","Cluster 6993Rv0880, Rv0880, Transcriptional regulator, MarR family_2","Cluster 5346Rv1115, Rv1115, putative exported protein_4","Cluster 152Rv2931, ppsA, Phenolpthiocerol synthesis type-I polyketide synthase PpsA (EC 2.3.1.41)_4","Cluster 3925Rv1647, Rv1647, Purine cyclase-related protein_1","Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_2","Cluster 1927Rv0773c, ggtA, Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)_6","Cluster 1368Rv0939, Rv0939, Fumarylacetoacetase (EC 3.7.1.2) / Metallo-beta-lactamase superfamily_2","Cluster 3234Rv2164c, Rv2164c, Cell division protein FtsL / proline rich membrane protein_2","Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_3","Cluster 2212Rv0346c, ansP2, L-asparagine permease_1","Cluster 5100Rv3908, mutT4, Diadenosine hexaphosphate (Ap6A) hydrolase; Bis(5'-nucleosyl)-tetraphosphatase (Ap4A) (Asymmetrical) (EC 3.6.1.17)_2","Cluster 5962Rv0706, rplV, LSU ribosomal protein L22p (L17e)_2","Cluster 6749Rv2779c, Rv2779c, Transcriptional regulator, AsnC family_1","Cluster 9061Rv0763c, Rv0763c, Ferredoxin_1","Cluster 3680Rv3917c, parB, Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J_2","Cluster 3438Rv1451, ctaB, Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB_1","Cluster 1911Rv2577, Rv2577, Purple acid phosphatase_1","Cluster 4476Rv0633c, Rv0633c, putative membrane protein_2","Cluster 3438Rv1451, ctaB, Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB_2","Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_3","Cluster 2478Rv3262, fbiB, Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34) / Nitroreductase family protein Rcas_3978_1"
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_13",1.0,-0.1752903352362213,-0.49272025260872115,0.22965139405618218,0.3518527539966071,0.2692112622974435,-0.3605561648749354,0.0,0.0,-0.17206205374066563,-0.1850519308496101,-0.17735231086715914,0.07505764063802485,0.11433642297527571,0.1641501694000392,-0.08782357796603232,0.162236390883923,-0.1232147701797121,-0.12778211370089287,-0.09640642247915694,-0.13804491623157628,0.1115630153123514,0.15666623305669908,-0.18474904931151293,-0.0560375347649929,0.1846779706448212,-0.1317863377936646,0.09846269972964923,0.0,0.11980257393856165,0.13419055274765831,0.1354872031562485,0.05508827467971552,0.11907031585321845,0.10274474766000717,0.05151259981409106,-0.0509677366634802,-0.06289419735236432,0.11482883180568261,0.0
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_8",-0.1752903352362213,1.0,0.6667976440051178,-0.3096515133195376,-0.4172035401009938,-0.11015494240768475,0.4289470988112359,-0.19207346303890813,-0.38953310600812235,0.27505032764103654,0.10075024153466194,0.19182754248929465,-0.27870907502386233,-0.1510620466276259,-0.3649324981273176,0.17023025412152937,0.0,0.06623055812608952,0.2632591098409459,0.11321325973700626,0.1340815592337757,-0.061512318217143515,-0.30122459239491584,0.14822923461386692,0.33486369846863107,-0.09496012196376025,0.0,-0.12562036226001444,-0.05229522869249752,-0.19156342616111044,-0.14789461494865352,-0.18168141659636333,-0.093417695548358,-0.1408748334801465,-0.19882747409184906,-0.06929955191674345,0.09486174960245022,0.1759069269829593,-0.05846667946113342,0.0
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_5",-0.49272025260872115,0.6667976440051178,1.0,-0.2549553742629775,-0.40742005511441,-0.10094550552781388,0.5898052299131228,-0.13727812585758908,-0.2281649913872807,0.2753719737963234,0.1515917159746823,0.3028462125667943,-0.192895044193004,-0.22545821909561067,-0.36739433907217367,0.1439258308942643,-0.17973859074177193,0.19160107331870566,0.2485303009492452,0.17379054836602417,0.2495410132718828,-0.23779069357096377,-0.2458015049715677,0.2430680030654253,0.294495144916173,-0.10484175572442798,0.11024616128538704,-0.22559069847433352,-0.05151060871457259,-0.2111477006879394,-0.21950714493825854,-0.1954096959017096,-0.153528402066946,-0.19769559051059152,-0.1945163933764965,-0.056593232327999066,0.06723031512782875,0.158242369813911,-0.10102990960179685,0.0
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_12",0.22965139405618218,-0.3096515133195376,-0.2549553742629775,1.0,0.3802193202099392,0.24193293728673987,-0.20364199314193032,0.08078929336802435,0.18390296062155026,-0.15045609729476966,-0.17685657792620318,-0.19673827520017628,0.0,0.08948350031554349,0.0,0.0,0.17431488606290987,-0.06537203016633229,0.0,0.0,-0.07014384968999443,-0.11614878108132334,0.1611221280750807,0.0,-0.053086163497781946,0.08679467012109206,-0.11893049107074935,0.0,0.11045273331095935,0.051388846113869305,0.0,0.09649384977144163,0.0,0.10394917155345128,0.1403216695166118,0.07142708876179117,-0.12475704418733086,-0.1517505503146313,0.06050185142769765,-0.05015867865768424
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_9",0.3518527539966071,-0.4172035401009938,-0.40742005511441,0.3802193202099392,1.0,0.3776111773623547,-0.3965870093645795,0.08684611200619037,0.18233558491000104,-0.058620444005069175,0.0,-0.22998664120464862,0.21143824630203384,0.09885562862498322,0.19209657810646694,-0.06487104917265513,0.09972259796613832,0.0,-0.13747662757200982,0.0,-0.18711666183750314,0.0,0.06009134317155735,-0.0954241164351736,-0.17538272374332187,0.09766032047396983,0.0,0.09452768979212517,0.0,0.18776341354221954,0.08703380458831278,0.05044558018035349,0.10757842916427784,0.12447883919429018,0.1598210245427769,0.0,-0.09275053433039782,-0.08620935004633255,0.05480967058660073,-0.14294767241309853
"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_3",0.2692112622974435,-0.11015494240768475,-0.10094550552781388,0.24193293728673987,0.3776111773623547,1.0,-0.23025170378161708,0.15347949370549202,0.0,-0.11242333182385908,0.0,0.0,0.11547208019225748,0.0,0.10411122770708287,-0.1238987895864403,0.08953628681022129,0.0,0.0,-0.06661223764841065,0.0,-0.060832854723161196,0.07180589136507792,-0.09667723965549774,0.0,0.07766760297871352,-0.052433976402394104,0.0,-0.055196662927565913,0.06727331319277713,0.0,0.052921241335941394,0.0,0.05240843894818698,0.10477836683134369,0.0,0.05126520669632856,-0.09720603852113122,0.0,-0.10750638415431872
"Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4",-0.3605561648749354,0.4289470988112359,0.5898052299131228,-0.20364199314193032,-0.3965870093645795,-0.23025170378161708,1.0,-0.16312507180030128,-0.23720183695948246,0.08675351237250799,0.05421737163246796,0.1809790212288264,-0.13205448828070207,-0.11198971032028811,-0.18831550001194847,0.14464914304012508,-0.06539400903299628,0.12439723257066967,0.2200145299698476,0.13538279897768532,0.13824910895676312,-0.1525754519510935,-0.19828873661833177,0.24351811502009627,0.26896468008912966,-0.13662456001335185,0.20016993667013877,-0.11565217368099742,0.0,-0.3422765094892845,-0.0664655547366502,-0.12620749808461196,-0.09728194822093297,-0.10181104947984462,-0.11188795863308836,-0.10630662204133884,0.06113893911426494,0.05788103043934587,0.0,0.054452778798673246
"Cluster 5346Rv1115, Rv1115, putative exported protein_2",0.0,-0.19207346303890813,-0.13727812585758908,0.08078929336802435,0.08684611200619037,0.15347949370549202,-0.16312507180030128,1.0,0.07830340950976662,-0.19188471115923583,-0.08817084627328825,-0.15845910660261522,0.0,0.0,0.104826365984124,-0.051562896166573634,0.0,-0.17037165686593223,-0.13745049045287386,-0.11961959692719396,0.3619675665205013,0.0,0.07692837368377355,-0.12320318758562182,0.0,0.0,0.0,0.0,0.0,0.190048286068041,0.11088919880324881,0.05214132816630296,-0.05257101078456751,0.06464052318856418,0.07571546404531654,0.07485260327445473,-0.050303319259463616,0.0,0.12031033909091829,-0.08289419704531854
"Cluster 5003Rv0071, Rv0071, Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_3",0.0,-0.38953310600812235,-0.2281649913872807,0.18390296062155026,0.18233558491000104,0.0,-0.23720183695948246,0.07830340950976662,1.0,0.0,-0.13588165590789386,-0.06850634581614097,-0.13290499161057134,-0.0598320249420997,0.0,-0.12671913560622663,-0.0578514155138213,-0.19757294340176557,-0.12198478907265342,0.0,0.0,0.07247025592392747,0.0,-0.13146846316476274,-0.10085672149665531,0.0671965576657096,0.0,0.0,0.0,0.1358748437843071,0.0,0.058528321630810135,0.0,0.05078970780465816,0.0,0.12849143958658896,0.0,0.0,0.06353316972702044,0.0
"Cluster 4931Rv1270c, lprA, Lipoprotein LprA_2",-0.17206205374066563,0.27505032764103654,0.2753719737963234,-0.15045609729476966,-0.058620444005069175,-0.11242333182385908,0.08675351237250799,-0.19188471115923583,0.0,1.0,0.1350616159229764,0.0,-0.05090629993182394,-0.07713779503879925,-0.21174096853222313,0.0,-0.07833297141395258,0.1928112735797667,0.0,0.060238314077846425,0.0,-0.0821105333395004,-0.20463194926881959,0.05647769330087588,0.09344675882916424,-0.068204692859425,0.0,0.0,0.0,-0.15154655798866432,-0.2220313119650338,-0.11204916020861808,0.0,0.0,0.0,-0.06400616743072818,0.0,0.18206498196730234,-0.08950800051527127,-0.06190011654924819
