,"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_5","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_1","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3","Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_4","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_11","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_9","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_7","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_3","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_2","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_10","Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6","Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_2","Cluster 2122Rv3854c, ethA, Monooxygenase EthA (EC 1.-.-.-)_9","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_6","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_2","Cluster 5240Rv3919c, gid, 16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_9","Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_4","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_3","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_5","Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_8","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_4","Cluster 4716Rv1433, Rv1433, putative lipoprotein_3","Cluster 4930Rv1221, sigE, Alternative RNA polymerase sigma factor SigE_1","Cluster 5025Rv1597, Rv1597, Methyltransferase_1","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 1695Rv1635c, Rv1635c, Membrane protein_3","Cluster 5285Rv2206, Rv2206, CblZ, a non-orthologous displasment for Alpha-ribazole-5'-phosphate phosphatase_4","Cluster 2697Rv3074, Rv3074, CONSERVED 13E12 REPEAT FAMILY PROTEIN_3","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_2","Cluster 7026Rv2704, Rv2704, RidA/YER057c/UK114 superfamily, group 6_2","Cluster 2697Rv3074, Rv3074, CONSERVED 13E12 REPEAT FAMILY PROTEIN_1","Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_1","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 5278Rv3007c, Rv3007c, Oxidoreductase_3","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10","Cluster 3205Rv0162c, adhE1, Alcohol dehydrogenase (EC 1.1.1.1)_2","Cluster 4286Rv2859c, Rv2859c, COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster_2","Cluster 4616Rv0852, fadD16, Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD16_2","Cluster 621Rv3513c, fadD18, Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD19_7","Cluster 5093Rv2773c, dapB, 4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)_1","Cluster 3938Rv3754, tyrA, Arogenate dehydrogenase (EC 1.3.1.43)_1","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_3","Cluster 2064Rv2090, Rv2090, Probable 5'-3' exonuclease Bsu YpcP_9","Cluster 1695Rv1635c, Rv1635c, Membrane protein_2","Cluster 1258Rv1402, priA, Helicase PriA essential for oriC/DnaA-independent DNA replication_1","Cluster 4842Rv3674c, nth, Endonuclease III (EC 4.2.99.18)_6","Cluster 2032Rv0001, dnaA, Chromosomal replication initiator protein DnaA_5","Cluster 2354Rv0392c, ndhA, NADH dehydrogenase (EC 1.6.99.3)_7","Cluster 3925Rv1647, Rv1647, Purine cyclase-related protein_2","Cluster 1042Rv1837c, glcB, Malate synthase G (EC 2.3.3.9)_5","Cluster 4286Rv2859c, Rv2859c, COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster_1","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 4616Rv0852, fadD16, Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD16_4"
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4",1.0,0.2263234801132106,0.26968291653450127,-0.06976461201276767,0.17723145711851462,-0.14539762634326484,0.0,0.06038733001057089,-0.09714674427283418,-0.12792235683826883,0.0,0.0,0.09743366126216339,0.14178669135999605,0.0,0.0,0.0,0.1319301411200742,0.0,-0.37017146762377795,0.058000648327329554,-0.29912091758645787,0.0,0.0,-0.24446684028203305,0.0,0.0,0.0,0.0,0.05667024659713388,-0.05965153124027377,0.12255249085327614,0.13763642425763845,0.06804697260256524,0.0,0.0,0.06781113104332936,0.0,-0.09589455633537264,0.0,0.3200170887251315,0.0,-0.06143500404778999,0.0,0.06417467077405559,0.0,0.07007514797489038,0.0,0.0,0.17282943696530523,0.08673583411097775,0.0,0.0,0.0,-0.060255451216843024,0.0,0.0,0.07540234889882896,0.07987863362719114,0.0
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_5",0.2263234801132106,1.0,0.23476587810536562,0.0,0.1401769649820467,-0.06073866557960383,0.0,0.07990218990528894,-0.08062564623564912,0.0,0.0,0.08081083076459919,0.0,-0.07020806547373011,0.11960587955788192,0.0,0.0,0.0,0.0,-0.1905413307590606,0.05443003439630526,-0.16981462471671813,0.13267155527182203,0.07157209095191465,-0.20626257766363132,0.0,0.0,0.13350719743402706,0.0,0.17678531762595243,-0.13257178139238976,0.06242460396048945,0.0,0.10590499427870685,0.0,-0.082851608941504,0.10614488359217551,0.0,0.0,0.08007944615994575,0.10891583754170761,0.09273974942814489,-0.0866616321740538,0.0,-0.05417708458726286,-0.05301642351990319,0.0,0.0,0.0,0.0,0.0,0.06412013448490357,0.1625683449052398,0.0,-0.1109711787889625,0.08063226758890917,0.0,0.10534003843104449,0.0,0.0
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_1",0.26968291653450127,0.23476587810536562,1.0,0.0,0.10208621333637861,0.0,0.16163207889826556,0.1694919045267034,0.0,0.09247182426936579,0.12307941146169173,0.0,0.14000467253437518,0.07922434884039377,-0.08024736417548606,0.0,0.12720083033611548,0.14999702690394606,0.11545046778583046,-0.27604479152009537,0.2592230061243553,-0.2616619731277934,0.07946218677006259,-0.06566754729913235,-0.09530761533090308,0.0,0.0,0.08912110139621099,0.13910693015080697,0.0,0.11696651530130249,0.05079148229681631,0.0,0.21455233011572888,-0.0836973017794503,-0.09188476827203516,0.21412997855370214,0.0,-0.08327434297988616,0.0,0.11152677411276396,0.05351437116415911,0.0,0.06272266736126676,0.0,0.0,0.0,0.0,-0.13905464856995298,0.10902814597725512,0.05000143045711685,0.0,0.0,0.0,-0.06782179744857171,0.06078269313697933,-0.09734509200700428,0.0,0.0,0.0
"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3",-0.06976461201276767,0.0,0.0,1.0,-0.06660216023242288,0.0,0.0,0.0,0.0,0.11456224251645693,0.0,0.07965277620509692,-0.06971370164286272,-0.06318380487723768,-0.07290688004479065,0.0,0.05266304824289481,-0.10358034057200693,-0.1325862781932455,0.0,0.0,-0.09064687780740868,0.0,0.07978260180305415,0.0,0.0,0.0,0.0,-0.09176010458774249,0.0,0.0,-0.12622711711695822,-0.062209798119871776,0.0,0.09132227928261635,0.09293039936909651,0.0,0.0,0.0,0.0,-0.17020333869983753,0.06802424793932388,0.0,0.0,-0.08055973417745296,0.0,0.09910282493985675,-0.06660715010676133,-0.062382679301448814,0.0635232951626614,-0.08430296948071547,-0.11960400518462098,-0.10022295866112552,0.0,0.0,-0.09314660266669786,-0.06674527077906527,-0.12572740953125305,0.0,-0.10666053921312843
"Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10",0.17723145711851462,0.1401769649820467,0.10208621333637861,-0.06660216023242288,1.0,0.0,-0.1868431670570461,0.07799916416402511,0.0,-0.06710367051059297,0.0,0.0,0.0,0.08812026272821186,0.12482656916878984,-0.057181536745570014,0.0,0.0,0.14171990610250915,-0.16332132746185835,0.0,0.0,-0.05180844915308476,0.0,-0.07523842580679733,-0.11587394009070379,0.0,0.1364233420153909,0.09042823383763719,0.12816603701828744,0.0,-0.07022851592474724,0.0,0.08678454259419473,-0.06584603139256018,0.05440390895669289,0.08718421907981863,-0.13415483465384145,-0.18242819500920057,0.0,0.0,0.0,0.0,0.0,0.1349078097758468,-0.094946162932225,0.0,-0.08474656094871126,0.0,0.07295100948494941,0.0,0.0,0.0,0.0,0.06950964588806513,0.12127377800015882,-0.10349005074544322,0.0,0.0,0.08334358425815906
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_4",-0.14539762634326484,-0.06073866557960383,0.0,0.0,0.0,1.0,0.0,-0.05796562429259968,0.16175381826148938,0.263884713800846,0.0613199479674888,0.07585142029570106,0.0,-0.06883943211535418,-0.06913516353171849,0.0,0.1788684403871413,0.0,0.0,0.16368310818281062,0.0,0.0529870649037721,0.0,0.0,0.09841348964341938,-0.06611731883777865,-0.1985459319764673,-0.1907318435137255,-0.07843135295931163,-0.12845792180854554,0.0,0.0,0.0,-0.05180455434175983,0.0,0.0,-0.050879850907753585,-0.06787107319497737,0.0,0.05564882192742083,0.0,0.0,0.0,0.050369543211649506,0.0,0.0,-0.05359947901641362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06840791550227922,-0.0527300907435118,0.0,-0.0790233103356351
"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_11",0.0,0.0,0.16163207889826556,0.0,-0.1868431670570461,0.0,1.0,0.0,0.0,0.09732576151367901,0.14457915978583236,0.06717805272270748,0.1084436887906689,0.0,0.0,0.0,0.0,0.0,0.0824353261534303,0.06077712632759048,0.09441504133023615,0.050304904649220744,0.05277172436240964,0.0,0.11478231540057197,0.12321453216508203,-0.10153267784291252,0.0,-0.07677417660197934,0.0,0.08765521949906022,0.14086201725218722,0.0,0.0,0.0,0.07586264405082142,0.0,0.112761595326079,0.0,-0.098021470837824,-0.11549968661661698,0.0,0.0,0.0,0.0,-0.052809948731070804,0.06277992997360471,-0.09030593161453848,0.0,0.0,0.0,0.0,0.0,0.05512931352209755,0.0,-0.05715439837925466,0.0,0.0,0.10479580412756986,-0.055247561554382076
"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_9",0.06038733001057089,0.07990218990528894,0.1694919045267034,0.0,0.07799916416402511,-0.05796562429259968,0.0,1.0,0.0,0.0,0.0,0.13259200412779262,-0.05928610393083851,0.0,0.0,-0.125168016887018,0.0,0.11838197993745453,-0.09766087616056605,-0.12971999136809118,0.08071421220821395,-0.23072245955444712,-0.06779887706136005,0.0,0.0,0.0,0.1448142237137713,0.06542895298016031,-0.0680772264479218,0.07155012318529581,0.10874394411894614,-0.05575800714572245,0.0,0.17382818913156742,0.09638821851486473,-0.10969334285031948,0.17407155968239246,0.0,0.0,-0.0753567948242261,0.0,0.05941390671403703,0.0,0.0,0.0,0.0,0.0,0.0,-0.09699224236977219,0.23687796424803836,0.0,0.058562215805765594,0.0,0.0,0.0,0.06975372232326742,0.0,0.0,-0.07935655669198882,0.06975372232326747
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_7",-0.09714674427283418,-0.08062564623564912,0.0,0.0,0.0,0.16175381826148938,0.0,0.0,1.0,0.11722646126045833,0.0,0.12213837575295759,-0.11852808895632333,0.0,0.0,0.08959220243966103,0.13638669683192195,0.0,-0.08521683837718168,0.1564020681719346,0.0,0.0,0.1398353446084504,0.12647872756901538,0.10502265318386059,0.09919089937945735,0.0,0.0,0.0,0.0,0.0,0.0,-0.08683844920645603,0.06498372091927973,0.0,0.0,0.0651282838881064,0.0,0.0,-0.07244549861074635,0.0,-0.14713277970052122,0.0,0.05982950408663154,0.1206947771284272,0.1252867670909148,-0.20007796160040905,0.0,0.0,0.0,0.06793345336024993,0.0904088663727708,-0.16588086905475277,0.05113037949714415,0.12526410596131057,0.0849147550230104,0.0,0.13549149343089423,0.0,-0.06498372091927972
"Cluster 1116Rv1908c, katG, Catalase (EC 1.11.1.6) / Peroxidase (EC 1.11.1.7)_3",-0.12792235683826883,0.0,0.09247182426936579,0.11456224251645693,-0.06710367051059297,0.263884713800846,0.09732576151367901,0.0,0.11722646126045833,1.0,0.14084112570864302,0.20520425456563582,-0.1765576168573769,0.0,-0.13254617096276816,0.1360142815179231,0.20105288611460392,0.0,0.0,0.17703788205889864,0.0,0.0,0.10555629989381954,0.0,0.15582089539833444,0.05725151713238588,0.0,-0.0931164831097635,0.13386922872062348,0.0,0.0,0.0,0.06381759886007997,0.06567016024629563,-0.08673253350912892,0.0,0.06542780946948049,0.0,0.06618828211853746,-0.07167782402376971,0.06346061524926666,-0.13880351520254997,0.0,0.0,0.0,0.0,-0.09526301059431008,0.0,0.0,-0.0648388607189369,0.0,0.0,-0.12125504697325452,0.0,0.0,0.0,0.08401936819485624,-0.05037179747464067,0.0,-0.07050161672626122
